state,bill_number,title,description,matched_keyword
CA,AB11,The Social Housing Act.,"An act to add Title 6.91 (commencing with Section 64900) to the Government Code, relating to housing.",housing
CA,AB36,Housing elements: prohousing designation.,"An act to amend Section 65589.9 of the Government Code, relating to housing.",housing
CA,AB87,Housing development: density bonuses.,"An act to amend Section 65915 of the Government Code, relating to housing.",housing
CA,AB130,Housing.,"An act to amend Sections 714.3, 5850, and 5855 of, and to add Section 2924.13 to, the Civil Code, to amend Sections 12531, 54221, 65400, 65584.01, 65584.04, 65589.5, 65905.5, 65913.10, 65913.16, 65928, 65941.1, 65952, 65953, 65956, 66323, and 66499.41 of, to amend and repeal Sections 65940, 65943, and 65950 of, to add Section 8590.15.5 to, and to repeal Section 66301 of, the Government Code, to amend Sections 17958, 17958.5, 17958.7, 17973, 17974.1, 17974.3, 17974.5, 18916, 18929.1, 18930, 18938.5, 18941.5, 18942, 37001, 50222, 50223, 50253, 50515.10, 50560, 50561, 50562, 53560, and 53562 of, and to add Sections 17974.1.5, 50058.8, 50406.4, 50410, and 53568 to, the Health and Safety Code, to amend Sections 21180, 21183, and 30603 of, and to add Sections 21080.43, 21080.44, 21080.66, 30114.5, and 30405 to, the Public Resources Code, to amend Section 17053.5 of the Revenue and Taxation Code, and to amend Section 5849.2 of the Welfare and Institutions Code, relating to housing, and making an appropriation therefor, to take effect immediately, bill related to the budget.",housing
CA,AB239,State-led County of Los Angeles disaster housing task force.,"An act to add and repeal Chapter 11 (commencing with Section 50350) of Part 1 of Division 31 of the Health and Safety Code, relating to housing, and declaring the urgency thereof, to take effect immediately.",housing
CA,AB249,"Housing: Homeless Housing, Assistance, and Prevention program: youth-specific processes and coordinated entry systems.","An act to add Section 50245 to the Health and Safety Code, relating to housing.",housing
CA,AB301,Planning and zoning: housing development projects: postentitlement phase permits: state agencies.,"An act to amend Section 65913.3 of the Government Code, relating to housing, and declaring the urgency thereof, to take effect immediately.",housing
CA,AB413,Department of Housing and Community Development: guidelines: translation.,"An act to add Section 50406.1 to the Health and Safety Code, relating to housing.",housing
CA,AB457,"Farmworker housing: streamlined, ministerial approval: Counties of Fresno, Madera, and Merced.","An act to amend Section 17021.8 of the Health and Safety Code, relating to housing.",housing
CA,AB474,Housing discrimination: nonprofit home-sharing program: eligibility for public social services.,"An act to amend Section 12927 of the Government Code, and to add Section 10007 to the Welfare and Institutions Code, relating to housing.",housing
