bill_id,number,change_hash,url,status_date,status,last_action_date,last_action,title,description
1898046,A00027,0e6ad43ea8cd4474c3f71267878ccd46,https://legiscan.com/NY/bill/A00027/2025,2025-01-08,1,2026-01-07,referred to local governments,"Requires municipalities to include an Affordable Housing Needs Assessment to establish a data-based foundation for the creation and preservation of affordable housing in the municipality, utilizing the U.S. Department of Housing and Urban Development median income calculations, in their comprehensive plans.","Requires municipalities to include an Affordable Housing Needs Assessment to establish a data-based foundation for the creation and preservation of affordable housing in the municipality, utilizing the U.S. Department of Housing and Urban Development median income calculations, in their comprehensive plans."
1898063,A00049,3b586c9350d127d8c8977d5b6a71f0fc,https://legiscan.com/NY/bill/A00049/2025,2025-01-08,1,2026-01-07,referred to local governments,Requires municipalities to determine whether it is in the public interest to create a comprehensive plan adapted to the special requirements of the municipality and to determine whether it is in the public interest to update such comprehensive plan at least once every ten years to ensure that such plan addresses housing needs.,Requires municipalities to determine whether it is in the public interest to create a comprehensive plan adapted to the special requirements of the municipality and to determine whether it is in the public interest to update such comprehensive plan at least once every ten years to ensure that such plan addresses housing needs.
1898681,A00189,10f696fb6402b7d32d1c0a85543750d6,https://legiscan.com/NY/bill/A00189/2025,2025-01-08,1,2026-01-07,ordered to third reading cal.8,Relates to the supervision of certain limited profit housing companies.,Relates to the supervision of certain limited profit housing companies.
1900500,A00297,f310cf9f6b3ec4358f77429d6a9230bd,https://legiscan.com/NY/bill/A00297/2025,2025-01-08,1,2026-01-07,referred to ways and means,Expands a certain tax credit for farmers to include the cost of construction of housing for farm workers.,Expands a certain tax credit for farmers to include the cost of construction of housing for farm workers.
1900619,A00308,d89d688bc500d014297ee317d83ac9fc,https://legiscan.com/NY/bill/A00308/2025,2025-01-08,1,2026-01-07,referred to cities,Relates to requiring the Department of Homeless Services to notify the affected community board prior to locating transitional housing for the homeless; requires written notification sixty days before the department enters into a contractual arrangement with a transitional housing provider or otherwise finalizes its decision to use or expand a location as transitional housing.,Relates to requiring the Department of Homeless Services to notify the affected community board prior to locating transitional housing for the homeless; requires written notification sixty days before the department enters into a contractual arrangement with a transitional housing provider or otherwise finalizes its decision to use or expand a location as transitional housing.
1900677,A00331,7046d3f1e3b0265938dfc59e02daf748,https://legiscan.com/NY/bill/A00331/2025,2025-01-08,1,2026-01-07,referred to ways and means,"Authorizes cities and towns, except a city with a population of one million or more, to establish community housing funds; authorizes such cities and towns to impose a real estate transfer tax with revenues to be deposited in such funds; makes related provisions.","Authorizes cities and towns, except a city with a population of one million or more, to establish community housing funds; authorizes such cities and towns to impose a real estate transfer tax with revenues to be deposited in such funds; makes related provisions."
1900520,A00355,17eb45c6c9a744126118efa3fbe19e18,https://legiscan.com/NY/bill/A00355/2025,2025-10-16,4,2025-10-16,signed chap.432,"Provides for a partial exemption from taxation of certain residential real property transferred by a governmental entity, nonprofit housing organization, land bank or community land trust to low-income households; sets forth conditions for the discontinuance of such exemption.","Provides for a partial exemption from taxation of certain residential real property transferred by a governmental entity, nonprofit housing organization, land bank or community land trust to low-income households; sets forth conditions for the discontinuance of such exemption."
1900870,A00404,71f92dec2d3800c2348638f20c4f4edb,https://legiscan.com/NY/bill/A00404/2025,2025-01-08,1,2026-01-07,referred to housing,Requires a municipal housing authority in a city having a population of one million inhabitants or more to review the bylaws of resident councils to ensure compliance with federal and state law.,Requires a municipal housing authority in a city having a population of one million inhabitants or more to review the bylaws of resident councils to ensure compliance with federal and state law.
1901391,A00420,e72581ba11d007918b644f1e36f6ba54,https://legiscan.com/NY/bill/A00420/2025,2025-01-27,4,2025-01-27,signed chap.3,"Increases the New York state housing finance agency bonding authority to $36,280,000,000.","Increases the New York state housing finance agency bonding authority to $36,280,000,000."
1902751,A00446,19b9a0b52c587fd77331baf02b6ebe5c,https://legiscan.com/NY/bill/A00446/2025,2025-01-08,1,2026-01-07,referred to housing,Relates to the New York city housing authority and mold remediation; establishes after reporting such authority shall have 15 days to remediate such reported mold.,Relates to the New York city housing authority and mold remediation; establishes after reporting such authority shall have 15 days to remediate such reported mold.
