state,bill_id,bill_number,title,description,status,status_date,url
AK,1912447,,Specie As Legal Tender,An Act relating to specie as legal tender in the state; and relating to borough and city sales and use taxes on specie.,1,2025-01-22,https://legiscan.com/AK/bill/HB1/2025
AK,1912462,,Dui Diversion Program,"An Act establishing the driving while under the influence diversion program for eligible persons charged with driving while under the influence or refusal to submit to a chemical test; relating to judgment for restitution; relating to suspended imposition of sentence; relating to records kept by the Department of Administration; relating to operating a vehicle, aircraft, or watercraft while under the influence of an alcoholic beverage, inhalant, or controlled substance; relating to refusal to submit to a chemical test; amending Rule 9, Alaska Rules of Administration, and Rule 39, Alaska Rules of Criminal Procedure; and providing for an effective date.",1,2025-01-22,https://legiscan.com/AK/bill/HB2/2025
AK,1912507,,Hold Legislative Sessions In Anchorage,An Act relating to convening the legislature in Anchorage; relating to the regulation of lobbying; relating to annual student guests of the legislature; relating to locations of sessions of the legislature; relating to the Legislative Ethics Act; relating to the relocation of functions of state government; and providing for an effective date.,1,2025-01-22,https://legiscan.com/AK/bill/HB3/2025
AK,1912489,,Presidential Write-in Votes,An Act relating to write-in candidates for President and Vice-President of the United States.,1,2025-01-22,https://legiscan.com/AK/bill/HB4/2025
AK,1912458,,Insurance Discrimination Elected Official,An Act prohibiting certain insurance decisions based solely on a person&#39;s status as an elected official.,1,2025-01-22,https://legiscan.com/AK/bill/HB5/2025
AK,1912450,,State Fund Fiduc Duty:social/pol Interest,"An Act restricting fiduciary actions by a fiduciary of a state fund, the Alaska Retirement Management Board, and the Alaska Permanent Fund Corporation Board that have the purpose of furthering social, political, or ideological interests.",1,2025-01-22,https://legiscan.com/AK/bill/HB6/2025
AK,1912457,,Port Of Southcentral Ak; Port Authority,An Act relating to the Port of Southcentral Alaska; establishing the Port of Southcentral Alaska Authority to manage and operate the Port of Southcentral Alaska; and providing for an effective date.,1,2025-01-22,https://legiscan.com/AK/bill/HB7/2025
AK,1912465,,New Legal Holidays,An Act relating to legal holidays.,1,2025-01-22,https://legiscan.com/AK/bill/HB8/2025
AK,1912435,,Schools: Funding; Disability Services,An Act relating to education; relating to funding for charter schools; and relating to services for children with disabilities.,1,2025-01-22,https://legiscan.com/AK/bill/HB9/2025
AK,1912444,,Add Faculty Member Univ Board Of Regents,An Act relating to the Board of Regents of the University of Alaska; and providing for an effective date.,2,2025-05-07,https://legiscan.com/AK/bill/HB10/2025
AK,1912451,,Pfd Contributions To General Fund And Pf,An Act relating to contributions and donations from permanent fund dividends.,1,2025-01-22,https://legiscan.com/AK/bill/HB11/2025
AK,1912509,,Free Breakfast & Lunch In Public Schools,An Act relating to free breakfast and lunch in public schools.,1,2025-01-22,https://legiscan.com/AK/bill/HB12/2025
AK,1912464,,Municipal Property Tax Exemptions,"An Act relating to optional municipal property tax exemptions for certain long-term rental units, certain mobile home parks, real property rented to low-income families, real property owned and occupied as a permanent place of abode, and real property owned by first-time homebuyers.",2,2025-05-12,https://legiscan.com/AK/bill/HB13/2025
AK,1912506,,Repeal Catastrophic Illness/med Assist,An Act repealing programs for catastrophic illness assistance and medical assistance for chronic and acute medical conditions.,2,2025-05-14,https://legiscan.com/AK/bill/HB14/2025
AK,1912455,,Oil/gas Royalty Rates,An Act relating to royalty rates and payments for certain oil and gas; and providing for an effective date.,1,2025-01-22,https://legiscan.com/AK/bill/HB15/2025
AK,1912500,,Campaign Finance;contribution Limits;apoc,An Act requiring a group supporting or opposing a candidate or ballot proposition in a state or local election to maintain an address in the state; amending campaign contribution limits for state and local office; directing the Alaska Public Offices Commission to adjust campaign contribution limits for state and local office once each decade beginning in 2031; relating to campaign contribution reporting requirements; relating to administrative complaints filed with the Alaska Public Offices Commission; relating to state election expenditures and contributions made by a foreign-influenced corporation or foreign national; and providing for an effective date.,2,2025-04-28,https://legiscan.com/AK/bill/HB16/2025
AK,1912460,,Disabled Veterans: Retirement Benefits,An Act relating to retirement benefits and military service.,2,2025-04-28,https://legiscan.com/AK/bill/HB17/2025
AK,1912441,,Vehicles/boats: Transfer On Death Title,An Act relating to the transfer of a title on the death of the owner; and providing for an effective date.,1,2025-01-22,https://legiscan.com/AK/bill/HB18/2025
AK,1912505,,Elections: Reverse Ballot Measure 2,An Act relating to elections.,1,2025-01-22,https://legiscan.com/AK/bill/HB19/2025
AK,1912483,,Prohibit Fees For Paper Documents,An Act relating to fees for paper documents; relating to unfair trade practices; and providing for an effective date.,2,2026-03-04,https://legiscan.com/AK/bill/HB20/2025
AK,1912434,,Voter Preregistration For Minors,An Act relating to voter preregistration for minors at least 16 years of age; and relating to confidentiality of voter registration and preregistration records of minors at least 16 years of age.,1,2025-01-22,https://legiscan.com/AK/bill/HB21/2025
AK,1912474,,General Relief & Burial Assistance,An Act relating to general relief and burial assistance; and providing for an effective date.,1,2025-01-22,https://legiscan.com/AK/bill/HB22/2025
AK,1912487,,State Commission For Civil Rights,An Act renaming the State Commission for Human Rights the Alaska State Commission for Civil Rights; relating to removal of commissioners of the Alaska State Commission for Civil Rights; relating to reports from the Alaska State Commission for Civil Rights; relating to the definition of &#39;employer&#39; for the purposes of the Alaska State Commission for Civil Rights; and relating to local civil rights commissions.,2,2025-05-16,https://legiscan.com/AK/bill/HB23/2025
AK,1912511,,Aggravating Factors At Sentencing,An Act relating to aggravating factors considered at sentencing.,1,2025-01-22,https://legiscan.com/AK/bill/HB24/2025
AK,1912470,,Disposable Food Service Ware,An Act relating to disposable food service ware; and providing for an effective date.,1,2025-01-22,https://legiscan.com/AK/bill/HB25/2025
AK,1912443,,Statewide Public & Community Transit Plan,An Act relating to the duties of the Department of Transportation and Public Facilities; and relating to a statewide public and community transit plan.,2,2025-05-02,https://legiscan.com/AK/bill/HB26/2025
AK,1912481,,Medical Major Emergencies,An Act relating to medical care for major emergencies.,2,2025-05-18,https://legiscan.com/AK/bill/HB27/2025
AK,1912486,,Teacher/state Employee Student Loan Prgrm,An Act establishing a student loan repayment pilot program; and providing for an effective date.,2,2025-05-19,https://legiscan.com/AK/bill/HB28/2025
AK,1912456,,School/university Employee Health Insur,"An Act relating to group insurance coverage and self-insurance coverage for school district employees, employees of the University of Alaska, and employees of other governmental units in the state; and providing for an effective date.",1,2025-01-22,https://legiscan.com/AK/bill/HB29/2025
