state,bill_id,bill_number,title,description,status,status_date,url
AL,2038126,,Motor vehicles; suspension of driver license and ignition interlock device following first driving while under the influence conviction required,Motor vehicles; suspension of driver license and ignition interlock device following first driving while under the influence conviction required,2,2026-02-03,https://legiscan.com/AL/bill/HB1/2026
AL,2038144,,"Gulf of Mexico, renamed, observation and implementation by state and local entities and state and local employees required where practicable","Gulf of Mexico, renamed, observation and implementation by state and local entities and state and local employees required where practicable",2,2026-02-24,https://legiscan.com/AL/bill/HB2/2026
AL,2038178,,Taxation; to exempt certain retail sales of fish or other seafood from sales and use taxes,Taxation; to exempt certain retail sales of fish or other seafood from sales and use taxes,2,2026-01-22,https://legiscan.com/AL/bill/HB3/2026
AL,2038158,,Taxation; establishes Alabama Broadband Investment Maximization Act; exempts ADECA project funded or administered purchases from sales and use tax,Taxation; establishes Alabama Broadband Investment Maximization Act; exempts ADECA project funded or administered purchases from sales and use tax,2,2026-02-24,https://legiscan.com/AL/bill/HB4/2026
AL,2038160,,Service contracts; terms defined; certain disclosures in advertising required; disclosures of limitations of contracts further provided for,Service contracts; terms defined; certain disclosures in advertising required; disclosures of limitations of contracts further provided for,1,2026-01-13,https://legiscan.com/AL/bill/HB5/2026
AL,2038122,,"Employees' Retirement System, all ALEA law enforcement officers, including State Police Tier II Plan members, to receive payment for up to 80 hours of accrued and unused annual leave per year","Employees' Retirement System, all ALEA law enforcement officers, including State Police Tier II Plan members, to receive payment for up to 80 hours of accrued and unused annual leave per year",1,2026-01-13,https://legiscan.com/AL/bill/HB6/2026
AL,2038136,,"Crimes and offenses, credible threat defined; penalties for crimes of making a terrorist threat in the first or second degree provided further for; principal to immediately contact law enforcement of terrorist threat, suspension of student, readmittance, and restitution provided","Crimes and offenses, credible threat defined; penalties for crimes of making a terrorist threat in the first or second degree provided further for; principal to immediately contact law enforcement of terrorist threat, suspension of student, readmittance, and restitution provided",2,2026-02-05,https://legiscan.com/AL/bill/HB7/2026
AL,2038175,,"Campus chaplains; public K-12 schools authorized to accept as volunteers, local boards of education and governing bodies authorized to vote on whether to allow, limitations provided","Campus chaplains; public K-12 schools authorized to accept as volunteers, local boards of education and governing bodies authorized to vote on whether to allow, limitations provided",2,2026-02-24,https://legiscan.com/AL/bill/HB8/2026
AL,2038167,,"Abuse and exploitation of an elder, effect of conviction on intestate succession, wills, joint assets, and other contractual obligations provided","Abuse and exploitation of an elder, effect of conviction on intestate succession, wills, joint assets, and other contractual obligations provided",1,2026-01-13,https://legiscan.com/AL/bill/HB9/2026
AL,2038180,,"Juvenile offenders, delinquent acts for purposes of juvenile proceedings further provided for","Juvenile offenders, delinquent acts for purposes of juvenile proceedings further provided for",1,2026-01-13,https://legiscan.com/AL/bill/HB10/2026
AL,2038128,,"Youthful offender status, to prohibit a judge from granting youthful offender status to any person who is 16 years of age and older and charged with capital murder or murder","Youthful offender status, to prohibit a judge from granting youthful offender status to any person who is 16 years of age and older and charged with capital murder or murder",1,2026-01-13,https://legiscan.com/AL/bill/HB11/2026
AL,2038149,,"Health; discrimination by certain entities against individuals who refuse certain immunizations, drugs, or facial coverings for reasons of conscience prohibited; civil cause of action for violations provided; Attorney General authorized to defend an entity subject to related federal penalties","Health; discrimination by certain entities against individuals who refuse certain immunizations, drugs, or facial coverings for reasons of conscience prohibited; civil cause of action for violations provided; Attorney General authorized to defend an entity subject to related federal penalties",1,2026-01-13,https://legiscan.com/AL/bill/HB12/2026
AL,2038152,,"Illegal immigration, procedures for arrest, detention, transportation of illegal immigrants provided for; reporting requirements established","Illegal immigration, procedures for arrest, detention, transportation of illegal immigrants provided for; reporting requirements established",1,2026-01-13,https://legiscan.com/AL/bill/HB13/2026
AL,2038170,,Referendum measures; authorize general laws and constitutional amendments to be initiated through public petition process,Referendum measures; authorize general laws and constitutional amendments to be initiated through public petition process,1,2026-01-13,https://legiscan.com/AL/bill/HB14/2026
AL,2038147,,"Taxation, sales tax exemptions, sales and use tax exemption with local option provided for purchases of optical aids, including eyeglasses and contact lenses.","Taxation, sales tax exemptions, sales and use tax exemption with local option provided for purchases of optical aids, including eyeglasses and contact lenses.",1,2026-01-13,https://legiscan.com/AL/bill/HB15/2026
AL,2038172,,Fair Campaign Practices Act; authorize notifications of civil penalties by electronic mail in lieu of certified mail in certain circumstances,Fair Campaign Practices Act; authorize notifications of civil penalties by electronic mail in lieu of certified mail in certain circumstances,1,2026-01-13,https://legiscan.com/AL/bill/HB16/2026
AL,2038131,,"Municipal audits, expenditure thresholds for municipal audits revised","Municipal audits, expenditure thresholds for municipal audits revised",1,2026-01-13,https://legiscan.com/AL/bill/HB17/2026
AL,2038134,,"Acknowledgement of paternity; certain rebuttable presumptions relating to the best interest of a child, created","Acknowledgement of paternity; certain rebuttable presumptions relating to the best interest of a child, created",1,2026-01-13,https://legiscan.com/AL/bill/HB18/2026
AL,2038164,,"Child custody; rebuttable presumption of joint physical custody and substantial parenting time created, final order of the court further provided for","Child custody; rebuttable presumption of joint physical custody and substantial parenting time created, final order of the court further provided for",1,2026-01-13,https://legiscan.com/AL/bill/HB19/2026
AL,2038155,,"Crimes and offenses; list of capital offenses, further provided to include murder committed when the defendant knowingly creates a great risk to multiple persons","Crimes and offenses; list of capital offenses, further provided to include murder committed when the defendant knowingly creates a great risk to multiple persons",1,2026-01-13,https://legiscan.com/AL/bill/HB20/2026
AL,2038139,,"Employees, annual leave to attend school related activities authorized","Employees, annual leave to attend school related activities authorized",1,2026-01-13,https://legiscan.com/AL/bill/HB21/2026
AL,2041624,,"Class IV municipalities; audits, restrictions on hiring accountant removed","Class IV municipalities; audits, restrictions on hiring accountant removed",1,2026-01-13,https://legiscan.com/AL/bill/HB22/2026
AL,2041629,,"Public preK-12 education; discussions of gender identity prohibited, employees prohibited from displaying flags or insignia relating to sexual orientation or gender identity and from referring to students by pronouns inconsistent with student's biological sex","Public preK-12 education; discussions of gender identity prohibited, employees prohibited from displaying flags or insignia relating to sexual orientation or gender identity and from referring to students by pronouns inconsistent with student's biological sex",1,2026-01-13,https://legiscan.com/AL/bill/HB23/2026
AL,2041633,,"Vaccines; religious exemption for K-12 students further provided for, religious exemption for students at public institutions of higher education provided","Vaccines; religious exemption for K-12 students further provided for, religious exemption for students at public institutions of higher education provided",1,2026-01-13,https://legiscan.com/AL/bill/HB24/2026
AL,2041628,,Air pollution; dispersion of items intended to affect weather prohibited; pollution reduction fund created; environmental management department required to administer,Air pollution; dispersion of items intended to affect weather prohibited; pollution reduction fund created; environmental management department required to administer,1,2026-01-13,https://legiscan.com/AL/bill/HB25/2026
AL,2041651,,"Sex offenders; restrictions for certain sex offenders further provided, Board of Pardons and Paroles authorized to adopt rules","Sex offenders; restrictions for certain sex offenders further provided, Board of Pardons and Paroles authorized to adopt rules",1,2026-01-13,https://legiscan.com/AL/bill/HB26/2026
AL,2041648,,Relating to Catastrophe Savings Accounts; expands allowable expenses,Relating to Catastrophe Savings Accounts; expands allowable expenses,4,2026-02-24,https://legiscan.com/AL/bill/HB27/2026
AL,2041636,,Taxation; to establish an income tax credit for oyster shell recycling,Taxation; to establish an income tax credit for oyster shell recycling,2,2026-01-20,https://legiscan.com/AL/bill/HB28/2026
AL,2041640,,Crimes and offenses; manslaughter; further provided to include certain victims of sexual extortion,Crimes and offenses; manslaughter; further provided to include certain victims of sexual extortion,1,2026-01-13,https://legiscan.com/AL/bill/HB29/2026
AL,2041643,,Solid waste collection fees; veterans' benefits sole income households exempted,Solid waste collection fees; veterans' benefits sole income households exempted,1,2026-01-13,https://legiscan.com/AL/bill/HB30/2026
AL,2041839,,"Public assistance; Department of Human Resources required to request waiver to prohibit the purchase of soda, energy drinks, candy, and processed desserts with SNAP benefits, implementation of prohibition provided for","Public assistance; Department of Human Resources required to request waiver to prohibit the purchase of soda, energy drinks, candy, and processed desserts with SNAP benefits, implementation of prohibition provided for",1,2026-01-13,https://legiscan.com/AL/bill/HB31/2026
AL,2041833,,"Motor vehicles; child passenger restraint systems, use further provided","Motor vehicles; child passenger restraint systems, use further provided",1,2026-01-13,https://legiscan.com/AL/bill/HB32/2026
AL,2041840,,"Driver licenses and learner permits; age in which the Alabama State Law Enforcement Agency may deny an application for failure to meet certain school enrollment and graduation criteria changed, accepted criteria further provided for","Driver licenses and learner permits; age in which the Alabama State Law Enforcement Agency may deny an application for failure to meet certain school enrollment and graduation criteria changed, accepted criteria further provided for",2,2026-02-05,https://legiscan.com/AL/bill/HB33/2026
AL,2041836,,"Crimes and offenses; crime of giving false information to a law enforcement officer, established; crime of refusing to give a law enforcement officer information, established","Crimes and offenses; crime of giving false information to a law enforcement officer, established; crime of refusing to give a law enforcement officer information, established",1,2026-01-13,https://legiscan.com/AL/bill/HB34/2026
AL,2041838,,"Motor vehicles; Alabama Squat Truck Law; prohibitions on the alteration of the height of the fender of a vehicle, provided","Motor vehicles; Alabama Squat Truck Law; prohibitions on the alteration of the height of the fender of a vehicle, provided",1,2026-01-13,https://legiscan.com/AL/bill/HB35/2026
AL,2041835,,"Law enforcement; Attorney General and Governor authorized to appoint interim police chief, subject to conditions","Law enforcement; Attorney General and Governor authorized to appoint interim police chief, subject to conditions",1,2026-01-13,https://legiscan.com/AL/bill/HB36/2026
AL,2041837,,"Crimes and offenses; penalties for eluding or attempting to elude a law enforcement officer, penalties further provided","Crimes and offenses; penalties for eluding or attempting to elude a law enforcement officer, penalties further provided",2,2026-02-03,https://legiscan.com/AL/bill/HB37/2026
