state,bill_id,bill_number,title,description,status,status_date,url
AZ,2052781,,Elections; early voting; tabulation,Elections; early voting; tabulation,1,2026-01-12,https://legiscan.com/AZ/bill/HB2001/2026
AZ,2052814,,Parole eligibility; life imprisonment sentences,Parole eligibility; life imprisonment sentences,1,2026-01-12,https://legiscan.com/AZ/bill/HB2002/2026
AZ,2052842,,Driver license instruction permit; age,Driver license instruction permit; age,2,2026-02-24,https://legiscan.com/AZ/bill/HB2003/2026
AZ,2052794,,Income tax credit; family support,Income tax credit; family support,1,2026-01-12,https://legiscan.com/AZ/bill/HB2004/2026
AZ,2052837,,Vaccination status; unprofessional conduct; policies,Vaccination status; unprofessional conduct; policies,1,2026-01-12,https://legiscan.com/AZ/bill/HB2005/2026
AZ,2052827,,Sample ballots; mailing date,Sample ballots; mailing date,2,2026-02-24,https://legiscan.com/AZ/bill/HB2006/2026
AZ,2052802,,Ivermectin; over-the-counter drug,Ivermectin; over-the-counter drug,1,2026-01-12,https://legiscan.com/AZ/bill/HB2007/2026
AZ,2052822,,School libraries; professional associations; prohibitions,School libraries; professional associations; prohibitions,2,2026-02-05,https://legiscan.com/AZ/bill/HB2008/2026
AZ,2052819,,Constitutional amendments; foreign contributions prohibited,Constitutional amendments; foreign contributions prohibited,1,2026-01-12,https://legiscan.com/AZ/bill/HB2009/2026
AZ,2052833,,Digital goods; seller's requirements; enforcement,Digital goods; seller's requirements; enforcement,2,2026-02-09,https://legiscan.com/AZ/bill/HB2010/2026
AZ,2052846,,Individual income tax; subtraction; adoption,Individual income tax; subtraction; adoption,1,2026-01-12,https://legiscan.com/AZ/bill/HB2011/2026
AZ,2053030,,Vehicle registration; fees; alternative fuel,Vehicle registration; fees; alternative fuel,1,2026-01-12,https://legiscan.com/AZ/bill/HB2012/2026
AZ,2053083,,Exceptional events; air quality; wildfires,Exceptional events; air quality; wildfires,2,2026-02-26,https://legiscan.com/AZ/bill/HB2013/2026
AZ,2053048,,Fuel formulations; modeling; study; appropriation,Fuel formulations; modeling; study; appropriation,2,2026-02-26,https://legiscan.com/AZ/bill/HB2014/2026
AZ,2053064,,Budget procedures; late filing penalty,Budget procedures; late filing penalty,2,2026-02-26,https://legiscan.com/AZ/bill/HB2015/2026
AZ,2053286,,Tax returns; late filing; penalties,Tax returns; late filing; penalties,2,2026-02-23,https://legiscan.com/AZ/bill/HB2016/2026
AZ,2053288,,Website information; pregnant women,Website information; pregnant women,1,2026-01-12,https://legiscan.com/AZ/bill/HB2017/2026
AZ,2053298,,DCS; reporting; financial incentives; prohibition,DCS; reporting; financial incentives; prohibition,1,2026-01-12,https://legiscan.com/AZ/bill/HB2018/2026
AZ,2053303,,Individual income tax; filing exemption,Individual income tax; filing exemption,1,2026-01-12,https://legiscan.com/AZ/bill/HB2019/2026
AZ,2053291,,Educational institutions; interference; disruption,Educational institutions; interference; disruption,2,2026-02-26,https://legiscan.com/AZ/bill/HB2020/2026
AZ,2054298,,K-3 reading program; curriculum requirements,K-3 reading program; curriculum requirements,1,2026-01-12,https://legiscan.com/AZ/bill/HB2021/2026
AZ,2054262,,Elections; July primary; curing; observers,Elections; July primary; curing; observers,4,2026-02-06,https://legiscan.com/AZ/bill/HB2022/2026
AZ,2055825,,Land divisions; disclosure affidavit; recording,Land divisions; disclosure affidavit; recording,2,2026-02-26,https://legiscan.com/AZ/bill/HB2023/2026
AZ,2055822,,Water supply development; definition; snowpack,Water supply development; definition; snowpack,1,2026-01-12,https://legiscan.com/AZ/bill/HB2024/2026
AZ,2055829,,DWR; appealable agency actions; exemption,DWR; appealable agency actions; exemption,1,2026-01-12,https://legiscan.com/AZ/bill/HB2025/2026
AZ,2055808,,Assured water supply; commingling,Assured water supply; commingling,2,2026-02-23,https://legiscan.com/AZ/bill/HB2026/2026
AZ,2055815,,Physical availability; review; designated providers,Physical availability; review; designated providers,1,2026-01-12,https://legiscan.com/AZ/bill/HB2027/2026
AZ,2055789,,DWR; application; administrative completeness,DWR; application; administrative completeness,2,2026-02-23,https://legiscan.com/AZ/bill/HB2028/2026
AZ,2055803,,Water conservation grant fund; disclosure,Water conservation grant fund; disclosure,2,2026-02-10,https://legiscan.com/AZ/bill/HB2029/2026
AZ,2055835,,Water conservation grant fund; education,Water conservation grant fund; education,1,2026-01-12,https://legiscan.com/AZ/bill/HB2030/2026
AZ,2055794,,Grandfathered right; Willcox AMA; extension,Grandfathered right; Willcox AMA; extension,2,2026-02-23,https://legiscan.com/AZ/bill/HB2031/2026
AZ,2056078,,Statewide assessment; testing window; revisions,Statewide assessment; testing window; revisions,2,2026-02-24,https://legiscan.com/AZ/bill/HB2032/2026
AZ,2056025,,Statewide assessment; written form; requirements,Statewide assessment; written form; requirements,2,2026-02-26,https://legiscan.com/AZ/bill/HB2033/2026
AZ,2056052,,License exemption; basic first aid,License exemption; basic first aid,1,2026-01-12,https://legiscan.com/AZ/bill/HB2034/2026
AZ,2056201,,DCS; kinship care placement; requirement,DCS; kinship care placement; requirement,2,2026-03-09,https://legiscan.com/AZ/bill/HB2035/2026
AZ,2056612,,Voter registration; same day,Voter registration; same day,0,,https://legiscan.com/AZ/bill/HB2036/2026
AZ,2056630,,Automatic voter registration,Automatic voter registration,0,,https://legiscan.com/AZ/bill/HB2037/2026
AZ,2056647,,Franchises; relationships; definitions,Franchises; relationships; definitions,1,2026-01-12,https://legiscan.com/AZ/bill/HB2038/2026
AZ,2056594,,Clergy; priests; duty to report,Clergy; priests; duty to report,1,2026-01-12,https://legiscan.com/AZ/bill/HB2039/2026
AZ,2057819,,Public educational institutions; adoption information,Public educational institutions; adoption information,2,2026-02-26,https://legiscan.com/AZ/bill/HB2040/2026
