state,bill_id,bill_number,title,description,status,status_date,url
CO,2079678,,Housing Developments on Qualifying Properties,Concerning the promotion of residential developments on qualifying properties.,4,2026-03-25,https://legiscan.com/CO/bill/HB1001/2026
CO,2079710,,Provider Participation in Health Insurance,"Concerning measures to increase patient access to behavioral health providers, and, in connection therewith, efforts to enhance provider participation in health-care provider networks, reimbursement of prelicensed providers who provide mental health services under the supervision of a licensed provider, and decreasing the clinical hours required to become a licensed clinical social worker.",2,2026-03-10,https://legiscan.com/CO/bill/HB1002/2026
CO,2079718,,Small Business Recovery Modifications,Concerning modifications to the small business recovery and resiliency loan program.,2,2026-02-12,https://legiscan.com/CO/bill/HB1003/2026
CO,2079711,,Continuation of Child Care Contribution Tax Credit,Concerning a continuation of the income tax credit for a qualifying contribution to promote child care in the state.,1,2026-01-14,https://legiscan.com/CO/bill/HB1004/2026
CO,2079691,,Worker Protection Collective Bargaining,"Concerning measures to reduce barriers in the ""Labor Peace Act"" to promote good faith collective bargaining negotiations, and, in connection therewith, reducing an appropriation.",2,2026-03-12,https://legiscan.com/CO/bill/HB1005/2026
CO,2079707,,Thriving Institution Designations for Higher Education,Concerning the designation of state institutions of higher education as thriving institutions.,1,2026-01-14,https://legiscan.com/CO/bill/HB1006/2026
CO,2079697,,Improve Customer Use Distributed Energy Resources,Concerning measures to improve a customer's ability to use distributed energy resources.,2,2026-03-10,https://legiscan.com/CO/bill/HB1007/2026
CO,2079721,,Colorado Outdoor Opportunities Act,"Concerning measures to enhance outdoor recreation opportunities in the state, and, in connection therewith, expanding the division of parks and wildlife's capacity for outdoor recreation coordination, planning, and management, and making an appropriation.",2,2026-03-12,https://legiscan.com/CO/bill/HB1008/2026
CO,2079700,,Colorado Mandatory Lethality Assessment Act,Concerning using a mandatory lethality assessment when responding to a domestic violence incident.,2,2026-03-12,https://legiscan.com/CO/bill/HB1009/2026
CO,2079686,,Older Adult Support &amp; Representation in Workforce,Concerning increasing support for older adults in the workforce.,2,2026-03-03,https://legiscan.com/CO/bill/HB1010/2026
CO,2079694,,Transfers of Certain Pet Animals,Concerning the transfer of certain pet animals in Colorado.,2,2026-03-06,https://legiscan.com/CO/bill/HB1011/2026
CO,2079706,,Consumer Protections to Promote Fair Market Pricing,Concerning consumer protections to promote fair market pricing practices in the state.,6,2026-03-03,https://legiscan.com/CO/bill/HB1012/2026
CO,2079674,,Ratio Utility Billing Systems,Concerning the use of a ratio utility billing system by a landlord to allocate utility charges to tenants.,3,2026-03-12,https://legiscan.com/CO/bill/HB1013/2026
CO,2079701,,Extend Colorado Job Growth Incentive Tax Credit,Concerning an extension of the Colorado job growth incentive tax credit through state income tax year 2034.,1,2026-01-14,https://legiscan.com/CO/bill/HB1014/2026
CO,2079714,,Colorado Homeless Contribution Tax Credit Extension,Concerning the extension of the Colorado homeless contribution tax credit through income tax year 2030.,1,2026-01-14,https://legiscan.com/CO/bill/HB1015/2026
CO,2079684,,Continuation of Open Educational Resources Program,Concerning the continuation of open educational resources policies.,1,2026-01-14,https://legiscan.com/CO/bill/HB1016/2026
CO,2079719,,Criminal Restitution Prohibited for Insurers,Concerning prohibiting an insurer from receiving restitution through the criminal restitution process.,2,2026-03-02,https://legiscan.com/CO/bill/HB1017/2026
CO,2079696,,Long-term Care Services for Nursing Home Residents,Concerning the establishment of long-term services and supports for an individual transitioning out of a nursing facility.,1,2026-01-14,https://legiscan.com/CO/bill/HB1018/2026
CO,2079708,,Kidney Screening Mandatory Preventive Coverage,Concerning mandatory health-care coverage for preventive kidney function screening services.,2,2026-03-19,https://legiscan.com/CO/bill/HB1019/2026
CO,2079689,,Colorimetric Field Drug Tests in Drug Possessions,Concerning colorimetric field drug tests in cases involving drug possession.,3,2026-03-17,https://legiscan.com/CO/bill/HB1020/2026
CO,2080042,,Second Amendment Protection Act,Concerning measures to protect second amendment rights.,6,2026-02-17,https://legiscan.com/CO/bill/HB1021/2026
CO,2080071,,Jury Duty Opt-Out for People 72 Years or Older,Concerning an opt-out from jury service for people who are at least seventy-two years old.,1,2026-01-14,https://legiscan.com/CO/bill/HB1022/2026
CO,2080359,,Political Party Liability for Accessibility Requirements,Concerning clarification of a political party's liability for certain accessibility requirements relating to ballot access for persons with disabilities.,2,2026-03-04,https://legiscan.com/CO/bill/HB1023/2026
CO,2080253,,Raising Age of Voluntary Relinquishment of Child,Concerning raising the age of a child who may be voluntarily relinquished from seventy-two hours old to thirty days old or younger.,2,2026-03-03,https://legiscan.com/CO/bill/HB1024/2026
CO,2080420,,Exempt Auctioneers Charitable Solicitation Requirements,"Concerning an exemption for auctioneers from certain requirements of the ""Colorado Charitable Solicitations Act"".",3,2026-03-19,https://legiscan.com/CO/bill/HB1025/2026
CO,2080238,,Expanding Plan Options for PERA,Concerning an expansion of plan options for the public employees' retirement association.,2,2026-03-10,https://legiscan.com/CO/bill/HB1026/2026
CO,2080013,,BOCES Definition &amp; Executive Director,"Concerning boards of cooperative services, and, in connection therewith, permitting a retiree to work as an executive director of a board of cooperative services without losing retirement benefits and clarifying board of cooperative services eligibility for postsecondary and workforce readiness funding.",4,2026-03-12,https://legiscan.com/CO/bill/HB1027/2026
CO,2079832,,Second Language Educational Program for High School Students,Concerning second language diploma endorsements for graduating high school students.,1,2026-01-14,https://legiscan.com/CO/bill/HB1028/2026
CO,2080117,,Student Representation Commission on Higher Education,Concerning enhancing representation in higher education by altering the membership of certain entities involved in higher education policy development in the state.,1,2026-01-14,https://legiscan.com/CO/bill/HB1029/2026
CO,2079907,,Data Center &amp; Utility Modernization,"Concerning facilitation of data center development while supporting utility resources, and, in connection therewith, creating the ""Colorado Data Center Workforce, Clean Energy, Grid Modernization, and Consumer and Environmental Protection Act"".",1,2026-01-14,https://legiscan.com/CO/bill/HB1030/2026
CO,2080192,,Protections for Agricultural Products Grown in Colorado,Concerning protections for certain agricultural products grown in Colorado.,2,2026-03-03,https://legiscan.com/CO/bill/HB1031/2026
CO,2080163,,Fallen Firefighter Special License Plate,Concerning the creation of a fallen firefighter special license plate.,1,2026-01-14,https://legiscan.com/CO/bill/HB1032/2026
CO,2079817,,Expanding the Colorado Cottage Foods Act,"Concerning expanding the scope of the ""Colorado Cottage Foods Act"".",1,2026-01-14,https://legiscan.com/CO/bill/HB1033/2026
CO,2080329,,Modifications to Standards for Irrigation Equipment,Concerning modifications to environmental standards for certain irrigation equipment.,2,2026-03-12,https://legiscan.com/CO/bill/HB1034/2026
CO,2079969,,Enactment of Colorado Revised Statutes 2025,Concerning the enactment of the Colorado Revised Statutes 2025 as the positive and statutory law of the state of Colorado.,3,2026-03-17,https://legiscan.com/CO/bill/HB1035/2026
CO,2080025,,Local Taxes on Vacant Residential Property,"Concerning authorization for a local government to impose taxes on vacant residential properties, and, in connection therewith, allowing a local government to levy an excise tax based on the characteristics of a residential property, allowing a local government to create a new property tax classification for vacant residential properties and levy an additional property tax on those properties, and allowing local governments to contract to form a local housing tax authority.",6,2026-02-09,https://legiscan.com/CO/bill/HB1036/2026
CO,2079923,,Ban Government Purchase of Personal Data from Third Party,Concerning prohibiting a government entity from obtaining certain personal data from a third party for use by a government entity in exchange for anything of value.,1,2026-01-14,https://legiscan.com/CO/bill/HB1037/2026
CO,2079849,,County Commissioner Redistricting,Concerning county commissioner redistricting.,2,2026-02-12,https://legiscan.com/CO/bill/HB1038/2026
CO,2079981,,Adding Municipal Jails to County Jail Oversight Requirements,Concerning requirements for municipal jails.,2,2026-03-10,https://legiscan.com/CO/bill/HB1039/2026
CO,2080135,,Sterilization Rights of Person with Disabilities,Concerning the sterilization rights of a person with intellectual and developmental disabilities.,3,2026-03-12,https://legiscan.com/CO/bill/HB1040/2026
CO,2079996,,Electronic Vehicle Records,"Concerning the use of an electronic vehicle record for a certificate of title, and, in connection therewith, repealing the requirement for a paper certificate of title.",3,2026-03-19,https://legiscan.com/CO/bill/HB1041/2026
CO,2079936,,Dry Needling by Occupational Therapists,Concerning dry needling by occupational therapists.,2,2026-02-20,https://legiscan.com/CO/bill/HB1042/2026
CO,2080219,,Transportation Network Company Discriminatory Practices,Concerning measures to address discriminatory conduct engaged in by transportation network company drivers in providing services to riders.,1,2026-01-14,https://legiscan.com/CO/bill/HB1043/2026
CO,2079787,,Measures to Improve Black Maternal Health Equity,Concerning measures to improve equity in maternal health.,2,2026-03-06,https://legiscan.com/CO/bill/HB1044/2026
CO,2080386,,Disabilities Housing Protections,Concerning housing protections for individuals with disabilities.,2,2026-02-06,https://legiscan.com/CO/bill/HB1045/2026
CO,2080432,,Regulate Earned-Wage Access Services,Concerning the regulation of earned-wage access services.,1,2026-01-14,https://legiscan.com/CO/bill/HB1046/2026
CO,2080103,,Protections for Residential Tenants,"Concerning protections for residential tenants, and, in connection therewith, requiring a plaintiff that files a complaint regarding the unlawful detention of real property to include certain information with the complaint; requiring court records of certain eviction actions to remain suppressed; requiring a landlord to include certain information in, and to redact personal identifying information from, a written demand or notice; and requiring a landlord to provide a tenant at least one rent payment option that does not require the tenant to access an online portal or pay a transaction fee.",6,2026-02-24,https://legiscan.com/CO/bill/HB1047/2026
CO,2080207,,Back-to-School Sales Tax Holiday,Concerning a sales and use tax holiday for back-to-school items.,1,2026-01-14,https://legiscan.com/CO/bill/HB1048/2026
CO,2079805,,Prohibit Use of Personally Identifying Feature,Concerning prohibiting the use of another individual's personally identifying feature without permission.,6,2026-02-12,https://legiscan.com/CO/bill/HB1049/2026
CO,2080313,,Optional Individualized Readiness Plan for School,Concerning making it optional for a local education provider to provide an individualized readiness plan to a student who satisfies minimum requirements.,2,2026-03-18,https://legiscan.com/CO/bill/HB1050/2026
CO,2080447,,Continue Microgrid Community Resilience Grant Program,Concerning continuing the microgrids for community resilience grant program.,2,2026-03-05,https://legiscan.com/CO/bill/HB1051/2026
CO,2080267,,Rights for Victims of Certain Crimes,"Concerning changes to the ""Victim Rights Act"".",1,2026-01-14,https://legiscan.com/CO/bill/HB1052/2026
CO,2079952,,Motor Vehicle Regulation Administration,"Concerning the administration of duties related to the ownership of a vehicle, and, in connection therewith, making an appropriation.",2,2026-03-19,https://legiscan.com/CO/bill/HB1053/2026
CO,2080284,,Protections for Worker Safety,Concerning worker safety protections.,1,2026-01-14,https://legiscan.com/CO/bill/HB1054/2026
CO,2079892,,My Colorado Card Pilot Program,"Concerning the creation of the my Colorado card pilot program, and, in connection therewith, providing youth in grades six through twelve with access to cultural, arts, recreational, or extracurricular facilities throughout Colorado.",1,2026-01-14,https://legiscan.com/CO/bill/HB1055/2026
