state,bill_id,bill_number,title,description,status,status_date,url
CT,2130136,,An Act Concerning Absentee Voting For All And Various Other Reforms To The Administration Of Elections.,"To (1) remove the statutory restrictions on eligibility for absentee voting, (2) allow municipalities to provide by charter for quadrennial municipal elections, (3) authorize the Secretary of the State to recommend changes to procedures for in-person voter registration of disabled individuals, (4) permit assistant municipal clerks running for municipal clerk to perform their official duties on the day of an election, (5) provide for jointly temporarily relieving the registrars of voters of a municipality, (6) allow for Attorney General involvement in matters relating to subpoenas, warrants, other requests and alleged interference at elections, (7) permit the use of high-speed voting tabulators for recanvasses, (8) replace certain references to the Federal Election Commission with references to the Election Assistance Commission, (9) allow seventeen-year-olds who will attain the age of eighteen by the day of an election to vote early or by absentee at such election, (10) address applicability and Americans with Disabilities Act compliance of party rules filed with the Secretary, (11) provide for electronic ballot delivery and return for certain absentee voters, (12) amend the retrieval requirement for absentee ballots from drop boxes, (13) modify the availability time of primary petitions for certain municipal candidates, (14) amend the reasons for which, and the process by which, municipal clerks may be removed from office, (15) amend deadlines for the submission of municipal election returns and the conduct of post-election audits, (16) implement the recommendations of the risk-limiting audits working group, (17) authorize the State Elections Enforcement Commission to also investigate violations of elections-related regulations and not just violations of elections-related statutes, and (18) repeal a training requirement for registrars of voters.",1,2026-03-06,https://legiscan.com/CT/bill/HB05001/2026
CT,2124263,,"An Act Concerning Education Funding, Special Education And Early Childhood Programs.","To make revisions to (1) the foundation amount, the education cost sharing grant, the choice program grant and the charter school funding grant, (2) clarify the process for developing the rate schedule for private providers of special education services, and (3) provide spaces in early childhood programs under Early Start CT for families who become ineligible under the income standards for the Care 4 Kids program.",1,2026-02-26,https://legiscan.com/CT/bill/HB05002/2026
CT,2124499,,An Act Concerning Workforce Development And Working Conditions In The State.,To increase workforce development efforts and improve working conditions in the state.,1,2026-02-26,https://legiscan.com/CT/bill/HB05003/2026
CT,2124477,,An Act Concerning Child Welfare Accountability And Transparency.,To implement various policies concerning the provision and oversight of child welfare services in the state.,1,2026-02-26,https://legiscan.com/CT/bill/HB05004/2026
CT,2106681,,An Act Concerning The Sales Price Threshold Of Motor Vehicles Subject To A Higher Sales And Use Taxes Rate.,To increase to more than seventy-five thousand dollars the sales price threshold for a motor vehicle subject to the seven and three-fourths per cent sales and use taxes rate.,1,2026-02-04,https://legiscan.com/CT/bill/HB05005/2026
CT,2106694,,"An Act Concerning The Sales And Use Taxes Imposed On Meals Sold By An Eating Establishment, Caterer Or Grocery Store.","To eliminate the additional one per cent sales and use taxes imposed on meals sold by eating establishments, caterers or grocery stores.",1,2026-02-04,https://legiscan.com/CT/bill/HB05006/2026
CT,2106722,,An Act Fully Reimbursing Municipalities For Revenue Loss Associated With A Veterans Property Tax Credit.,To require the state to fully reimburse each municipality for the revenue loss caused by a property tax exemption for veterans pursuant to subdivision (83) of section 12-81 of the general statutes.,1,2026-02-04,https://legiscan.com/CT/bill/HB05007/2026
CT,2106790,,An Act Establishing A Small Business Tax Credit.,To establish a tax credit for small businesses of two thousand eighty dollars per full-time equivalent employee.,1,2026-02-04,https://legiscan.com/CT/bill/HB05008/2026
CT,2106775,,An Act Increasing And Expanding The Property Tax Credit Against The Personal Income Tax For A Primary Residence Or Motor Vehicle.,"To (1) increase the maximum allowable credit against the personal income tax for a person's primary residence or motor vehicle to one thousand dollars, (2) increase the minimum allowable credit threshold, and (3) expand eligibility for the credit by increasing the qualifying Connecticut adjusted gross income thresholds set forth in section 12-704c of the general statutes.",1,2026-02-04,https://legiscan.com/CT/bill/HB05009/2026
CT,2106703,,An Act Exempting Tips Or Gratuities And Overtime Pay From The Personal Income Tax.,To exempt the amount of tips or gratuities declared by a taxpayer and overtime pay from the personal income tax.,1,2026-02-04,https://legiscan.com/CT/bill/HB05010/2026
