state,bill_id,bill_number,title,description,status,status_date,url
GA,1916703,,Pediatric Health Safe Storage Act; enact,"A BILL to be entitled an Act to amend Part 3 of Article 4 of Chapter 11 of Title 16 of the Official Code of Georgia Annotated, relating to carrying and possession of firearms, so as to establish the offense of making a firearm accessible to a child; to provide for definitions; to provide for exceptions and affirmative defenses; to provide for criminal penalties; to require a notice by certain firearm dealers; to provide for a short title; to provide for related matters; to repeal conflicting laws; and for other purposes.",1,2025-01-13,https://legiscan.com/GA/bill/HB1/2025
GA,1916877,,Safe Storage Tax Credit Act; enact,"A BILL to be entitled an Act to amend Chapter 7 of Title 48 of the Official Code of Georgia Annotated, relating to income taxes, so as to provide for a tax credit for certain eligible expenses incurred for firearm safe storage devices; to provide for an aggregate annual cap; to provide for definitions; to provide for terms and conditions; to provide for tax credit preapproval by the department; to provide for rules and regulations; to provide for a short title; to provide for automatic repeal; to provide for related matters; to provide for an effective date and applicability; to repeal conflicting laws; and for other purposes.",1,2025-01-13,https://legiscan.com/GA/bill/HB2/2025
GA,1916913,,Brady Law Regulations; require universal background checks in all manner of firearm transfers,"A BILL to be entitled an Act to amend Part 5 of Article 4 of Chapter 11 of Title 16 of the Official Code of Georgia Annotated, relating to Brady Law Regulations, so as to require universal background checks in all manner of firearm transfers; to provide for definitions; to provide for exceptions; to provide for criminal penalties; to provide for applicability; to provide for related matters; to repeal conflicting laws; and for other purposes.",1,2025-01-13,https://legiscan.com/GA/bill/HB3/2025
GA,1916804,,Brady Law Regulations; three-day waiting period for purchase or transfer of certain firearms; require,"A BILL to be entitled an Act to amend Part 5 of Article 4 of Chapter 11 of Title 16 of the Official Code of Georgia Annotated, relating to Brady Law Regulations, so as to require a three-day waiting period for the purchase or transfer of certain firearms; to provide for inspection; to provide for exceptions; to provide for criminal penalties; to provide for related matters; to repeal conflicting laws; and for other purposes.",1,2025-01-13,https://legiscan.com/GA/bill/HB4/2025
GA,1916648,,Decatur County; board of commissioners; change district residency requirements for candidates,"A BILL to be entitled an Act to amend an Act relating to the board of commissioners of Decatur County, approved March 4, 1935 (Ga. L. 1935, p. 630), as amended, particularly by an Act approved May 6, 2015 (Ga. L. 2015, p. 3718), so as to change the district residency requirements for candidates for the office of commissioner; to provide for related matters; to repeal conflicting laws; and for other purposes.",4,2025-05-13,https://legiscan.com/GA/bill/HB5/2025
GA,1916845,,Mitchell County; Board of Commissioners; filling vacancies; revise provisions,"A BILL to be entitled an Act to amend an Act providing for a Board of Commissioners of Mitchell County, approved February 20, 1873 (Ga. L. 1873, p. 279), as amended, particularly by an Act approved April 1, 2002 (Ga. L. 2002, p. 3676), so as to revise provisions relating to filling vacancies on the board of commissioners; to provide for related matters; to repeal conflicting laws; and for other purposes.",4,2025-04-30,https://legiscan.com/GA/bill/HB6/2025
GA,1916663,,Income tax; workforce-ready graduates employed in high-tech full-time jobs in rural counties; provide tax credit,"A BILL to be entitled an Act to amend Article 2 of Chapter 7 of Title 48 of the Official Code of Georgia Annotated, relating to the imposition, rate, computation, exemptions, and credits relative to income taxes, so as to provide for a tax credit for workforce-ready graduates employed in high-tech full-time jobs in rural counties in this state; to require the Department of Labor to establish certain criteria; to provide for conditions and limitations; to provide for definitions; to provide for rules and regulations and forms; to provide for related matters; to provide for an effective date and applicability; to repeal conflicting laws; and for other purposes.",1,2025-01-13,https://legiscan.com/GA/bill/HB7/2025
GA,1916667,,Income tax credit; certain investments in qualified businesses; renew and revise,"A BILL to be entitled an Act to amend Chapter 7 of Title 48 of the Official Code of Georgia Annotated, relating to income taxes, so as to renew and revise an income tax credit for certain investments in qualified businesses; to remove the requirement that the investment be made by a qualified investor; to provide for an aggregate cap; to allow such credit to be transferred; to provide a reporting requirement; to provide for definitions; to provide for sunset; to provide for an effective date and applicability; to provide for related matters; to repeal conflicting laws; and for other purposes.",1,2025-01-13,https://legiscan.com/GA/bill/HB8/2025
GA,1916822,,Safer States Act; enact,"A BILL to be entitled an Act to amend Chapter 15 of Title 25 of the Official Code of Georgia Annotated, relating to other safety inspections and regulations, so as to prohibit the use of certain chemical flame retardants in certain products; to provide for definitions; to provide for notice; to provide for the restriction of additional chemical flame retardants; to provide for exceptions; to provide for penalties and a limited waiver; to provide for rules and regulations; to provide for a short title; to provide for an effective date; to provide for related matters; to repeal conflicting laws; and for other purposes.",1,2025-01-13,https://legiscan.com/GA/bill/HB9/2025
GA,1916868,,Georgia Booking Photo Privacy Protection Act; enact,"A BILL to be entitled an Act to amend Code Section 35-1-19 of the Official Code of Georgia Annotated, relating to the prohibition of disclosure of arrest booking photographs, so as to strengthen protections for individuals who have not been convicted of crimes; to provide for a short title; to provide for a definition; to provide for removal procedures for remove-for-pay publications and websites; to provide for related matters; to repeal conflicting laws; and for other purposes.",1,2025-01-13,https://legiscan.com/GA/bill/HB10/2025
GA,1916717,,Health; sufficient staff for carrying out food and nutrition services at a long-term care facility; provide,"A BILL to be entitled an Act to amend Chapter 7 of Title 31 of the Official Code of Georgia Annotated, relating to regulation and construction of hospitals and other health care facilities, so as to provide for sufficient staff for carrying out food and nutrition services at a long-term care facility; to provide for definitions; to provide for the employment of a licensed dietitian; to provide for the designation and qualifications of a director of food and nutrition services; to provide for sufficient support personnel; to provide for rules and regulations; to provide for related matters; to repeal conflicting laws; and for other purposes.",1,2025-01-13,https://legiscan.com/GA/bill/HB11/2025
GA,1916890,,Education; grants; revise definition of qualified local school system,"A BILL to be entitled an Act to amend Code Section 20-2-165 of the Official Code of Georgia Annotated, relating to equalization grants, annual calculations, and allocation, so as to revise the definition of the term ""qualified local school system"" by reducing the minimum required millage rate or effective millage rate from 14 mills to 10 mills; to provide for a 25 percent reduction of equalization grant awards for local school systems whose millage rate or effective millage rate does not meet the minimum requirement; to require annual reporting by the Department of Education; to repeal a definition; to repeal conflicting laws; and for other purposes.",1,2025-01-13,https://legiscan.com/GA/bill/HB12/2025
GA,1916730,,Echols County; Board of Education; provide for compensation,A BILL to be entitled an Act to provide for the compensation of the Echols County Board of Education; to provide an effective date; to repeal conflicting laws; and for other purposes.,4,2025-05-13,https://legiscan.com/GA/bill/HB13/2025
GA,1916713,,State symbols; cornbread as official state bread; designate,"A BILL to be entitled an Act to amend Article 3 of Chapter 3 of Title 50 of the Official Code of Georgia Annotated, relating to other state symbols, so as to designate cornbread as the official state bread of Georgia; to provide legislative findings and declarations; to provide for related matters; to repeal conflicting laws; and for other purposes.",2,2025-02-26,https://legiscan.com/GA/bill/HB14/2025
GA,1916909,,Banking and finance; update terminology; provisions,"A BILL to be entitled an Act to amend Title 7 of the O.C.G.A., relating to banking and finance, so as to update terminology; to revise procedures concerning incorporators of credit unions; to revise requirements of articles of incorporation of credit unions; to revise licensure requirements for money transmissions, cashing payment instruments, mortgage lenders and mortgage brokers, foreign banking institutions, and installment loans; to provide for revised auditing procedures for mortgage lenders and mortgage brokers; to provide for corporate governance requirements for mortgage lenders and mortgage brokers; to provide for liquidity requirements for mortgage lenders and mortgage brokers; to revise requirements for applications to relocate for foreign banking institutions; to provide for related matters; to repeal conflicting laws; and for other purposes.",4,2025-05-14,https://legiscan.com/GA/bill/HB15/2025
