state,bill_id,bill_number,title,description,status,status_date,url
ID,2084381,,Adds to existing law to prohibit the use of a mask or disguise during a criminal offense and to provide for a sentencing enhancement.,CRIMES AND PUNISHMENT -- Adds to existing law to prohibit the use of a mask or disguise during a criminal offense and to provide for a sentencing enhancement.,1,2026-01-16,https://legiscan.com/ID/bill/H0489/2026
ID,2084632,,Amends existing law to revise a provision regarding reckless driving.,RECKLESS DRIVING -- Amends existing law to revise a provision regarding reckless driving.,1,2026-01-16,https://legiscan.com/ID/bill/H0490/2026
ID,2084507,,Amends existing law to revise provisions regarding immunity of persons giving first aid from damage claims.,EMERGENCY FIRST AID -- Amends existing law to revise provisions regarding immunity of persons giving first aid from damage claims.,2,2026-01-26,https://legiscan.com/ID/bill/H0491/2026
ID,2084252,,Amends existing law to provide that a certain person from the Idaho Association of Counties shall be a member of the Peace Officer Standards and Training Council.,PEACE OFFICER STANDARDS AND TRAINING COUNCIL -- Amends existing law to provide that a certain person from the Idaho Association of Counties shall be a member of the Peace Officer Standards and Training Council.,2,2026-01-26,https://legiscan.com/ID/bill/H0492/2026
ID,2084128,,Amends existing law to revise the penalty for soliciting commercial sexual activity.,COMMERCIAL SEXUAL ACTIVITY -- Amends existing law to revise the penalty for soliciting commercial sexual activity.,2,2026-02-02,https://legiscan.com/ID/bill/H0493/2026
ID,2085726,,"Amends, repeals, and adds to existing law to establish provisions regarding background checks conducted by the Department of Health and Welfare.","HEALTH AND WELFARE -- Amends, repeals, and adds to existing law to establish provisions regarding background checks conducted by the Department of Health and Welfare.",2,2026-02-09,https://legiscan.com/ID/bill/H0494/2026
ID,2085818,,Amends and adds to existing law to consolidate provisions regarding denturitry licensure.,DENTURITRY -- Amends and adds to existing law to consolidate provisions regarding denturitry licensure.,1,2026-01-19,https://legiscan.com/ID/bill/H0495/2026
ID,2085850,,"Amends, repeals, and adds to existing law to provide for the Podiatric Medical Practice Act.","PODIATRY -- Amends, repeals, and adds to existing law to provide for the Podiatric Medical Practice Act.",1,2026-01-19,https://legiscan.com/ID/bill/H0496/2026
ID,2085787,,Amends existing law to revise provisions regarding controlled substances.,UNIFORM CONTROLLED SUBSTANCES -- Amends existing law to revise provisions regarding controlled substances.,1,2026-01-19,https://legiscan.com/ID/bill/H0497/2026
ID,2085882,,Adds to existing law to authorize the Legislature to employ counsel in addition to the Attorney General in actions against the federal government.,LEGISLATURE -- Adds to existing law to authorize the Legislature to employ counsel in addition to the Attorney General in actions against the federal government.,2,2026-02-17,https://legiscan.com/ID/bill/H0498/2026
ID,2086685,,Adds to existing law to establish provisions regarding unmanned aircraft systems near Department of Correction facilities.,UNMANNED AIRCRAFT SYSTEMS -- Adds to existing law to establish provisions regarding unmanned aircraft systems near Department of Correction facilities.,1,2026-01-20,https://legiscan.com/ID/bill/H0499/2026
ID,2087003,,"Amends existing law to provide for human-powered vehicles, bicycles, and electric-assisted bicycles.","MOTOR VEHICLES -- Amends existing law to provide for human-powered vehicles, bicycles, and electric-assisted bicycles.",4,2026-03-17,https://legiscan.com/ID/bill/H0500/2026
ID,2086963,,Amends existing law to require signature gatherers to be qualified electors and to require paid signature gatherers to provide the name of the persons or entities that are paying them on their badge.,BALLOT MEASURES -- Amends existing law to require signature gatherers to be qualified electors and to require paid signature gatherers to provide the name of the persons or entities that are paying them on their badge.,2,2026-02-18,https://legiscan.com/ID/bill/H0501/2026
ID,2086923,,Amends existing law to revise provisions regarding the Idaho Forest Products Commission.,IDAHO FOREST PRODUCTS COMMISSION -- Amends existing law to revise provisions regarding the Idaho Forest Products Commission.,4,2026-03-03,https://legiscan.com/ID/bill/H0502/2026
ID,2086608,,Amends existing law to provide that the commission be established in the Idaho Department of Water Resources.,SOIL AND WATER CONSERVATION COMMISSION -- Amends existing law to provide that the commission be established in the Idaho Department of Water Resources.,4,2026-03-20,https://legiscan.com/ID/bill/H0503/2026
ID,2086724,,Amends and adds to existing law to prohibit bulk lottery ticket purchases.,IDAHO STATE LOTTERY -- Amends and adds to existing law to prohibit bulk lottery ticket purchases.,4,2026-03-02,https://legiscan.com/ID/bill/H0504/2026
ID,2086764,,"Amends, repeals, and adds to existing law to revise provisions regarding the Division of Occupational and Professional Licenses.","OCCUPATIONAL AND PROFESSIONAL LICENSING -- Amends, repeals, and adds to existing law to revise provisions regarding the Division of Occupational and Professional Licenses.",1,2026-01-20,https://legiscan.com/ID/bill/H0505/2026
ID,2086803,,Amends existing law to revise provisions regarding a sales and use tax rebate to certain developers of certain retail complexes.,SALES AND USE TAX -- Amends existing law to revise provisions regarding a sales and use tax rebate to certain developers of certain retail complexes.,1,2026-01-20,https://legiscan.com/ID/bill/H0506/2026
ID,2088749,,Amends existing law to revise terminology and to revise provisions regarding restraint and nonjudicial punishment in the Model State Code of Military Justice.,MILITIA AND MILITARY AFFAIRS -- Amends existing law to revise terminology and to revise provisions regarding restraint and nonjudicial punishment in the Model State Code of Military Justice.,2,2026-03-05,https://legiscan.com/ID/bill/H0507/2026
ID,2088568,,Amends and adds to existing law to revise provisions regarding bicycle and pedestrian projects.,TRANSPORTATION -- Amends and adds to existing law to revise provisions regarding bicycle and pedestrian projects.,2,2026-03-17,https://legiscan.com/ID/bill/H0508/2026
ID,2088838,,Amends existing law to provide that certain vehicles shall not be subject to more than one inspection within a seventy-two-hour period.,IDAHO TRANSPORTATION DEPARTMENT -- Amends existing law to provide that certain vehicles shall not be subject to more than one inspection within a seventy-two-hour period.,1,2026-01-21,https://legiscan.com/ID/bill/H0509/2026
ID,2088310,,"Amends and adds to existing law to establish provisions to protect public employees from certain adverse actions, to provide certain remedies for violations, and to provide special procedures for public record requests by the Legislature and legislative staff.","GOVERNMENT TRANSPARENCY AND ETHICS -- Amends and adds to existing law to establish provisions to protect public employees from certain adverse actions, to provide certain remedies for violations, and to provide special procedures for public record requests by the Legislature and legislative staff.",1,2026-01-21,https://legiscan.com/ID/bill/H0510/2026
ID,2090526,,Amends existing law to revise the surcharge associated with improved forest land.,PRIVATE FOREST LAND -- Amends existing law to revise the surcharge associated with improved forest land.,4,2026-03-18,https://legiscan.com/ID/bill/H0511/2026
ID,2090424,,Amends existing law to provide for the Idaho Board of Licensure of Professional Engineers and Professional Land Surveyors to determine and administer an appropriate open book jurisprudence exam for the licensing of surveyors.,ENGINEERS AND SURVEYORS -- Amends existing law to provide for the Idaho Board of Licensure of Professional Engineers and Professional Land Surveyors to determine and administer an appropriate open book jurisprudence exam for the licensing of surveyors.,4,2026-03-12,https://legiscan.com/ID/bill/H0512/2026
ID,2090471,,Amends existing law to revise qualifications for cosmetology licensure.,BARBER AND COSMETOLOGY SERVICES ACT -- Amends existing law to revise qualifications for cosmetology licensure.,1,2026-01-22,https://legiscan.com/ID/bill/H0513/2026
ID,2090370,,Amends existing law to provide for the taking of examinations upon completion of eighty percent of education hours.,BARBER AND COSMETOLOGY SERVICES -- Amends existing law to provide for the taking of examinations upon completion of eighty percent of education hours.,4,2026-02-24,https://legiscan.com/ID/bill/H0514/2026
ID,2090626,,"Amends existing law to revise provisions regarding requirements for harassment, intimidation, or bullying information and professional development.","EDUCATION -- Amends existing law to revise provisions regarding requirements for harassment, intimidation, or bullying information and professional development.",4,2026-02-24,https://legiscan.com/ID/bill/H0515/2026
ID,2090576,,Amends existing law to revise provisions regarding prohibiting instruction on sexual orientation and gender identity for students in kindergarten through grade 12.,EDUCATION -- Amends existing law to revise provisions regarding prohibiting instruction on sexual orientation and gender identity for students in kindergarten through grade 12.,2,2026-02-17,https://legiscan.com/ID/bill/H0516/2026
