state,bill_id,bill_number,title,description,status,status_date,url
IN,2068139,,Housing matters.,"Housing matters. Revises the allocation of money available for making loans from the residential housing infrastructure assistance revolving fund. Adds requirements regarding the location of impact zones designated by a county, city, or town (unit) after June 30, 2026. Requires a unit to approve a project that complies with the legal restrictions in effect on the date the project's permit application is submitted. After December 31, 2026, restricts a unit's ability to impose and increase fees related to building approvals and permits. Delays the implementation of building permit increases to 180 days after publication of the ordinance. Beginning January 1, 2027, requires a unit to annually report the unit's housing status to the Indiana housing and community development authority. Requires the department of environmental management to review and update its Indiana Storm Water Quality Manual not later than December 1, 2026. Prohibits the state or local government from requiring a person intending to fill land in a flood plain to provide compensatory storage at a ratio greater than three (mitigated land) to one (filled land). Requires a unit to forfeit or refund regulatory fees if the unit fails to meet statutory deadlines for issuing a Class 2 building permit. After June 30, 2026, prohibits a state agency or political subdivision from requiring the installation of the following: (1) An arc-fault circuit interrupter in Class 2 structure or structure classified as an R-2 building occupancy classification. (2) An emergency responder communications enhancement system in a Class 1 structure. Repeals a provision that would have reinstated on July 1, 2027, the statute in effect before its amendment in the 2023 regular session of the general assembly setting forth the authorization and procedures for establishing a residential housing development program (program). Amends the current statute for establishing a program to provide that a program terminates: (1) 25 years (instead of 20 years) after the date on which the first obligation was incurred to pay principal and interest on obligations payable from tax increment revenues from the program; or (2) on the date on which the bond obligations or lease rentals are satisfied. Requires a unit not later than January 1, 2027 to: (1) review its unified development ordinance in a public hearing with the purpose of increasing housing development; and (2) report to the executive director of legislative services agency. Urges assignment of the topic of housing developments by religious institutions to an interim study committee. Resolves conflicts for IC 36-2-4-8, which was amended by both P.L.22-2021 and P.L.152-2021. Increases the average construction cost allowable for certain housing projects to be completed by a housing authority. Provides that bonds, notes, or warrants of a housing authority may be sold at less than par value at a negotiated sale.",4,2026-03-04,https://legiscan.com/IN/bill/HB1001/2026
IN,2068279,,Electric utility affordability.,"Electric utility affordability. Requires an electricity supplier, other than a municipally owned utility, that is under the jurisdiction of the Indiana utility regulatory commission (IURC) to do the following: (1) Beginning with the first monthly billing cycle that begins after June 30, 2026, apply a levelized billing plan (plan) to all active residential customer accounts: (A) for service provided under the electricity supplier's standard residential tariff to a household that is eligible for and has applied for assistance from the state's home energy assistance program; and (B) to which a plan does not already apply. (2) Not later than April 1, 2026, offer each customer a mechanism by which the customer may opt out of a plan at any time without penalty. (3) Not later than July 1, 2026, for any plan offered by the electricity supplier and applied to an active customer account, amend or design the plan so that plan's account reconciliation mechanism is applied at such times during a calendar year to reflect typical seasonal patterns of electricity usage by residential customers, but not more than two times during a calendar year. Prohibits an electricity supplier from referring to or promoting a levelized billing plan as a ""budget billing plan"" unless the levelized billing plan also provides other specified forms of relief for customers. Authorizes the IURC to adopt rules to implement these provisions. Amends existing law granting the IURC the authority to take certain actions with respect to the rates and services of public utilities during emergency circumstances, as judged by the IURC, to provide instead that the IURC may recommend that the governor declare a disaster emergency or proclaim a state of energy emergency during which the IURC may take such actions. Specifies that the emergency must result from: (1) a national economic depression; (2) an act of war; or (3) a disaster of unprecedented size and destructiveness. Provides that an electric utility, other than a municipally owned utility, may not terminate residential electric service to a customer on any day with respect to which the National Weather Service has forecast, not earlier than 48 hours in advance, a heat index of at least 95 degrees for the location where the customer receives service. Requires an electricity supplier, other than a municipally owned utility, that is under the jurisdiction of the IURC for the approval of rates and charges to report to the office of utility consumer counselor (OUCC) on a quarterly basis certain data concerning residential customer accounts. Requires the OUCC to annually compile and summarize the information contained in the reports and include the summary in the OUCC's annual report to the interim study committee on energy, utilities, and telecommunications. Provides that an investor owned electricity supplier that is under the jurisdiction of the IURC for the approval of rates and charges must petition the IURC for approval of any change in its basic rates and charges through the submission of a three-year multi-year rate plan (MYRP). Beginning in 2026, requires each electricity supplier to file its first petition with the IURC for approval of an MYRP according to a prescribed schedule. Provides that the base rates for the first rate year of an MYRP shall be established by the IURC in the same manner that base rates would be established in a proceeding for a change in basic rates and charges that occurs outside an MYRP. Specifies that in a petition to the IURC for a multi-year plan, an electricity supplier must include certain information in its case in chief. Provides that for each rate year in an electricity supplier's MYRP, the following apply: (1) A customer affordability performance metric and an associated performance incentive mechanism (PIM) that: (A) is based on the electricity supplier's performance in meeting the customer affordability performance metric; and (B) provides financial rewards or penalties to the electricity supplier based on that performance. (2) A service restoration performance metric and an associated PIM that: (A) is based on the electricity supplier's performance in meeting the service restoration performance metric; and (B) provides financial rewards or penalties to the electricity supplier based on that performance. Sets forth the methods by which the IURC must calculate the prescribed performance metrics and determine the associated PIMs. Sets forth specified findings the IURC must make in approving an electricity supplier's MYRP. Provides that at any time before the expiration of an electricity supplier's approved MYRP, the IURC may, upon its own motion, or at the request of the OUCC or the electricity supplier: (1) examine the electricity supplier's rates under the MYRP; (2) conduct periodic reviews with opportunities for public hearings and comments; and (3) adjust the base rates or PIMs under the MYRP. Beginning in 2029, requires the IURC to include in its annual report certain information about: (1) the status of electricity suppliers' MYRP filings and current MYRPs; (2) electricity suppliers' calculated performance metrics for the current rate year; and (3) the impact of all applicable PIMs on customer rates. Requires the IURC to adopt rules to implement these provisions. Requires an electricity supplier, other than a municipally owned utility, that is under the jurisdiction of the IURC to offer, not later than July 1, 2026, a low income customer assistance program (program) that provides financial assistance to low income residential customers for the payment of monthly bills for utility service. Requires an electricity supplier to annually fund its program in an amount equal to: (1) at least 0.2% of the electricity supplier's jurisdictional revenues for residential customers; plus (2) any contributions from governmental agencies or programs or from other third parties. Provides that if a customer who applies for assistance is eligible for assistance under the program, the electricity supplier shall enroll the customer in the program. Provides that an electricity supplier may, but is not required to, petition the IURC for approval to recover eligible program costs. Provides that ""eligible program costs"" do not include costs recovered by the electricity supplier through contributions that are provided at no cost to the electricity supplier. Beginning in 2027, requires the IURC to include each year in its annual report specified information concerning each electricity supplier's program with respect to the most recently concluded state fiscal year. Requires the IURC to adopt rules to implement these provisions.",4,2026-02-26,https://legiscan.com/IN/bill/HB1002/2026
IN,2068336,,Boards and commissions.,"Boards and commissions. Creates the agricultural promotion and regulation task force to study various agriculture related topics. Makes changes to requirements for the readoption of administrative rules. Repeals, merges, consolidates, or otherwise modifies various boards, commissions, and other governmental bodies. Modifies or establishes various funds. Makes changes to the membership, duties, and operations of various boards, commissions, and other governmental bodies. Expands the applicability of a statute concerning county hospital governance to Perry County, Spencer County, and Orange County. Repeals the fire prevention and building safety commission (commission). Transfers the commission's responsibilities and administrative rules to the department of homeland security. Makes certain changes to the administration of building and safety statutes and building and safety codes. Makes technical corrections. Makes an appropriation.",4,2026-03-12,https://legiscan.com/IN/bill/HB1003/2026
IN,2068176,,Various education matters.,"Various education matters. Makes changes to various education provisions concerning the following: (1) Certain school corporation accounting requirements. (2) The ""nonpublic school"" definition. (3) Recodification and state board of education (state board) transition provisions. (4) The state board's duties. (5) Powers of the governing bodies of school corporations. (6) Public-private agreements by charter schools for the construction or renovation of schools. (7) Adoption of certain rules by the state board. (8) Provisions that apply to a qualified district or qualified high school. (9) Department of education's (department) duties regarding initiatives for teacher recruitment and retention of certain educators. (10) Internet use policy. (11) Graduation plan requirements. (12) Instruction on alcoholic beverages, tobacco, prescription drugs, and controlled substances. (13) Recognition program criteria application. (14) Reporting on certain student expenditure information. (15) Excused absences. (16) Automated external defibrillator (AED) requirements. (17) Grant awards from the Indiana secured school fund. (18) Joint meetings of governing bodies of school corporations. (19) The borrowing of money by school corporations for certain hardware. Relocates a provision regarding certain possession and storage of a firearm educational materials from the department to the department of homeland security. Allows use of temporary teacher contracts for teachers who have been issued an emergency permit. Removes or repeals various education and higher education provisions concerning the following: (1) Expired and expiring provisions. (2) Duties, discretionary actions, and restrictions regarding the department. (3) Posting of certain information by schools. (4) Discretionary display of certain words by qualified districts. (5) Academic receivership. (6) Staff performance evaluations regarding Indianapolis Public Schools. (7) Certain powers of governing bodies of school corporations. (8) Certain student teaching agreement requirements with postsecondary educational institutions. (9) Certain discretionary authority of school corporations regarding joining regional school study councils, distributing payroll based on contractual and compensation plans, and establishing and using funds for nursery schools. (10) Spending restrictions for remediation programs. (11) Certain website posting requirements for school corporations and charter schools. (12) Reporting regarding students who meet certain requirements during their expected graduation year. (13) Discretion regarding certain feasibility studies. (14) Certain rights and privileges of teachers employed in a joint program or special education cooperatives or with regard to certain interlocal cooperation agreements. (15) Joint investment funds. (16) Application of certain laws to joint programs. (17) Establishment of certain students as transfer students. (18) Discretion regarding employee health coverage for certain individuals. (19) Notification to the secretary of education by a superintendent regarding a conviction or certain final actions. (20) References to an online platform for training. (21) Reports regarding adjunct teachers. (22) Teacher contract requirements regarding the number of work hours per day. (23) Voiding of contracts with teachers if certain conditions apply. (24) Regular teacher's contract requirement for principals, assistant principals, and directors of special education. (25) The provision of certain individual test scores regarding examinations required for teacher licensure. (26) The definition of ""secondary school"" regarding the federal teacher loan forgiveness program. (27) The definition of ""deficit financing"" with regard to the Gary Community School Corporation and the Muncie Community school corporation. (28) Allowing instruction on bullying prevention and child abuse by certain individuals. (29) Timing of statewide assessment requirements for state accredited nonpublic schools and eligible schools. (30) Requirement that the department make available certain diagnostic tools. (31) Discretionary portfolio programs by governing bodies of school corporations. (32) Allowing expulsion if a student's legal settlement is not in an attendance area. (33) Report requirement by the education commission of the states. (34) Duty of a school corporation to preserve instructional programs. (35) The primary care physician loan forgiveness program. (36) Required payments by postsecondary credit bearing proprietary educational institutions regarding cost of performing team onsite investigations. (37) Indiana excellence in teaching endowment. (38) Listing of funds established outside certain education provisions. Repeals and relocates education provisions regarding programs administered by the state with the following changes: (1) Removes or repeals the following: (A) Dissemination of certain information regarding the teacher referral system. (B) Expired provisions. (C) Certain uses of the Senator David C. Ford educational technology fund. (D) The technology plan grant program and requirements. (E) School social worker qualification requirements. (F) An annual report regarding system of teacher and student advancement grants. (G) The Indiana education residency pilot program. (H) A biannual progress report regarding the next level computer science program and fund. (I) A noncompliance and transfer of responsibility provision regarding the next level computer science program and fund. (2) Amends certain requirements regarding the process for evaluating curricular materials. Makes conforming changes.",4,2026-03-04,https://legiscan.com/IN/bill/HB1004/2026
IN,2054594,,End of life options.,"End of life options. Allows individuals with a terminal illness who meet certain requirements to make a request to an attending provider for medication that the individual may self-administer to bring about death. Specifies requirements a provider must meet in order to prescribe the medication to a patient. Prohibits an insurer from denying payment of benefits under a life insurance policy based upon a suicide clause in the life insurance policy if the death of the insured individual is the result of medical aid in dying. Establishes a Level 1 felony if a person: (1) without authorization of the patient, willfully alters, forges, conceals, or destroys a request for medication or a rescission of a request for medication with the intent or effect of causing the individual's death; or (2) knowingly or intentionally coerces or exerts undue influence on an individual to request medication to bring about death or to destroy a rescission of a request for medication to bring about death. Establishes a Class A misdemeanor if a person, without authorization of the patient, willfully alters, forges, conceals, or destroys a request for medication or a rescission of a request for medication in order to affect a health care decision by the individual. Establishes certain criminal and civil immunity for health care providers.",1,2025-12-01,https://legiscan.com/IN/bill/HB1011/2026
IN,2054981,,Medicaid matters.,"Medicaid matters. Amends the duties of the office of the secretary of family and social services (office) concerning home and community based services waivers (waiver). Sets forth requirements for conducting an audit of a provider of waiver services. Requires: (1) a waiver recipient to review the recipient's monthly statement and report errors or inconsistencies; and (2) the recipient's case manager to provide assistance to the recipient in reviewing the statements and reporting any errors. Establishes the home and community based services waiver waiting list assistance fund (fund) to provide individuals on a waiver waiting list with access to certain supports. Provides that when the office determines an individual is ineligible for Medicaid, the office shall provide the specific reason for determining the individual is ineligible. Requires the office to review certain bank accounts in determining an individual's Medicaid eligibility. Requires a provider of waiver services to provide a recipient and the recipient's care coordinator with certain billing statements. Provides that appropriations in the budget bill for Medicaid assistance that are budgeted for a waiver that remain unexpended and unencumbered at the close of the state fiscal year and that would otherwise lapse and be returned to the state general fund do not revert to the state general fund, but instead shall be deposited in the fund. Provides that, for the state fiscal year beginning July 1, 2026, and ending June 30, 2027, appropriations in the budget bill for Medicaid assistance in an amount sufficient to cover costs incurred by the office in carrying out specified duties that remain unexpended and unencumbered at the close of the state fiscal year and that would otherwise lapse and be returned to the state general fund do not revert to the state general fund, but instead shall remain available to the office to cover these costs.",1,2025-12-01,https://legiscan.com/IN/bill/HB1012/2026
IN,2054854,,Exemption from certain health care mandates.,"Exemption from certain health care mandates. Prohibits an individual from being required to inject, receive an injection of, ingest, inhale, or otherwise incorporate a qualified substance into the individual's body.",1,2025-12-01,https://legiscan.com/IN/bill/HB1013/2026
IN,2054769,,Sonography.,"Sonography. Specifies that the term ""radiation"" includes sound waves commonly used for sonography. Prohibits a person from performing sonography unless certain conditions are met, and provides both criminal and civil penalties. Makes conforming changes.",1,2025-12-01,https://legiscan.com/IN/bill/HB1014/2026
IN,2055002,,Indiana National Guard.,"Indiana National Guard. Provides that the governor may not, with certain exceptions, order a member of the Indiana National Guard to perform any law enforcement duty that may result in the surveillance, apprehension, detention, or arrest of an individual.",1,2025-12-01,https://legiscan.com/IN/bill/HB1015/2026
IN,2054940,,Selection of primary care provider.,Selection of primary care provider. Provides that a policy of accident and sickness insurance and health maintenance organization that require an insured to select a primary care provider to receive coverage may permit an insured to select a participating provider who is a physical therapist to provide physical therapy services or an occupational therapist to provide occupational therapy services.,1,2025-12-01,https://legiscan.com/IN/bill/HB1016/2026
