state,bill_id,bill_number,title,description,status,status_date,url
KS,1905280,,Continuing the reimbursement from the taxpayer notification costs fund for printing and postage costs of county clerks through calendar year 2029.,Continuing the reimbursement from the taxpayer notification costs fund for printing and postage costs of county clerks through calendar year 2029.,1,2025-01-13,https://legiscan.com/KS/bill/HB2001/2025
KS,1911852,,Requiring the department of health and environment to audit hospital compliance with the lay caregiver act and report the results of such audit to the legislature.,Requiring the department of health and environment to audit hospital compliance with the lay caregiver act and report the results of such audit to the legislature.,1,2025-01-13,https://legiscan.com/KS/bill/HB2002/2025
KS,1911461,,Establishing the EV energy equity road repair tax act (EVEERRT act) and providing for a road repair tax on electricity distributed from a public charging station for electric vehicles.,Establishing the EV energy equity road repair tax act (EVEERRT act) and providing for a road repair tax on electricity distributed from a public charging station for electric vehicles.,1,2025-01-13,https://legiscan.com/KS/bill/HB2003/2025
KS,1911658,,Senate Substitute for HB 2004 by Committee on Government Efficiency - Requiring the secretary for children and families and the secretary of health and environment to execute a memorandum of understanding or other written data-sharing instrument upon written request of the United States department of agriculture or the United States department of health and human services and comply with data requests from such federal agencies.,Senate Substitute for HB 2004 by Committee on Government Efficiency - Requiring the secretary for children and families and the secretary of health and environment to execute a memorandum of understanding or other written data-sharing instrument upon written request of the United States department of agriculture or the United States department of health and human services and comply with data requests from such federal agencies.,2,2025-02-03,https://legiscan.com/KS/bill/HB2004/2025
KS,1911266,,Establishing the veterans' valor property tax relief act providing an income tax credit or refund for eligible individuals.,Establishing the veterans' valor property tax relief act providing an income tax credit or refund for eligible individuals.,1,2025-01-13,https://legiscan.com/KS/bill/HB2005/2025
KS,1917644,,Providing membership in the KP&F retirement system for certain security officers of the department of corrections and allowing certain service credit purchases of previous KPERS security officer service for purposes of KP&F retirement benefits.,Providing membership in the KP&F retirement system for certain security officers of the department of corrections and allowing certain service credit purchases of previous KPERS security officer service for purposes of KP&F retirement benefits.,1,2025-01-13,https://legiscan.com/KS/bill/HB2006/2025
KS,1916487,,Senate Substitute for Substitute for HB 2007 by Committee on Ways and Means - Reconciling multiple amendments to certain statutes.,Senate Substitute for Substitute for HB 2007 by Committee on Ways and Means - Reconciling multiple amendments to certain statutes.,4,2025-04-11,https://legiscan.com/KS/bill/HB2007/2025
KS,1916372,,Modifying the definition of security officer to include certain juvenile corrections officer positions for purposes of the KPERS correctional employees group.,Modifying the definition of security officer to include certain juvenile corrections officer positions for purposes of the KPERS correctional employees group.,1,2025-01-13,https://legiscan.com/KS/bill/HB2008/2025
KS,1919440,,Prohibiting abortion procedures except when necessary to save the life of the pregnant woman and providing a private cause of action for civil enforcement of such prohibition.,Prohibiting abortion procedures except when necessary to save the life of the pregnant woman and providing a private cause of action for civil enforcement of such prohibition.,1,2025-01-15,https://legiscan.com/KS/bill/HB2009/2025
KS,1919711,,Prohibiting abortion procedures and creating the crimes of unlawful performance of an abortion and unlawful destruction of a fertilized embryo.,Prohibiting abortion procedures and creating the crimes of unlawful performance of an abortion and unlawful destruction of a fertilized embryo.,1,2025-01-15,https://legiscan.com/KS/bill/HB2010/2025
