state,bill_id,bill_number,title,description,status,status_date,url
LA,2121126,,Provides for the ordinary operating expenses of state government for Fiscal Year 2026-2027,Provides for the ordinary operating expenses of state government for Fiscal Year 2026-2027,1,2026-02-20,https://legiscan.com/LA/bill/HB1/2026
LA,2134447,,Provides for the comprehensive Capital Outlay budget,Provides for the comprehensive Capital Outlay budget,1,2026-03-17,https://legiscan.com/LA/bill/HB2/2026
LA,2134340,,Provides for the Omnibus Bond Act,Provides for the Omnibus Bond Act,1,2026-03-17,https://legiscan.com/LA/bill/HB3/2026
LA,2073005,,Provides for calling a constitutional convention (OR INCREASE GF EX See Note),Provides for calling a constitutional convention (OR INCREASE GF EX See Note),1,2026-01-12,https://legiscan.com/LA/bill/HB4/2026
LA,2073178,,"Authorizes parish governing authorities and citizens to determine whether Class VI injection wells, carbon dioxide sequestration, and carbon dioxide pipelines may be permitted within a parish (OR SEE FISC NOTE GF RV)","Authorizes parish governing authorities and citizens to determine whether Class VI injection wells, carbon dioxide sequestration, and carbon dioxide pipelines may be permitted within a parish (OR SEE FISC NOTE GF RV)",1,2026-01-12,https://legiscan.com/LA/bill/HB5/2026
LA,2072657,,Authorizes the governing authority of Rapides Parish to determine whether carbon dioxide sequestration and pipelines transporting carbon dioxide may be permitted within the parish (OR SEE FISC NOTE GF RV),Authorizes the governing authority of Rapides Parish to determine whether carbon dioxide sequestration and pipelines transporting carbon dioxide may be permitted within the parish (OR SEE FISC NOTE GF RV),1,2026-01-12,https://legiscan.com/LA/bill/HB6/2026
LA,2072829,,Enacts the Louisiana Landowners Protection Act (OR SEE FISC NOTE GF RV),Enacts the Louisiana Landowners Protection Act (OR SEE FISC NOTE GF RV),1,2026-01-12,https://legiscan.com/LA/bill/HB7/2026
LA,2073782,,Provides relative to legislative staff attendance at executive sessions of meetings of any state or statewide retirement system board or committee (EG NO IMPACT APV),Provides relative to legislative staff attendance at executive sessions of meetings of any state or statewide retirement system board or committee (EG NO IMPACT APV),1,2026-01-13,https://legiscan.com/LA/bill/HB8/2026
LA,2080765,,Designates Shreveport as the Stuffed Shrimp Capital of Louisiana,Designates Shreveport as the Stuffed Shrimp Capital of Louisiana,1,2026-01-15,https://legiscan.com/LA/bill/HB9/2026
LA,2080969,,Provides for the annual closure of the Acadia Parish Courthouse in recognition of the International Rice Festival,Provides for the annual closure of the Acadia Parish Courthouse in recognition of the International Rice Festival,1,2026-01-15,https://legiscan.com/LA/bill/HB10/2026
