state,bill_id,bill_number,title,description,status,status_date,url
ME,1903003,,An Act to Require Landowners to Report Their Participation in a Forest Carbon Program or Project,An Act to Require Landowners to Report Their Participation in a Forest Carbon Program or Project,4,2025-05-21,https://legiscan.com/ME/bill/LD39/2025
ME,1902946,,An Act to Amend the Laws Governing the Commercial Large Game Shooting Area License Transfer Process,An Act to Amend the Laws Governing the Commercial Large Game Shooting Area License Transfer Process,4,2025-04-15,https://legiscan.com/ME/bill/LD40/2025
ME,1903317,,"Resolve, Authorizing the State Tax Assessor to Convey the Interest of the State in Certain Real Estate in the Unorganized Territory","Resolve, Authorizing the State Tax Assessor to Convey the Interest of the State in Certain Real Estate in the Unorganized Territory",4,2025-06-16,https://legiscan.com/ME/bill/LD41/2025
ME,1903084,,An Act Regarding the Bind-over and Detention of Juveniles,An Act Regarding the Bind-over and Detention of Juveniles,4,2025-06-16,https://legiscan.com/ME/bill/LD42/2025
ME,1903178,,An Act to Further Protect Victims from Contact Prohibited by Probation Conditions,An Act to Further Protect Victims from Contact Prohibited by Probation Conditions,6,2025-02-25,https://legiscan.com/ME/bill/LD43/2025
ME,1903127,,An Act to Amend the Laws Pertaining to Elver Fishing,An Act to Amend the Laws Pertaining to Elver Fishing,4,2025-06-03,https://legiscan.com/ME/bill/LD44/2025
ME,1903050,,An Act Allowing the Department of Corrections to Offset Some of the Costs of Technology Provided to Residents of Correctional Facilities,An Act Allowing the Department of Corrections to Offset Some of the Costs of Technology Provided to Residents of Correctional Facilities,4,2025-06-13,https://legiscan.com/ME/bill/LD45/2025
ME,1903108,,An Act to Establish a Grant Program to Increase Postsecondary Educational Opportunities for Students with Intellectual or Developmental Disabilities or Autism Spectrum Disorder,An Act to Establish a Grant Program to Increase Postsecondary Educational Opportunities for Students with Intellectual or Developmental Disabilities or Autism Spectrum Disorder,4,2025-06-25,https://legiscan.com/ME/bill/LD46/2025
ME,1903214,,An Act to Provide an Exception to a Fishing Prohibition near the Crooked Brook Dam,An Act to Provide an Exception to a Fishing Prohibition near the Crooked Brook Dam,4,2025-04-23,https://legiscan.com/ME/bill/LD47/2025
ME,1903113,,An Act to Update References to the United States Internal Revenue Code of 1986 Contained in the Maine Revised Statutes,An Act to Update References to the United States Internal Revenue Code of 1986 Contained in the Maine Revised Statutes,4,2025-06-25,https://legiscan.com/ME/bill/LD48/2025
ME,1903010,,An Act to Ensure Quality in Personal Care Agencies,An Act to Ensure Quality in Personal Care Agencies,6,2025-02-11,https://legiscan.com/ME/bill/LD49/2025
ME,1903124,,An Act to Provide the Right of First Refusal to Towns in Which the University of Maine System and Similar Quasi-independent State Entities Are Selling Property,An Act to Provide the Right of First Refusal to Towns in Which the University of Maine System and Similar Quasi-independent State Entities Are Selling Property,6,2025-03-27,https://legiscan.com/ME/bill/LD50/2025
ME,1903306,,An Act to Increase Oversight of Fatalities of and Serious Injuries to Adults Subject to Public Guardianship,An Act to Increase Oversight of Fatalities of and Serious Injuries to Adults Subject to Public Guardianship,4,2025-05-27,https://legiscan.com/ME/bill/LD51/2025
ME,1902971,,"Resolve, Requiring the Department of Health and Human Services to Study Options for Allowing Children in the Department's Custody to Receive Federal Benefits","Resolve, Requiring the Department of Health and Human Services to Study Options for Allowing Children in the Department's Custody to Receive Federal Benefits",3,2025-06-13,https://legiscan.com/ME/bill/LD52/2025
ME,1903034,,An Act to Establish the November General Election Day as a State Holiday,An Act to Establish the November General Election Day as a State Holiday,6,2025-05-28,https://legiscan.com/ME/bill/LD53/2025
ME,1903137,,An Act to Require Employers to Disclose Pay Ranges and Maintain Records of Employees' Pay Histories,An Act to Require Employers to Disclose Pay Ranges and Maintain Records of Employees' Pay Histories,3,2025-05-14,https://legiscan.com/ME/bill/LD54/2025
ME,1903020,,An Act to Amend the Law Governing the Accrual of Earned Paid Leave,An Act to Amend the Law Governing the Accrual of Earned Paid Leave,4,2025-06-25,https://legiscan.com/ME/bill/LD55/2025
ME,1903030,,An Act to Remove the 5 Cent Fee for Bags in Retail Stores,An Act to Remove the 5 Cent Fee for Bags in Retail Stores,6,2025-04-10,https://legiscan.com/ME/bill/LD56/2025
ME,1902964,,An Act to Enable Maine National Guard Commanders to More Efficiently Effect Disciplinary Measures Through the Maine Code of Military Justice,An Act to Enable Maine National Guard Commanders to More Efficiently Effect Disciplinary Measures Through the Maine Code of Military Justice,4,2025-05-21,https://legiscan.com/ME/bill/LD57/2025
ME,1903309,,An Act to Establish Certain Positions Within the Maine Bureau of Veterans' Services,An Act to Establish Certain Positions Within the Maine Bureau of Veterans' Services,4,2025-05-21,https://legiscan.com/ME/bill/LD58/2025
ME,1903187,,An Act to Ban the Drug Tianeptine,An Act to Ban the Drug Tianeptine,6,2025-06-05,https://legiscan.com/ME/bill/LD59/2025
ME,1903161,,An Act to Allow Employees to Request Flexible Work Schedules,An Act to Allow Employees to Request Flexible Work Schedules,3,2025-05-28,https://legiscan.com/ME/bill/LD60/2025
ME,1902956,,An Act to Regulate Employer Surveillance to Protect Workers,An Act to Regulate Employer Surveillance to Protect Workers,4,2025-06-25,https://legiscan.com/ME/bill/LD61/2025
