state,bill_id,bill_number,title,description,status,status_date,url
MI,1909445,,Labor: hours and wages; minimum hourly wage rate; modify. Amends secs. 4 & 4b of 2014 PA 138 (MCL 408.414 & 408.414b) & repeals 2018 PA 337 (MCL 408.931 - 408.945). TIE BAR WITH: HB 4053'25,Labor: hours and wages; minimum hourly wage rate; modify. Amends secs. 4 & 4b of 2014 PA 138 (MCL 408.414 & 408.414b) & repeals 2018 PA 337 (MCL 408.931 - 408.945). TIE BAR WITH: HB 4053'25,2,2025-01-23,https://legiscan.com/MI/bill/HB4001/2025
MI,1909085,,"Labor: benefits; requirements for an employer to provide earned sick time, modify. Amends title and secs. 2, 3, 4, 5, 6, 7, 8 & 12 of 2018 PA 338 (MCL 408.962 et seq.) & adds sec. 3a.","Labor: benefits; requirements for an employer to provide earned sick time, modify. Amends title and secs. 2, 3, 4, 5, 6, 7, 8 & 12 of 2018 PA 338 (MCL 408.962 et seq.) & adds sec. 3a.",4,2025-02-25,https://legiscan.com/MI/bill/HB4002/2025
MI,1917708,,"Highways: memorial; portion of US-131; designate as the ""Sgt. Matthew Webber Memorial Highway"". Amends 2001 PA 142 (MCL 250.1001 - 250.2092) by adding sec. 1073b.","Highways: memorial; portion of US-131; designate as the ""Sgt. Matthew Webber Memorial Highway"". Amends 2001 PA 142 (MCL 250.1001 - 250.2092) by adding sec. 1073b.",4,2025-08-19,https://legiscan.com/MI/bill/HB4003/2025
MI,1918072,,Gaming: lottery; multistate lottery games; allow winner to remain anonymous. Amends sec. 25 of 1972 PA 239 (MCL 432.25).,Gaming: lottery; multistate lottery games; allow winner to remain anonymous. Amends sec. 25 of 1972 PA 239 (MCL 432.25).,2,2025-03-20,https://legiscan.com/MI/bill/HB4004/2025
MI,1917656,,Local government: other; local financial stability and choice act; repeal. Repeals 2012 PA 436 (MCL 141.1541 - 141.1575).,Local government: other; local financial stability and choice act; repeal. Repeals 2012 PA 436 (MCL 141.1541 - 141.1575).,1,2025-01-14,https://legiscan.com/MI/bill/HB4005/2025
MI,1918428,,Agriculture: agribusiness; exclusion of commercial weddings or similar events in agricultural zones; prohibit. Amends 2006 PA 110 (MCL 125.3101 - 125.3702) by adding sec. 204b.,Agriculture: agribusiness; exclusion of commercial weddings or similar events in agricultural zones; prohibit. Amends 2006 PA 110 (MCL 125.3101 - 125.3702) by adding sec. 204b.,1,2025-01-14,https://legiscan.com/MI/bill/HB4006/2025
MI,1918310,,Energy: alternative sources; clean energy system; expand definition of. Amends sec. 3 of 2008 PA 295 (MCL 460.1003).,Energy: alternative sources; clean energy system; expand definition of. Amends sec. 3 of 2008 PA 295 (MCL 460.1003).,2,2025-05-07,https://legiscan.com/MI/bill/HB4007/2025
MI,1918189,,Individual income tax: credit; qualified volunteers credit; create. Amends 1967 PA 281 (MCL 206.1 - 206.847) by adding sec. 281.,Individual income tax: credit; qualified volunteers credit; create. Amends 1967 PA 281 (MCL 206.1 - 206.847) by adding sec. 281.,1,2025-01-14,https://legiscan.com/MI/bill/HB4008/2025
MI,1917887,,Housing: affordable; rent control policies; allow local governments to establish. Repeals 1988 PA 226 (MCL 123.411).,Housing: affordable; rent control policies; allow local governments to establish. Repeals 1988 PA 226 (MCL 123.411).,1,2025-01-14,https://legiscan.com/MI/bill/HB4009/2025
MI,1917826,,State: symbol; Harrison Township; designate as Boat Town USA. Creates new act.,State: symbol; Harrison Township; designate as Boat Town USA. Creates new act.,2,2025-05-20,https://legiscan.com/MI/bill/HB4010/2025
MI,1917766,,Property: conveyance of state property; transfer of certain state-owned property in Arenac County; provide for. Creates land transfer act.,Property: conveyance of state property; transfer of certain state-owned property in Arenac County; provide for. Creates land transfer act.,2,2025-06-11,https://legiscan.com/MI/bill/HB4011/2025
MI,1918368,,Health: emergency services; emergency medical transport and treatment for retired police canines; provide for. Amends sec. 20925 of 1978 PA 368 (MCL 333.20925).,Health: emergency services; emergency medical transport and treatment for retired police canines; provide for. Amends sec. 20925 of 1978 PA 368 (MCL 333.20925).,2,2025-09-09,https://legiscan.com/MI/bill/HB4012/2025
MI,1918007,,Recreation: other; recreational trespass act; modify posting requirements. Amends sec. 73102 of 1994 PA 451 (MCL 324.73102).,Recreation: other; recreational trespass act; modify posting requirements. Amends sec. 73102 of 1994 PA 451 (MCL 324.73102).,2,2025-04-15,https://legiscan.com/MI/bill/HB4013/2025
MI,1918128,,Property tax: assessments; transfer of ownership of certain real property to certain individuals; exempt from uncapping of taxable value upon transfer. Amends sec. 27a of 1893 PA 206 (MCL 211.27a).,Property tax: assessments; transfer of ownership of certain real property to certain individuals; exempt from uncapping of taxable value upon transfer. Amends sec. 27a of 1893 PA 206 (MCL 211.27a).,2,2025-03-18,https://legiscan.com/MI/bill/HB4014/2025
MI,1918247,,Highways: other; acceptance of cash payments for tolls; require. Creates new act.,Highways: other; acceptance of cash payments for tolls; require. Creates new act.,1,2025-01-14,https://legiscan.com/MI/bill/HB4015/2025
MI,1917948,,"Holidays: other; ""Huntington's Disease Awareness Month""; designate as the month of May of each year. Creates new act.","Holidays: other; ""Huntington's Disease Awareness Month""; designate as the month of May of each year. Creates new act.",1,2025-01-14,https://legiscan.com/MI/bill/HB4016/2025
MI,1919985,,Labor: health and safety; penalty for failure to report a death; decrease by the maximum allowable amount if the death occurs to a certain individual on a family farm. Amends sec. 35 of 1974 PA 154 (MCL 408.1035).,Labor: health and safety; penalty for failure to report a death; decrease by the maximum allowable amount if the death occurs to a certain individual on a family farm. Amends sec. 35 of 1974 PA 154 (MCL 408.1035).,2,2025-09-03,https://legiscan.com/MI/bill/HB4017/2025
MI,1935066,,Juveniles: crimes; transportation of juvenile who commits a crime with an adult; clarify. Amends sec. 16 of 1939 PA 288 (MCL 712A.16).,Juveniles: crimes; transportation of juvenile who commits a crime with an adult; clarify. Amends sec. 16 of 1939 PA 288 (MCL 712A.16).,2,2025-03-11,https://legiscan.com/MI/bill/HB4018/2025
MI,1934796,,Individual income tax: reporting; annual revenue report to individual income tax filers; require. Amends 1967 PA 281 (MCL 206.1 - 206.847) by adding sec. 471a.,Individual income tax: reporting; annual revenue report to individual income tax filers; require. Amends 1967 PA 281 (MCL 206.1 - 206.847) by adding sec. 471a.,1,2025-01-22,https://legiscan.com/MI/bill/HB4019/2025
MI,1934534,,"Education: curriculum; requirement for schools to provide instruction on African-American history; provide for, and create the commission to update African-American history in K to 12 instruction. Amends 1976 PA 451 (MCL 380.1 - 380.1852) by adding sec. 1164.","Education: curriculum; requirement for schools to provide instruction on African-American history; provide for, and create the commission to update African-American history in K to 12 instruction. Amends 1976 PA 451 (MCL 380.1 - 380.1852) by adding sec. 1164.",1,2025-01-22,https://legiscan.com/MI/bill/HB4020/2025
MI,1944004,,"Civil procedure: evictions; pretrial and trial; require pretrial, and allow trial and pretrial to be conducted by magistrate. Amends secs. 5735 & 8511 of 1961 PA 236 (MCL 600.5735 & 600.8511).","Civil procedure: evictions; pretrial and trial; require pretrial, and allow trial and pretrial to be conducted by magistrate. Amends secs. 5735 & 8511 of 1961 PA 236 (MCL 600.5735 & 600.8511).",1,2025-01-28,https://legiscan.com/MI/bill/HB4021/2025
MI,1944179,,Local government: other; educational instruction access act; repeal. Repeals 2017 PA 98 (MCL 123.1041 - 123.1047).,Local government: other; educational instruction access act; repeal. Repeals 2017 PA 98 (MCL 123.1041 - 123.1047).,1,2025-01-28,https://legiscan.com/MI/bill/HB4022/2025
MI,1944049,,Property: conveyance of state property; transfer of certain state-owned property in Eaton County; provide for. Creates land transfer act.,Property: conveyance of state property; transfer of certain state-owned property in Eaton County; provide for. Creates land transfer act.,2,2025-06-05,https://legiscan.com/MI/bill/HB4023/2025
MI,1943962,,Civil rights: privacy; restriction of student access to certain restrooms and changing areas based on biological sex; provide for. Creates new act.,Civil rights: privacy; restriction of student access to certain restrooms and changing areas based on biological sex; provide for. Creates new act.,2,2025-09-04,https://legiscan.com/MI/bill/HB4024/2025
MI,1944518,,Sales tax: exemptions; sunset date on exemption for firearm safety devices; extend. Amends sec. 4ll of 1933 PA 167 (MCL 205.54ll).,Sales tax: exemptions; sunset date on exemption for firearm safety devices; extend. Amends sec. 4ll of 1933 PA 167 (MCL 205.54ll).,2,2025-03-13,https://legiscan.com/MI/bill/HB4025/2025
MI,1944477,,Use tax: exemptions; sunset date on exemption for firearm safety devices; extend. Amends sec. 4ll of 1937 PA 94 (MCL 205.94ll).,Use tax: exemptions; sunset date on exemption for firearm safety devices; extend. Amends sec. 4ll of 1937 PA 94 (MCL 205.94ll).,2,2025-03-13,https://legiscan.com/MI/bill/HB4026/2025
MI,1944392,,Land use: zoning and growth management; provision subjecting zoning authority to part 8 of clean and renewable energy and energy waste reduction act; delete. Amends sec. 205 of 2006 PA 110 (MCL 125.3205). TIE BAR WITH: HB 4028'25,Land use: zoning and growth management; provision subjecting zoning authority to part 8 of clean and renewable energy and energy waste reduction act; delete. Amends sec. 205 of 2006 PA 110 (MCL 125.3205). TIE BAR WITH: HB 4028'25,2,2025-04-30,https://legiscan.com/MI/bill/HB4027/2025
MI,1944307,,"Energy: alternative sources; zoning exemptions for large-scale solar, wind, and energy storage facilities; eliminate. Amends title & sec. 13 of 2008 PA 295 (MCL 460.1013) & repeals pt. 8 of 2008 PA 295 (MCL 460.1221 - 460.1232). TIE BAR WITH: HB 4027'25","Energy: alternative sources; zoning exemptions for large-scale solar, wind, and energy storage facilities; eliminate. Amends title & sec. 13 of 2008 PA 295 (MCL 460.1013) & repeals pt. 8 of 2008 PA 295 (MCL 460.1221 - 460.1232). TIE BAR WITH: HB 4027'25",2,2025-04-30,https://legiscan.com/MI/bill/HB4028/2025
MI,1944349,,Natural resources: hunting; posting of rules and regulations by a certain date; require. Amends secs. 40113a & 41103 of 1994 PA 451 (MCL 324.40113a & 324.41103).,Natural resources: hunting; posting of rules and regulations by a certain date; require. Amends secs. 40113a & 41103 of 1994 PA 451 (MCL 324.40113a & 324.41103).,2,2025-04-30,https://legiscan.com/MI/bill/HB4029/2025
MI,1944435,,Labor: youth employment; parent or legal guardian of a minor being educated at the minor's home; allow to issue a work permit for the minor. Amends sec. 2 of 1978 PA 90 (MCL 409.102).,Labor: youth employment; parent or legal guardian of a minor being educated at the minor's home; allow to issue a work permit for the minor. Amends sec. 2 of 1978 PA 90 (MCL 409.102).,1,2025-01-28,https://legiscan.com/MI/bill/HB4030/2025
MI,1943877,,Recreation: athletics and sports; publicly funded individual sports programs that provide separate programs for males and females; require athletes to be scored according to their biological sex. Creates new act.,Recreation: athletics and sports; publicly funded individual sports programs that provide separate programs for males and females; require athletes to be scored according to their biological sex. Creates new act.,1,2025-01-28,https://legiscan.com/MI/bill/HB4031/2025
MI,1944091,,Health occupations: physicians; interstate medical licensure compact; remove sunset. Amends sec. 16189 of 1978 PA 368 (MCL 333.16189).,Health occupations: physicians; interstate medical licensure compact; remove sunset. Amends sec. 16189 of 1978 PA 368 (MCL 333.16189).,2,2025-03-06,https://legiscan.com/MI/bill/HB4032/2025
MI,1944552,,Probate: trusts; procedures relating to the administration of unitrusts and income trusts; provide for. Creates new act.,Probate: trusts; procedures relating to the administration of unitrusts and income trusts; provide for. Creates new act.,2,2025-04-23,https://legiscan.com/MI/bill/HB4033/2025
