state,bill_id,bill_number,title,description,status,status_date,url
MN,1923333,,"Office of Inspector General established, powers and duties provided, enhanced grant oversight provided, retaliation prohibited, existing executive Offices of Inspector General transferred or repealed, fraud detection and prevention provided, conforming changes made, reports required, and money appropriated.","Office of Inspector General established, powers and duties provided, enhanced grant oversight provided, retaliation prohibited, existing executive Offices of Inspector General transferred or repealed, fraud detection and prevention provided, conforming changes made, reports required, and money appropriated.",1,2025-02-06,https://legiscan.com/MN/bill/HF1/2025
MN,1923442,,"Fraud reporting required when a state employee has reason to suspect fraud, and grants management requirements strengthened.","Fraud reporting required when a state employee has reason to suspect fraud, and grants management requirements strengthened.",1,2025-02-06,https://legiscan.com/MN/bill/HF2/2025
MN,1923776,,"Legislative auditor required to submit a report to the legislature related to an agency's implementation of legislative auditor recommendations, and money appropriated.","Legislative auditor required to submit a report to the legislature related to an agency's implementation of legislative auditor recommendations, and money appropriated.",1,2025-02-06,https://legiscan.com/MN/bill/HF3/2025
MN,1923894,,"Portion of projected budget surplus required to be returned to state taxpayers, and constitutional amendment proposed.","Portion of projected budget surplus required to be returned to state taxpayers, and constitutional amendment proposed.",1,2025-02-06,https://legiscan.com/MN/bill/HF4/2025
MN,1924117,,"Imposition and allocation of certain taxes modified, tax analysis required, transportation funding impacts analysis required, retail delivery fee repealed, unlimited Social Security subtraction provided, previous appropriation and transfer modified, reports required, money transferred, and money appropriated.","Imposition and allocation of certain taxes modified, tax analysis required, transportation funding impacts analysis required, retail delivery fee repealed, unlimited Social Security subtraction provided, previous appropriation and transfer modified, reports required, money transferred, and money appropriated.",1,2025-02-06,https://legiscan.com/MN/bill/HF5/2025
MN,1923556,,"Read Act modified, appropriations cancelled; education innovation provisions modified; P-TECH approval process modified; Office of Achievement and Innovation established in the Department of Education; equity, diversity, and inclusion appropriation modified; school performance reporting system established; fund transfers for fiscal years 2025 through 2029 authorized; and school board authorized to not comply with recently enacted state laws or rules.","Read Act modified, appropriations cancelled; education innovation provisions modified; P-TECH approval process modified; Office of Achievement and Innovation established in the Department of Education; equity, diversity, and inclusion appropriation modified; school performance reporting system established; fund transfers for fiscal years 2025 through 2029 authorized; and school board authorized to not comply with recently enacted state laws or rules.",1,2025-02-06,https://legiscan.com/MN/bill/HF6/2025
MN,1923232,,"Public safety; various provisions modified relating to data held by law enforcement agencies; agency bail or bond notice; sex trafficking minimum sentences; reason for dismissing charges; liability and vicarious liability; assaulting a police officer penalty; penalties increased for obstructing trunk highway, airport, or transit traffic; tracking device placement, requirements, and expanded uses; criminal penalties; and money appropriated.","Public safety; various provisions modified relating to data held by law enforcement agencies; agency bail or bond notice; sex trafficking minimum sentences; reason for dismissing charges; liability and vicarious liability; assaulting a police officer penalty; penalties increased for obstructing trunk highway, airport, or transit traffic; tracking device placement, requirements, and expanded uses; criminal penalties; and money appropriated.",1,2025-02-06,https://legiscan.com/MN/bill/HF7/2025
MN,1924226,,"Wetland Conservation Act determination efficiency improved, permitting efficiency reporting requirements modified, permit application process improved, Pollution Control Agency required to issue separate permits, expedited permitting process modified, petitioners required to reside in affected or adjoining counties, and money appropriated.","Wetland Conservation Act determination efficiency improved, permitting efficiency reporting requirements modified, permit application process improved, Pollution Control Agency required to issue separate permits, expedited permitting process modified, petitioners required to reside in affected or adjoining counties, and money appropriated.",1,2025-02-06,https://legiscan.com/MN/bill/HF8/2025
MN,1924004,,"Hydroelectric capacity that qualifies as an eligible energy technology under the renewable energy standard modified; electric utility requirements relating to energy, solar, or carbon-free standards delayed under certain conditions; and sales tax exemption for residential heating fuels and electricity expanded.","Hydroelectric capacity that qualifies as an eligible energy technology under the renewable energy standard modified; electric utility requirements relating to energy, solar, or carbon-free standards delayed under certain conditions; and sales tax exemption for residential heating fuels and electricity expanded.",1,2025-02-06,https://legiscan.com/MN/bill/HF9/2025
MN,1923667,,"State-funded payments to undocumented noncitizens prohibited, and undocumented noncitizens provided to be ineligible for MinnesotaCare and North Star Promise scholarship program.","State-funded payments to undocumented noncitizens prohibited, and undocumented noncitizens provided to be ineligible for MinnesotaCare and North Star Promise scholarship program.",1,2025-02-06,https://legiscan.com/MN/bill/HF10/2025
MN,1934045,,Minnesota Paid Leave Law implementation delayed by one year.,Minnesota Paid Leave Law implementation delayed by one year.,1,2025-02-06,https://legiscan.com/MN/bill/HF11/2025
MN,1934015,,Female sports team participation restricted to the female sex.,Female sports team participation restricted to the female sex.,1,2025-02-06,https://legiscan.com/MN/bill/HF12/2025
MN,1934026,,Duty to retreat before using reasonable force in defense of self or others eliminated.,Duty to retreat before using reasonable force in defense of self or others eliminated.,1,2025-02-06,https://legiscan.com/MN/bill/HF13/2025
MN,1934401,,Temporary moratorium on certain light rail transit expenditures established.,Temporary moratorium on certain light rail transit expenditures established.,1,2025-02-06,https://legiscan.com/MN/bill/HF14/2025
MN,1934059,,"Student and staff safety measures required to be included in each school district's long-term facilities maintenance school facility plan, school security systems grants created, report required, and money appropriated.","Student and staff safety measures required to be included in each school district's long-term facilities maintenance school facility plan, school security systems grants created, report required, and money appropriated.",1,2025-02-06,https://legiscan.com/MN/bill/HF15/2025
MN,1934276,,"Immigration law enforcement noncooperation ordinances and policies prohibited, use of immigration-related data provided, and county attorneys required to notify federal immigration authorities when an undocumented person is arrested for a crime of violence.","Immigration law enforcement noncooperation ordinances and policies prohibited, use of immigration-related data provided, and county attorneys required to notify federal immigration authorities when an undocumented person is arrested for a crime of violence.",1,2025-02-06,https://legiscan.com/MN/bill/HF16/2025
MN,1934105,,"Minnesota Personal Protection Act amended, lifetime permits to carry handguns created, and application fee reduced.","Minnesota Personal Protection Act amended, lifetime permits to carry handguns created, and application fee reduced.",1,2025-02-06,https://legiscan.com/MN/bill/HF17/2025
MN,1934518,,Sales and use tax exemption for certain baby products expanded.,Sales and use tax exemption for certain baby products expanded.,1,2025-02-06,https://legiscan.com/MN/bill/HF18/2025
MN,1934201,,"Education savings accounts established, and rules required.","Education savings accounts established, and rules required.",1,2025-02-06,https://legiscan.com/MN/bill/HF19/2025
MN,1934171,,Data classification of certain data maintained by the attorney general clarified.,Data classification of certain data maintained by the attorney general clarified.,1,2025-02-06,https://legiscan.com/MN/bill/HF20/2025
MN,1934207,,Supermajority approval by each house of the legislature required to extend a peacetime emergency beyond 14 days.,Supermajority approval by each house of the legislature required to extend a peacetime emergency beyond 14 days.,1,2025-02-06,https://legiscan.com/MN/bill/HF21/2025
MN,1934075,,Parent's bill of rights created.,Parent's bill of rights created.,1,2025-02-06,https://legiscan.com/MN/bill/HF22/2025
MN,1934484,,"Whistleblower definitions provided, and whistleblower protections for public employees modified.","Whistleblower definitions provided, and whistleblower protections for public employees modified.",2,2025-03-13,https://legiscan.com/MN/bill/HF23/2025
MN,1934424,,Born alive infant provisions modified.,Born alive infant provisions modified.,1,2025-02-06,https://legiscan.com/MN/bill/HF24/2025
MN,1933993,,"Women's pregnancy centers and maternity homes grant program established, appropriations reduced, and money appropriated.","Women's pregnancy centers and maternity homes grant program established, appropriations reduced, and money appropriated.",1,2025-02-06,https://legiscan.com/MN/bill/HF25/2025
