state,bill_id,bill_number,title,description,status,status_date,url
MO,2054645,,Modifies guidelines for student participation in athletic contests organized by sex,Modifies guidelines for student participation in athletic contests organized by sex,1,2026-01-07,https://legiscan.com/MO/bill/HB1607/2026
MO,2054780,,Modifies provisions relating to gender transition procedures,Modifies provisions relating to gender transition procedures,1,2026-01-07,https://legiscan.com/MO/bill/HB1608/2026
MO,2054954,,Enacts provisions governing flags displayed in public school classrooms,Enacts provisions governing flags displayed in public school classrooms,1,2026-01-07,https://legiscan.com/MO/bill/HB1609/2026
MO,2055092,,Lowers the statute of limitations for certain actions,Lowers the statute of limitations for certain actions,1,2026-01-07,https://legiscan.com/MO/bill/HB1610/2026
MO,2054850,,Changes the law regarding catalytic converters,Changes the law regarding catalytic converters,1,2026-01-07,https://legiscan.com/MO/bill/HB1611/2026
MO,2054925,,Requires school districts to display the Ten Commandments in each building and classroom in the school district,Requires school districts to display the Ten Commandments in each building and classroom in the school district,1,2026-01-07,https://legiscan.com/MO/bill/HB1612/2026
MO,2055171,,Moves local elections to the general election day,Moves local elections to the general election day,1,2026-01-07,https://legiscan.com/MO/bill/HB1613/2026
MO,2055100,,Adds certain 7-OH products to the list of Schedule I controlled substances,Adds certain 7-OH products to the list of Schedule I controlled substances,1,2026-01-07,https://legiscan.com/MO/bill/HB1614/2026
MO,2054986,,Modifies the minimum number of directors for insurance entities from nine to five,Modifies the minimum number of directors for insurance entities from nine to five,1,2026-01-07,https://legiscan.com/MO/bill/HB1615/2026
MO,2054670,,"Establishes the ""Independent Office of Corrections and Transparency"" and provisions relating to department of corrections oversight","Establishes the ""Independent Office of Corrections and Transparency"" and provisions relating to department of corrections oversight",1,2026-01-07,https://legiscan.com/MO/bill/HB1616/2026
MO,2054982,,Modifies provisions governing auditors in charter counties,Modifies provisions governing auditors in charter counties,1,2026-01-07,https://legiscan.com/MO/bill/HB1617/2026
MO,2054827,,Modifies provisions relating to indoor air quality,Modifies provisions relating to indoor air quality,1,2026-01-07,https://legiscan.com/MO/bill/HB1618/2026
MO,2054732,,Requires the department of natural resources to use at least ten percent of any moneys appropriated for the Rock Island Trail State Park to address adjacent landowner concerns,Requires the department of natural resources to use at least ten percent of any moneys appropriated for the Rock Island Trail State Park to address adjacent landowner concerns,1,2026-01-07,https://legiscan.com/MO/bill/HB1619/2026
MO,2054761,,Modifies provisions relating to the sentencing of persons under nineteen years of age,Modifies provisions relating to the sentencing of persons under nineteen years of age,1,2026-01-07,https://legiscan.com/MO/bill/HB1620/2026
MO,2054643,,Authorizes public library districts in various counties to submit a sales tax to voters,Authorizes public library districts in various counties to submit a sales tax to voters,1,2026-01-07,https://legiscan.com/MO/bill/HB1621/2026
MO,2054945,,Adds provisions relating to just compensation for condemned agricultural and horticultural property,Adds provisions relating to just compensation for condemned agricultural and horticultural property,1,2026-01-07,https://legiscan.com/MO/bill/HB1622/2026
MO,2054624,,Creates provisions relating to emergency suspensions or restrictions for massage therapists and chiropractors,Creates provisions relating to emergency suspensions or restrictions for massage therapists and chiropractors,1,2026-01-07,https://legiscan.com/MO/bill/HB1623/2026
MO,2054929,,Requires an applicant for a seed permit or renewal of a seed permit to include an affidavit that prohibits the sale of certain nonnative invasive plants,Requires an applicant for a seed permit or renewal of a seed permit to include an affidavit that prohibits the sale of certain nonnative invasive plants,1,2026-01-07,https://legiscan.com/MO/bill/HB1624/2026
MO,2054927,,Modifies the offenses of trafficking of drugs in the first and second degree,Modifies the offenses of trafficking of drugs in the first and second degree,2,2026-03-11,https://legiscan.com/MO/bill/HB1625/2026
MO,2055077,,Allows electrical corporations to charge for services based on the costs of certain construction work in progress,Allows electrical corporations to charge for services based on the costs of certain construction work in progress,1,2026-01-07,https://legiscan.com/MO/bill/HB1626/2026
MO,2054909,,Modifies provisions governing the Career and Technical Education Advisory Council,Modifies provisions governing the Career and Technical Education Advisory Council,1,2026-01-07,https://legiscan.com/MO/bill/HB1627/2026
MO,2054746,,Modifies provisions relating to the department of higher education and workforce development,Modifies provisions relating to the department of higher education and workforce development,2,2026-02-09,https://legiscan.com/MO/bill/HB1628/2026
MO,2055089,,Creates provisions relating to tracking of firearms purchases by financial institutions,Creates provisions relating to tracking of firearms purchases by financial institutions,1,2026-01-07,https://legiscan.com/MO/bill/HB1629/2026
MO,2054705,,Modifies provisions relating to cosmetology,Modifies provisions relating to cosmetology,1,2026-01-07,https://legiscan.com/MO/bill/HB1630/2026
MO,2054612,,Modifies provisions governing tangible personal property assessments of boats,Modifies provisions governing tangible personal property assessments of boats,1,2026-01-07,https://legiscan.com/MO/bill/HB1631/2026
MO,2054951,,Modifies provisions relating to the biodiesel blend fuel seller tax credits,Modifies provisions relating to the biodiesel blend fuel seller tax credits,1,2026-01-07,https://legiscan.com/MO/bill/HB1632/2026
MO,2054987,,Establishes provisions relating to public access to arrest warrant records,Establishes provisions relating to public access to arrest warrant records,1,2026-01-07,https://legiscan.com/MO/bill/HB1633/2026
MO,2054598,,Modifies definition of commercial feed to include industrial hemp,Modifies definition of commercial feed to include industrial hemp,1,2026-01-07,https://legiscan.com/MO/bill/HB1634/2026
MO,2055105,,Modifies provisions relating to advanced practice registered nurses,Modifies provisions relating to advanced practice registered nurses,1,2026-01-07,https://legiscan.com/MO/bill/HB1635/2026
MO,2054859,,Modifies provisions relating to the requirements for collaborative practice arrangements between physicians and advanced practice registered nurses,Modifies provisions relating to the requirements for collaborative practice arrangements between physicians and advanced practice registered nurses,1,2026-01-07,https://legiscan.com/MO/bill/HB1636/2026
MO,2055035,,Repeals provisions relating to certificates of need,Repeals provisions relating to certificates of need,1,2026-01-07,https://legiscan.com/MO/bill/HB1637/2026
MO,2054808,,Modifies provisions relating to the Alzheimer's state plan task force,Modifies provisions relating to the Alzheimer's state plan task force,1,2026-01-07,https://legiscan.com/MO/bill/HB1638/2026
MO,2054858,,"Establishes the ""Missouri Pathways to Access and Success Act""","Establishes the ""Missouri Pathways to Access and Success Act""",1,2026-01-07,https://legiscan.com/MO/bill/HB1639/2026
MO,2054911,,Prohibits public institutions of higher education from accepting examination scores from testing entities that require disabled individuals to undergo comprehensive testing for disabilities that do not change over time,Prohibits public institutions of higher education from accepting examination scores from testing entities that require disabled individuals to undergo comprehensive testing for disabilities that do not change over time,1,2026-01-07,https://legiscan.com/MO/bill/HB1640/2026
MO,2054662,,Modifies provisions for the joint committee on administrative rules,Modifies provisions for the joint committee on administrative rules,1,2026-01-07,https://legiscan.com/MO/bill/HB1641/2026
MO,2055034,,Authorizes counties of the third classification to use up to fifty percent of collected court costs and court fees for courthouse construction or renovation projects over a seven-year period,Authorizes counties of the third classification to use up to fifty percent of collected court costs and court fees for courthouse construction or renovation projects over a seven-year period,1,2026-01-07,https://legiscan.com/MO/bill/HB1642/2026
MO,2055005,,"Modifies provisions relating to alternative therapies and treatments, including psilocybin","Modifies provisions relating to alternative therapies and treatments, including psilocybin",1,2026-01-07,https://legiscan.com/MO/bill/HB1643/2026
MO,2054774,,Creates new provisions relating to joint employers,Creates new provisions relating to joint employers,2,2026-02-19,https://legiscan.com/MO/bill/HB1644/2026
MO,2054913,,"Modifies the statute of limitations for personal injury claims and childhood sexual abuse, injury, or illness","Modifies the statute of limitations for personal injury claims and childhood sexual abuse, injury, or illness",1,2026-01-07,https://legiscan.com/MO/bill/HB1645/2026
MO,2055039,,Modifies provisions relating to the collateral source rule,Modifies provisions relating to the collateral source rule,1,2026-01-07,https://legiscan.com/MO/bill/HB1646/2026
MO,2054844,,Establishes provisions relating to duplicative recovery of damages based on insurer reimbursements,Establishes provisions relating to duplicative recovery of damages based on insurer reimbursements,1,2026-01-07,https://legiscan.com/MO/bill/HB1647/2026
MO,2054835,,Establishes provisions protecting transportation network companies from vicarious liability,Establishes provisions protecting transportation network companies from vicarious liability,1,2026-01-07,https://legiscan.com/MO/bill/HB1648/2026
MO,2054873,,Modifies provisions relating to actions for damages due to exposure to asbestos,Modifies provisions relating to actions for damages due to exposure to asbestos,1,2026-01-07,https://legiscan.com/MO/bill/HB1649/2026
MO,2054798,,Modifies provisions relating to assistant physicians,Modifies provisions relating to assistant physicians,1,2026-01-07,https://legiscan.com/MO/bill/HB1650/2026
MO,2054689,,"Designates Dexter, MO as the ""Rib City"" of Missouri","Designates Dexter, MO as the ""Rib City"" of Missouri",1,2026-01-07,https://legiscan.com/MO/bill/HB1651/2026
MO,2054907,,Specifies that a food is deemed adulterated if it contains any cultivated meat,Specifies that a food is deemed adulterated if it contains any cultivated meat,1,2026-01-07,https://legiscan.com/MO/bill/HB1652/2026
MO,2054887,,Modifies provisions relating to the integrity of food products,Modifies provisions relating to the integrity of food products,1,2025-12-18,https://legiscan.com/MO/bill/HB1653/2026
MO,2055004,,Establishes sovereignty of Missouri law and protects religious freedoms,Establishes sovereignty of Missouri law and protects religious freedoms,1,2026-01-07,https://legiscan.com/MO/bill/HB1654/2026
MO,2054797,,Modifies provisions relating to public employee retirement benefits,Modifies provisions relating to public employee retirement benefits,1,2026-01-07,https://legiscan.com/MO/bill/HB1655/2026
