state,bill_id,bill_number,title,description,status,status_date,url
NE,1908242,,Eliminate an incorrect reference in provisions of the medical cannabis initiative petition language adopted by the voters,Eliminate an incorrect reference in provisions of the medical cannabis initiative petition language adopted by the voters,4,2025-02-26,https://legiscan.com/NE/bill/LB1/2025
NE,1908470,,"Repeal provisions that have terminated related to an advisory group, funds, a pilot study, emergency assistance, and a task force","Repeal provisions that have terminated related to an advisory group, funds, a pilot study, emergency assistance, and a task force",4,2025-02-26,https://legiscan.com/NE/bill/LB2/2025
NE,1908449,,Change provisions relating to selection of presidential electors,Change provisions relating to selection of presidential electors,1,2025-01-09,https://legiscan.com/NE/bill/LB3/2025
NE,1908612,,Adopt the Telecommunications Exchange Deregulation Act,Adopt the Telecommunications Exchange Deregulation Act,1,2025-01-09,https://legiscan.com/NE/bill/LB4/2025
NE,1908275,,Provide immunity for administration of naloxone or other federally approved opioid antagonists,Provide immunity for administration of naloxone or other federally approved opioid antagonists,1,2025-01-09,https://legiscan.com/NE/bill/LB5/2025
NE,1908655,,Provide for a penalty enhancement for a controlled substances violation resulting in serious bodily injury or death,Provide for a penalty enhancement for a controlled substances violation resulting in serious bodily injury or death,6,2025-06-02,https://legiscan.com/NE/bill/LB6/2025
NE,1908696,,Change provisions relating to real estate and the Foreign-owned Real Estate National Security Act,Change provisions relating to real estate and the Foreign-owned Real Estate National Security Act,4,2025-04-08,https://legiscan.com/NE/bill/LB7/2025
NE,1908361,,Change provisions relating to the tax credits under the Sustainable Aviation Fuel Tax Credit Act,Change provisions relating to the tax credits under the Sustainable Aviation Fuel Tax Credit Act,1,2025-01-09,https://legiscan.com/NE/bill/LB8/2025
NE,1908551,,Change provisions relating to cigarette taxes and the Tobacco Products Tax Act and provide for regulation of products containing nicotine analogues,Change provisions relating to cigarette taxes and the Tobacco Products Tax Act and provide for regulation of products containing nicotine analogues,4,2025-05-01,https://legiscan.com/NE/bill/LB9/2025
NE,1908493,,Change requirements relating to wholesale drug distributors and dispensing of certain prescription drugs,Change requirements relating to wholesale drug distributors and dispensing of certain prescription drugs,4,2025-03-12,https://legiscan.com/NE/bill/LB10/2025
NE,1908383,,Appropriate funds for the Nebraska Statewide Workforce and Education Reporting System Act,Appropriate funds for the Nebraska Statewide Workforce and Education Reporting System Act,1,2025-01-09,https://legiscan.com/NE/bill/LB11/2025
NE,1908512,,Change the statute of limitations on certain civil actions for sexual assault of a child,Change the statute of limitations on certain civil actions for sexual assault of a child,1,2025-01-09,https://legiscan.com/NE/bill/LB12/2025
NE,2032407,,Appropriation Bill,Appropriation Bill,1,2025-05-19,https://legiscan.com/NE/bill/LB13A/2025
NE,1908297,,Require the Department of Health and Human Services to file a state plan amendment relating to child care,Require the Department of Health and Human Services to file a state plan amendment relating to child care,2,2025-03-05,https://legiscan.com/NE/bill/LB13/2025
NE,1908337,,Adopt the Hunger-Free Schools Act,Adopt the Hunger-Free Schools Act,1,2025-01-09,https://legiscan.com/NE/bill/LB14/2025
NE,1908574,,State intent regarding appropriations for interpreter services for the Supreme Court,State intent regarding appropriations for interpreter services for the Supreme Court,1,2025-01-09,https://legiscan.com/NE/bill/LB15/2025
NE,1908405,,Adopt the Nebraska Consumable Hemp Control Act,Adopt the Nebraska Consumable Hemp Control Act,1,2025-01-09,https://legiscan.com/NE/bill/LB16/2025
NE,1908531,,Prohibit certain fees by residential landlords and require notices and disclosures of consumer reports,Prohibit certain fees by residential landlords and require notices and disclosures of consumer reports,1,2025-01-09,https://legiscan.com/NE/bill/LB17/2025
NE,1908429,,Require certain determinations prior to utility pole installations under the Small Wireless Facilities Deployment Act,Require certain determinations prior to utility pole installations under the Small Wireless Facilities Deployment Act,1,2025-01-09,https://legiscan.com/NE/bill/LB18/2025
