state,bill_id,bill_number,title,description,status,status_date,url
NH,2064471,,Allowing alternative treatment centers to operate for-profit.,Allowing alternative treatment centers to operate for-profit.,2,2026-01-30,https://legiscan.com/NH/bill/HB54/2026
NH,2064520,,"Relative to the assault of a firefighter, emergency medical care provider, or law enforcement officer.","Relative to the assault of a firefighter, emergency medical care provider, or law enforcement officer.",2,2025-03-19,https://legiscan.com/NH/bill/HB59/2026
NH,2064512,,Directing landlords to offer tenants the option of reporting rental payments to consumer reporting agencies.,Directing landlords to offer tenants the option of reporting rental payments to consumer reporting agencies.,1,2024-12-23,https://legiscan.com/NH/bill/HB65/2026
NH,2064645,,Making best interest placements within the same school district mandatory in the absence of a valid reason to deny the placement.,Making best interest placements within the same school district mandatory in the absence of a valid reason to deny the placement.,2,2025-03-24,https://legiscan.com/NH/bill/HB68/2026
NH,2064609,,Defining the term citizen for the purposes of the right to know law and including preliminary drafts circulated to a quorum of a majority of a public body as disclosable documents.,Defining the term citizen for the purposes of the right to know law and including preliminary drafts circulated to a quorum of a majority of a public body as disclosable documents.,1,2024-12-23,https://legiscan.com/NH/bill/HB74/2026
NH,2064514,,Making an appropriation to the department of environmental services for wastewater infrastructure projects.,Making an appropriation to the department of environmental services for wastewater infrastructure projects.,1,2024-12-23,https://legiscan.com/NH/bill/HB97/2026
NH,2064445,,Prohibiting the use of state funds for new passenger rail projects.,Prohibiting the use of state funds for new passenger rail projects.,1,2024-12-26,https://legiscan.com/NH/bill/HB100/2026
NH,2064616,,Relative to oversight of federal law enforcement actions.,Relative to oversight of federal law enforcement actions.,1,2024-12-26,https://legiscan.com/NH/bill/HB102/2026
NH,2064504,,Relative to requiring an official declaration of war for the activation of the New Hampshire national guard in a foreign state.,Relative to requiring an official declaration of war for the activation of the New Hampshire national guard in a foreign state.,2,2026-01-15,https://legiscan.com/NH/bill/HB104/2026
NH,2064416,,Creating a new conservation license plate and directing the additional fee to the cyanobacteria mitigation loan and grant fund.,Creating a new conservation license plate and directing the additional fee to the cyanobacteria mitigation loan and grant fund.,2,2025-03-11,https://legiscan.com/NH/bill/HB105/2026
NH,2064430,,Relative to false reports to law enforcement.,Relative to false reports to law enforcement.,2,2025-03-24,https://legiscan.com/NH/bill/HB109/2026
NH,2064508,,Extending the position of right-to-know ombudsman for 2 years and exempting individuals who assist in the preparation of a right-to-know complaint at no charge from the unauthorized practice of law.,Extending the position of right-to-know ombudsman for 2 years and exempting individuals who assist in the preparation of a right-to-know complaint at no charge from the unauthorized practice of law.,1,2024-12-26,https://legiscan.com/NH/bill/HB111/2026
NH,2064624,,"Requiring students in the university and community college systems of New Hampshire to pass the United States Citizenship and Immigration Services civics naturalization test, take a course that covers fundamental American documents as part of the general education curriculum, or pass a civics course competency test.","Requiring students in the university and community college systems of New Hampshire to pass the United States Citizenship and Immigration Services civics naturalization test, take a course that covers fundamental American documents as part of the general education curriculum, or pass a civics course competency test.",1,2025-01-06,https://legiscan.com/NH/bill/HB112/2026
NH,2064605,,Relative to OHRV operation on certain highways within the town of Windsor.,Relative to OHRV operation on certain highways within the town of Windsor.,2,2026-03-06,https://legiscan.com/NH/bill/HB113/2026
NH,2064461,,Relative to school district financial requirements and district probation processes.,Relative to school district financial requirements and district probation processes.,2,2026-01-30,https://legiscan.com/NH/bill/HB121/2026
NH,2064634,,Relative to prescriptions for certain controlled drugs.,Relative to prescriptions for certain controlled drugs.,2,2025-03-11,https://legiscan.com/NH/bill/HB126/2026
NH,2064643,,Establishing a committee to study unemployment insurance.,Establishing a committee to study unemployment insurance.,1,2025-01-06,https://legiscan.com/NH/bill/HB128/2026
