state,bill_id,bill_number,title,description,status,status_date,url
NJ,2096408,,Requires NJT to equip trains with defibrillators.,Requires NJT to equip trains with defibrillators.,1,2026-01-13,https://legiscan.com/NJ/bill/A101/2026
NJ,2098369,,"Deactivates certain committees, councils, panels, and task forces of advisory or temporary nature if entity does not meet or have quorum at least once every year.","Deactivates certain committees, councils, panels, and task forces of advisory or temporary nature if entity does not meet or have quorum at least once every year.",1,2026-01-13,https://legiscan.com/NJ/bill/A102/2026
NJ,2098211,,Creates new excuse from jury service; directs AOC to create and maintain list of persons excused from jury duty due to developmental disability.,Creates new excuse from jury service; directs AOC to create and maintain list of persons excused from jury duty due to developmental disability.,1,2026-01-13,https://legiscan.com/NJ/bill/A103/2026
NJ,2098406,,Streamlines emergency medical technician certification process for certain veterans.,Streamlines emergency medical technician certification process for certain veterans.,1,2026-01-13,https://legiscan.com/NJ/bill/A104/2026
NJ,2095822,,Requires NJTA and SJTA to automatically offer toll discounts to senior citizens.,Requires NJTA and SJTA to automatically offer toll discounts to senior citizens.,1,2026-01-13,https://legiscan.com/NJ/bill/A105/2026
NJ,2097616,,Establishes school district grant program in DOE to reimburse public school teachers for classroom material expenditures.,Establishes school district grant program in DOE to reimburse public school teachers for classroom material expenditures.,1,2026-01-13,https://legiscan.com/NJ/bill/A106/2026
NJ,2096165,,"Provides free admission to State parks, forests, and beaches for certain veterans and military personnel.","Provides free admission to State parks, forests, and beaches for certain veterans and military personnel.",1,2026-01-13,https://legiscan.com/NJ/bill/A107/2026
NJ,2098996,,Provides free tuition at public institutions of higher education for surviving spouses and dependent children of military personnel killed in performance of duties.,Provides free tuition at public institutions of higher education for surviving spouses and dependent children of military personnel killed in performance of duties.,1,2026-01-13,https://legiscan.com/NJ/bill/A108/2026
NJ,2098866,,Requires MVC to offer driver's license knowledge test in Italian.,Requires MVC to offer driver's license knowledge test in Italian.,1,2026-01-13,https://legiscan.com/NJ/bill/A109/2026
NJ,2099796,,Increases degree of crime for unlawful taking of motor vehicle.,Increases degree of crime for unlawful taking of motor vehicle.,1,2026-01-13,https://legiscan.com/NJ/bill/A110/2026
NJ,2099166,,Upgrades burglary of a residence to a crime of the second degree; requires mandatory period of parole ineligibility if residence was occupied at time of offense.,Upgrades burglary of a residence to a crime of the second degree; requires mandatory period of parole ineligibility if residence was occupied at time of offense.,1,2026-01-13,https://legiscan.com/NJ/bill/A111/2026
NJ,2098956,,Establishes rebuttable presumption of pretrial detention and increases penalties for motor vehicle theft offenses; authorizes home detention for minors adjudicated delinquent for motor vehicle theft offenses; establishes Grants for Underage Auto-Theft Risk Deterrence Pilot Program in Juvenile Justice Commission; appropriates $7 million.,Establishes rebuttable presumption of pretrial detention and increases penalties for motor vehicle theft offenses; authorizes home detention for minors adjudicated delinquent for motor vehicle theft offenses; establishes Grants for Underage Auto-Theft Risk Deterrence Pilot Program in Juvenile Justice Commission; appropriates $7 million.,1,2026-01-13,https://legiscan.com/NJ/bill/A112/2026
NJ,2100189,,Concerns bereavement leave for miscarriage and stillbirth.,Concerns bereavement leave for miscarriage and stillbirth.,1,2026-01-13,https://legiscan.com/NJ/bill/A113/2026
NJ,2098324,,Allows candidates to file form attesting to their understanding of and adherence to ELEC rules and regulations with their nominating petitions.,Allows candidates to file form attesting to their understanding of and adherence to ELEC rules and regulations with their nominating petitions.,1,2026-01-13,https://legiscan.com/NJ/bill/A114/2026
NJ,2096087,,Requires blank nominating petition forms for primary election candidates be made available for next primary election within 10 calendar days of county canvassers' general election results certification.,Requires blank nominating petition forms for primary election candidates be made available for next primary election within 10 calendar days of county canvassers' general election results certification.,1,2026-01-13,https://legiscan.com/NJ/bill/A115/2026
NJ,2096800,,Requires Commissioner of Education to prepare report on learning loss of students with developmental disabilities during COVID-19 public health emergency.,Requires Commissioner of Education to prepare report on learning loss of students with developmental disabilities during COVID-19 public health emergency.,1,2026-01-13,https://legiscan.com/NJ/bill/A116/2026
NJ,2097234,,"Allows certain volunteer firefighters, rescue and first aid squad members to claim $5,000 income tax deduction.","Allows certain volunteer firefighters, rescue and first aid squad members to claim $5,000 income tax deduction.",1,2026-01-13,https://legiscan.com/NJ/bill/A117/2026
NJ,2098470,,Requires school districts to let nonpublic school students participate in district high school interscholastic athletics.,Requires school districts to let nonpublic school students participate in district high school interscholastic athletics.,1,2026-01-13,https://legiscan.com/NJ/bill/A118/2026
NJ,2097901,,Establishes rebuttable presumption that person charged with theft of motor vehicle be detained prior to trial under certain circumstances.,Establishes rebuttable presumption that person charged with theft of motor vehicle be detained prior to trial under certain circumstances.,1,2026-01-13,https://legiscan.com/NJ/bill/A119/2026
NJ,2099770,,"Makes $500,000 supplemental appropriation from Property Tax Relief Fund to Borough of North Caldwell to fund restoration of Walker's Family Home at Walker's Park and Walker's Park property.","Makes $500,000 supplemental appropriation from Property Tax Relief Fund to Borough of North Caldwell to fund restoration of Walker's Family Home at Walker's Park and Walker's Park property.",1,2026-01-13,https://legiscan.com/NJ/bill/A120/2026
NJ,2098296,,"Makes $500,000 supplemental appropriation from General Fund to DEP for dredging and restoration of Peckman River.","Makes $500,000 supplemental appropriation from General Fund to DEP for dredging and restoration of Peckman River.",1,2026-01-13,https://legiscan.com/NJ/bill/A121/2026
NJ,2099062,,"Makes $500,000 supplemental appropriation from General Fund to DEP for dredging and restoration of Passaic River.","Makes $500,000 supplemental appropriation from General Fund to DEP for dredging and restoration of Passaic River.",1,2026-01-13,https://legiscan.com/NJ/bill/A122/2026
NJ,2097902,,Requires certain preliminary approval by municipality prior to licensure of cooperative sober living residence.,Requires certain preliminary approval by municipality prior to licensure of cooperative sober living residence.,1,2026-01-13,https://legiscan.com/NJ/bill/A123/2026
NJ,2096994,,Upgrades simple assault to aggravated assault for State-employed civil investigators.,Upgrades simple assault to aggravated assault for State-employed civil investigators.,1,2026-01-13,https://legiscan.com/NJ/bill/A124/2026
NJ,2098997,,Requires automatic recount for local elections with vote difference of 10 votes or less at candidate's request; provides for geographic regions for judges to adjudicate election recounts and contests; establishes certain adjudication and hearing timelines.,Requires automatic recount for local elections with vote difference of 10 votes or less at candidate's request; provides for geographic regions for judges to adjudicate election recounts and contests; establishes certain adjudication and hearing timelines.,1,2026-01-13,https://legiscan.com/NJ/bill/A125/2026
NJ,2097522,,"Establishes Office of River Maintenance in DEP; repeals P.L.1993, c.376 concerning stream cleaning activities.","Establishes Office of River Maintenance in DEP; repeals P.L.1993, c.376 concerning stream cleaning activities.",1,2026-01-13,https://legiscan.com/NJ/bill/A126/2026
NJ,2098155,,Provides gross income tax deduction for in vitro fertilization treatment expenses.,Provides gross income tax deduction for in vitro fertilization treatment expenses.,1,2026-01-13,https://legiscan.com/NJ/bill/A127/2026
NJ,2099212,,Clarifies timing of adjustments to county district boundaries and municipal ward boundaries following congressional and legislative redistricting.,Clarifies timing of adjustments to county district boundaries and municipal ward boundaries following congressional and legislative redistricting.,1,2026-01-13,https://legiscan.com/NJ/bill/A128/2026
NJ,2098799,,Exempts honorably discharged veterans from payment of municipal parking meter fees when vehicle bears honorably discharged veteran's placard issued by MVC.,Exempts honorably discharged veterans from payment of municipal parking meter fees when vehicle bears honorably discharged veteran's placard issued by MVC.,1,2026-01-13,https://legiscan.com/NJ/bill/A129/2026
NJ,2099717,,Establishes Special Education Transportation Task Force.,Establishes Special Education Transportation Task Force.,4,2026-01-13,https://legiscan.com/NJ/bill/A130/2026
NJ,2099204,,Requires DOH to establish guidelines for placement of bleeding control kits in State buildings; requires schools to acquire bleeding control kits.,Requires DOH to establish guidelines for placement of bleeding control kits in State buildings; requires schools to acquire bleeding control kits.,1,2026-01-13,https://legiscan.com/NJ/bill/A131/2026
