state,bill_id,bill_number,title,description,status,status_date,url
NY,1898080,,"Requires insurance policies to provide coverage for services related to the diagnosis and treatment of mental, nervous or emotional disorders or ailments; makes related provisions.","Requires insurance policies to provide coverage for services related to the diagnosis and treatment of mental, nervous or emotional disorders or ailments; makes related provisions.",1,2025-01-08,https://legiscan.com/NY/bill/A00021/2025
NY,1898054,,"Prohibits the sale of entertainment vapor products, or any vapor product that has bluetooth, wireless internet, or other internet connectivity, or the ability to play virtual games, play music, or display photos or other animations on the device.","Prohibits the sale of entertainment vapor products, or any vapor product that has bluetooth, wireless internet, or other internet connectivity, or the ability to play virtual games, play music, or display photos or other animations on the device.",1,2025-01-08,https://legiscan.com/NY/bill/A00022/2025
NY,1897872,,Requires the department of transportation to include in its existing vegetative management program the removal of invasive vines which are so hazardous that they pose an imminent danger of causing trees or tree limbs to fall onto highways.,Requires the department of transportation to include in its existing vegetative management program the removal of invasive vines which are so hazardous that they pose an imminent danger of causing trees or tree limbs to fall onto highways.,1,2025-01-08,https://legiscan.com/NY/bill/A00023/2025
NY,1898014,,Exempts certain child day care facilities that serve only dependent children of military personnel and are located on certain federal property or certified by a branch of the U.S. Department of Defense or the U.S. Coast Guard from certain registration and licensing requirements for child care providers in this state.,Exempts certain child day care facilities that serve only dependent children of military personnel and are located on certain federal property or certified by a branch of the U.S. Department of Defense or the U.S. Coast Guard from certain registration and licensing requirements for child care providers in this state.,1,2025-01-08,https://legiscan.com/NY/bill/A00024/2025
NY,1898119,,Repeals provisions relating to imposition of a highway use tax for the privilege of operating any vehicular unit upon the public highways of the state.,Repeals provisions relating to imposition of a highway use tax for the privilege of operating any vehicular unit upon the public highways of the state.,1,2025-01-08,https://legiscan.com/NY/bill/A00025/2025
NY,1897977,,Prohibits Medicaid service providers from requiring prior authorization for antiretroviral prescription drugs for the treatment or prevention of the human immunodeficiency virus (HIV) or acquired immunodeficiency syndrome (AIDS).,Prohibits Medicaid service providers from requiring prior authorization for antiretroviral prescription drugs for the treatment or prevention of the human immunodeficiency virus (HIV) or acquired immunodeficiency syndrome (AIDS).,5,2025-12-19,https://legiscan.com/NY/bill/A00026/2025
NY,1898046,,"Requires municipalities to include an Affordable Housing Needs Assessment to establish a data-based foundation for the creation and preservation of affordable housing in the municipality, utilizing the U.S. Department of Housing and Urban Development median income calculations, in their comprehensive plans.","Requires municipalities to include an Affordable Housing Needs Assessment to establish a data-based foundation for the creation and preservation of affordable housing in the municipality, utilizing the U.S. Department of Housing and Urban Development median income calculations, in their comprehensive plans.",1,2025-01-08,https://legiscan.com/NY/bill/A00027/2025
NY,1897973,,"Provides tax credit to certain volunteer firefighters, volunteer ambulance workers, volunteer reserve forces officers, auxiliary police officers and volunteer emergency medical personnel under certain circumstances.","Provides tax credit to certain volunteer firefighters, volunteer ambulance workers, volunteer reserve forces officers, auxiliary police officers and volunteer emergency medical personnel under certain circumstances.",1,2025-01-08,https://legiscan.com/NY/bill/A00028/2025
NY,1898058,,Designates the state of New York a purple heart state.,Designates the state of New York a purple heart state.,4,2025-11-05,https://legiscan.com/NY/bill/A00029/2025
NY,1898067,,"Requires the return of all or a part of the financial assistance provided for a project where the project has material shortfalls or material violations; prevents the use of funds, financial incentives, subsidies or tax exemptions for projects already in development.","Requires the return of all or a part of the financial assistance provided for a project where the project has material shortfalls or material violations; prevents the use of funds, financial incentives, subsidies or tax exemptions for projects already in development.",1,2025-01-08,https://legiscan.com/NY/bill/A00030/2025
NY,1897942,,"Relates to creating the health emergency response data system, which collects information and statistical data relating to public health emergencies in order to assist the department of health, other government entities, health care providers, and the public in understanding and responding to public health emergencies.","Relates to creating the health emergency response data system, which collects information and statistical data relating to public health emergencies in order to assist the department of health, other government entities, health care providers, and the public in understanding and responding to public health emergencies.",1,2025-01-08,https://legiscan.com/NY/bill/A00031/2025
NY,1898113,,"Requires all municipalities that collect demographic information about a person's gender or sex to update all applicable forms and data systems to include a gender ""x"" option.","Requires all municipalities that collect demographic information about a person's gender or sex to update all applicable forms and data systems to include a gender ""x"" option.",1,2025-01-08,https://legiscan.com/NY/bill/A00032/2025
NY,1897958,,Establishes the task force to promote the employment by state agencies of people with disabilities.,Establishes the task force to promote the employment by state agencies of people with disabilities.,5,2025-12-05,https://legiscan.com/NY/bill/A00033/2025
NY,1898016,,Provides that the thruway authority shall issue permits for ambulances and fire vehicles exempting such vehicles from paying tolls on the thruway when engaged in an emergency operation.,Provides that the thruway authority shall issue permits for ambulances and fire vehicles exempting such vehicles from paying tolls on the thruway when engaged in an emergency operation.,5,2025-12-05,https://legiscan.com/NY/bill/A00034/2025
NY,1897965,,Requires the cannabis control board to provide notice to state legislative representatives upon receipt of application for an adult-use cannabis retail dispensary or on-site consumption license in their district.,Requires the cannabis control board to provide notice to state legislative representatives upon receipt of application for an adult-use cannabis retail dispensary or on-site consumption license in their district.,1,2025-01-08,https://legiscan.com/NY/bill/A00035/2025
NY,1897967,,Prohibits any cannabis related advertisements in establishments within a certain distance from schools; increases penalties for prohibited advertisement of tobacco and cannabis products; requires enforcement inspections.,Prohibits any cannabis related advertisements in establishments within a certain distance from schools; increases penalties for prohibited advertisement of tobacco and cannabis products; requires enforcement inspections.,1,2025-01-08,https://legiscan.com/NY/bill/A00036/2025
NY,1897837,,"Establishes the ""New York individuals with dyslexia education act""; implements a plan to identify and support students with characteristics of dyslexia; requires annual screening in grades K-5; directs intervention and notification; directs education department to develop a handbook providing guidance to parents and teachers.","Establishes the ""New York individuals with dyslexia education act""; implements a plan to identify and support students with characteristics of dyslexia; requires annual screening in grades K-5; directs intervention and notification; directs education department to develop a handbook providing guidance to parents and teachers.",1,2025-01-08,https://legiscan.com/NY/bill/A00037/2025
NY,1898008,,Directs the New York State Department of Labor to establish a voluntary training and certification program for employers entitled the Neurodiversity Training Pledge.,Directs the New York State Department of Labor to establish a voluntary training and certification program for employers entitled the Neurodiversity Training Pledge.,2,2025-05-29,https://legiscan.com/NY/bill/A00038/2025
NY,1898038,,Authorizes the village of Canton to reduce the speed limit on East Main Street to forty miles per hour.,Authorizes the village of Canton to reduce the speed limit on East Main Street to forty miles per hour.,1,2025-01-08,https://legiscan.com/NY/bill/A00039/2025
NY,1897839,,Relates to the amount of St. Lawrence county economic development power that may be used by the New York Power Authority to generate net earnings and authority-TMED contracts.,Relates to the amount of St. Lawrence county economic development power that may be used by the New York Power Authority to generate net earnings and authority-TMED contracts.,1,2025-01-08,https://legiscan.com/NY/bill/A00040/2025
