state,bill_id,bill_number,title,description,status,status_date,url
OH,1939605,,Enact Ohio Property Protection Act,"To amend sections 319.202, 5301.256, and 5323.02 of the Revised Code to modify the law that prohibits certain governments, businesses, and individuals from acquiring certain real property and to name this act the Ohio Property Protection Act.",1,2025-01-23,https://legiscan.com/OH/bill/HB1/2025
OH,1939815,,Establish the Child Care Cred Program,To enact section 5104.54 of the Revised Code to establish the Child Care Cred Program and to make an appropriation.,1,2025-01-23,https://legiscan.com/OH/bill/HB2/2025
OH,1939681,,Enact the School Bus Safety Act,"To amend sections 4503.03, 4510.036, 4511.75, 4511.751, and 4511.76 and to enact sections 5.501, 3327.18, and 3327.19 of the Revised Code to address school bus safety, to designate this act as the School Bus Safety Act, and to make an appropriation.",2,2025-06-11,https://legiscan.com/OH/bill/HB3/2025
OH,1939777,,Designate Ohio Stillbirth Prevention Day,"To enact section 5.2471 of the Revised Code to designate September 19 as ""Ohio Stillbirth Prevention Day.""",4,2025-08-27,https://legiscan.com/OH/bill/HB4/2025
OH,1939833,,Enact the Repeat Offender Act,"To amend sections 109.11, 109.57, 109.572, 109.578, 109.579, 2151.357, 2746.02, 2901.08, 2923.125, 2923.13, 2923.14, 2929.01, 2929.13, 2929.14, 2929.34, 2930.171, 2941.141, 2941.144, 2941.145, 2941.146, 2951.041, 2953.25, 2953.26, 2953.31, 2953.32, 2953.34, 2953.39, 2953.61, 4723.28, 4729.16, 4729.56, 4729.57, 4729.96, 4752.09, and 5120.035 and to enact sections 2941.1427, 2941.1428, 2941.1429, 2953.311, 2953.321, 2953.322, and 2953.323 of the Revised Code to enact the Repeat Offender Act to create a repeat offender classification, to create and modify certain firearm specifications, to increase the penalties for certain firearm offenses and specifications, to broaden the scope of relief from firearms disability, and to modify the Sealing and Expungement Law.",2,2025-05-21,https://legiscan.com/OH/bill/HB5/2025
OH,1939587,,Enact Advance Ohio Higher Education Act,"To amend sections 3335.02, 3335.09, 3337.01, 3339.01, 3341.02, 3343.02, 3344.01, 3345.45, 3350.10, 3352.01, 3356.01, 3359.01, 3361.01, 3362.01, 3364.01, 4117.14, and 4117.15; to enact new section 3333.045 and sections 3345.029, 3345.0216, 3345.0217, 3345.0218, 3345.0219, 3345.382, 3345.451, 3345.452, 3345.453, 3345.454, 3345.455, 3345.456, 3345.591, 3345.80, and 3345.88; and to repeal section 3333.045 of the Revised Code to enact the Advance Ohio Higher Education Act regarding the operation of state institutions of higher education.",1,2025-01-23,https://legiscan.com/OH/bill/HB6/2025
OH,1939661,,Make certain caregivers eligible for publicly funded child care,To amend section 5104.30 and to enact section 5104.302 of the Revised Code to make foster caregivers and kinship caregivers eligible for publicly funded child care.,1,2025-01-23,https://legiscan.com/OH/bill/HB7/2025
OH,1939697,,Require health plan and Medicaid coverage of biomarker testing,To enact sections 3902.65 and 5164.13 of the Revised Code to require health benefit plan and Medicaid program coverage of biomarker testing.,1,2025-01-23,https://legiscan.com/OH/bill/HB8/2025
OH,1939795,,Replace interstate construction requirement with a traffic study,To repeal section 5501.60 of the Revised Code to replace the requirement that the Department of Transportation construct certain interstate interchanges with a traffic congestion study.,1,2025-01-23,https://legiscan.com/OH/bill/HB9/2025
OH,1939871,,Regulate imitation meat and egg products,"To amend sections 909.07, 921.01, 921.06, 921.11, 921.16, 921.24, 943.26, 3314.03, 3326.11, 3328.24, 3701.132, and 3715.60 and to enact sections 3313.8110, 3345.88, 3715.601, 3715.602, 3715.603, 3715.604, 3715.605, and 5101.5410 of the Revised Code to regulate imitation meat and egg products and to revise various agriculture laws.",4,2026-03-20,https://legiscan.com/OH/bill/HB10/2025
OH,1939735,,Regards legislative rule approval and fiscal analyses of rules,"To amend sections 106.02, 106.023, 106.024, 111.15, 119.03, and 119.04 and to enact sections 106.025, 106.026, 106.033, 106.10, 121.96, and 126.04 of the Revised Code to require legislative approval of administrative rules and other regulatory actions under specified conditions, to allow a JCARR chairperson to request a third-party fiscal analysis of a rule, and to require state agencies to publicly post policy documents.",1,2025-01-23,https://legiscan.com/OH/bill/HB11/2025
OH,1939756,,"Enact the Jeff, Dave, and Angie Patient Right to Try Act","To enact section 3792.08 of the Revised Code regarding prescribing, dispensing, and administering drugs and to name this act the Jeff, Dave, and Angie Patient Right to Try Act.",1,2025-01-23,https://legiscan.com/OH/bill/HB12/2025
OH,1939853,,Designate Roy Rogers Day,"To enact section 5.267 of the Revised Code to designate November 5th as ""Roy Rogers Day.""",2,2025-03-05,https://legiscan.com/OH/bill/HB13/2025
OH,1939887,,Incorporate Internal Revenue Code changes into Ohio law,"To amend section 5701.11 of the Revised Code to expressly incorporate changes in the Internal Revenue Code since March 15, 2023, into Ohio law and to declare an emergency.",4,2025-03-07,https://legiscan.com/OH/bill/HB14/2025
OH,1939624,,Amend competitive retail electric service law,"To amend sections 122.6511, 3313.372, 3313.373, 4905.03, 4906.01, 4906.03, 4906.06, 4906.07, 4906.10, 4909.04, 4909.05, 4909.052, 4909.06, 4909.07, 4909.08, 4909.15, 4909.156, 4909.173, 4909.174, 4909.18, 4909.19, 4909.191, 4909.42, 4928.01, 4928.05, 4928.08, 4928.14, 4928.141, 4928.142, 4928.144, 4928.17, 4928.20, 4928.23, 4928.231, 4928.232, 4928.34, 4928.542, 4928.64, 4928.645, 4929.20, 4933.81, 4935.04, 5727.01, 5727.111, and 5727.75; to enact sections 122.161, 3313.377, 3313.378, 4903.27, 4905.23, 4905.311, 4905.321, 4905.331, 4909.041, 4909.042, 4909.159, 4909.181, 4909.192, 4909.193, 4909.421, 4928.041, 4928.101, 4928.102, 4928.103, 4928.104, 4928.105, 4928.149, 4928.1410, 4928.73, 4928.83, 4928.86, 4929.221, 4929.222, and 5727.76; and to repeal sections 3706.40, 3706.41, 3706.43, 3706.431, 3706.45, 3706.46, 3706.49, 3706.491, 3706.55, 3706.551, 3706.59, 3706.63, 3706.65, 4906.105, 4928.143, 4928.148, 4928.47, and 4928.642 of the Revised Code to amend the competitive retail electric service law, modify taxation of certain public utility property, and repeal parts of H.B. 6 of the 133rd General Assembly.",4,2025-08-14,https://legiscan.com/OH/bill/HB15/2025
OH,1939574,,Prohibit certain restrictions on display of political yard signs,To amend section 5301.072 of the Revised Code to prohibit certain restrictions on the display of political yard signs.,1,2025-01-23,https://legiscan.com/OH/bill/HB16/2025
OH,1939644,,Regards tax classification of certain storage condominiums,To amend section 5713.041 of the Revised Code to classify certain storage condominiums as residential property for tax purposes.,1,2025-01-23,https://legiscan.com/OH/bill/HB17/2025
OH,1939718,,Enact the Ohio Strategic Cryptocurrency Reserve Act,"To amend sections 145.11, 742.11, 3307.15, 3309.15, 3770.06, and 5505.06 and to enact section 135.146 of the Revised Code to address investments in exchange-traded products by the state retirement systems, to permit the Treasurer of State to invest certain interim funds in digital assets, and to name this act the Ohio Strategic Cryptocurrency Reserve Act.",1,2025-01-23,https://legiscan.com/OH/bill/HB18/2025
OH,1942477,,Regards underage possession or consumption of alcohol,"To amend section 4301.69 of the Revised Code to reduce the mental state, from knowingly to recklessly, that applies to the prohibition against allowing an underage person to possess or consume alcohol in a private or public place.",1,2025-01-27,https://legiscan.com/OH/bill/HB19/2025
OH,1942789,,Prohibit harassing or impeding an emergency service responder,To amend sections 2903.22 and 2921.31 of the Revised Code to increase the penalty for obstructing official business when the victim is an emergency service responder who is engaged in the lawful performance of a legal duty and to clarify that heightened penalties apply for menacing a probation officer.,2,2025-06-18,https://legiscan.com/OH/bill/HB20/2025
OH,1942857,,Enact the Health Care Sharing Ministries Freedom to Share Act,To amend sections 1716.01 and 5747.01 and to enact sections 1716.22 and 3333.96 of the Revised Code to enact the Health Care Sharing Ministries Freedom to Share Act.,2,2025-11-12,https://legiscan.com/OH/bill/HB21/2025
OH,1942400,,Authorize homestead exemption for surviving military spouses,"To amend sections 323.151, 323.152, 323.153, 4503.064, 4503.065, and 4503.066 of the Revised Code to authorize a full homestead exemption for surviving spouses of members of the uniformed services killed in the line of duty.",1,2025-01-27,https://legiscan.com/OH/bill/HB22/2025
OH,1942711,,Create the escaped convict alert program,To amend section 4973.17 and to enact section 5502.54 of the Revised Code to create the escaped convict alert program and to allow a prior parent company of a bank to apply to the Secretary of State for the appointment and commission of banking police officers.,4,2026-03-02,https://legiscan.com/OH/bill/HB23/2025
OH,1942631,,Provide Medigap policies for certain Medicare-eligible persons,"To amend sections 3923.33, 3923.331, 3923.332, 3923.337, 3923.338, 3923.339, and 3923.42 and to enact section 3923.3310 of the Revised Code to provide Medigap policies for Medicare-eligible individuals under the age of 65.",1,2025-01-27,https://legiscan.com/OH/bill/HB24/2025
OH,1942556,,Establish the Foster-to-College Scholarship Program,"To amend sections 3314.03 and 3326.11 and to enact sections 3301.96, 3313.475, and 5103.62 of the Revised Code to enact the Fostering School Success Act.",2,2026-03-04,https://legiscan.com/OH/bill/HB25/2025
OH,1943844,,Enact Protecting Ohio Communities Act,"To amend sections 9.63, 4501.06, 5747.50, 5747.502, 5747.51, and 5747.53 and to enact sections 9.631, 9.632, 9.633, and 5747.504 of the Revised Code to require state and local authorities to cooperate with the federal government in the enforcement of immigration laws, to prescribe funding reductions for noncompliance, to name this act the Protecting Ohio Communities Act, and to declare an emergency.",1,2025-01-28,https://legiscan.com/OH/bill/HB26/2025
OH,1943986,,Designate Specialist Jacob A. Ashton Memorial Bridge,"To amend sections 4501.21 and 4503.733 and to enact section 5534.90 of the Revised Code to designate the bridge spanning the Grand River in Lake County as the ""Specialist Jacob A. Ashton Memorial Bridge"" and to make changes to the ""Juvenile Diabetes Research Foundation"" license plate.",4,2026-03-02,https://legiscan.com/OH/bill/HB27/2025
OH,1944027,,Eliminate the authority to levy replacement property tax levies,"To amend sections 319.301, 319.302, 523.06, 1545.21, 3316.041, 3316.06, 3358.11, 3505.06, 5705.03, 5705.218, 5705.2111, 5705.221, 5705.233, 5705.261, and 5705.412 and to repeal section 5705.192 of the Revised Code to eliminate the authority to levy replacement property tax levies.",2,2025-03-19,https://legiscan.com/OH/bill/HB28/2025
OH,1944160,,Regards inmates' access to feminine hygiene products and showers,"To enact sections 341.261, 753.321, and 5120.631 of the Revised Code regarding inmates' access to feminine hygiene products and showers by municipal and county correctional facilities and state correctional institutions.",4,2026-03-20,https://legiscan.com/OH/bill/HB29/2025
OH,1954982,,Phase-down the state income tax to a flat rate of 2.75%,To amend section 5747.02 of the Revised Code to phase-down the state income tax to a flat rate of 2.75% over two years.,1,2025-02-03,https://legiscan.com/OH/bill/HB30/2025
OH,1954047,,Require electronic recordings of all parole board hearings,"To amend sections 149.43, 2929.20, 5120.115, 5120.21, 5149.10, and 5149.101 and to enact section 5149.102 of the Revised Code to require electronic recordings to be made of certain parole board hearings, to make electronic recordings of full parole board hearings public records, and to provide the prosecuting attorney access to Department of Rehabilitation and Correction health care records for certain parole and judicial release cases.",2,2025-06-11,https://legiscan.com/OH/bill/HB31/2025
OH,1954549,,Designate Celebrating Disabilities Month,To enact section 5.2322 of the Revised Code to designate the month of July as Celebrating Disabilities Month.,1,2025-02-03,https://legiscan.com/OH/bill/HB32/2025
OH,1954111,,Require insurance coverage for certain prostate cancer screening,To enact section 3902.66 of the Revised Code to require health insurers to cover preventive screenings for certain men at high-risk for developing prostate cancer.,1,2025-02-03,https://legiscan.com/OH/bill/HB33/2025
OH,1954431,,Increase the state minimum wage,"To amend sections 4111.02, 4111.05, 4111.09, and 4111.14 and to repeal section 4111.07 of the Revised Code to increase the state minimum wage.",1,2025-02-03,https://legiscan.com/OH/bill/HB34/2025
OH,1954270,,Designate the Al Oliver Highway,"To enact section 5534.964 of the Revised Code to designate a portion of State Route 125 in Scioto County as the ""Al Oliver Highway.""",1,2025-02-03,https://legiscan.com/OH/bill/HB35/2025
OH,1954663,,Add nitrogen hypoxia as a method of execution,"To amend sections 2921.24, 2949.22, 2949.221, and 2949.25 of the Revised Code to add nitrogen hypoxia as a method of execution and to prohibit the disclosure of execution identifying information.",1,2025-02-03,https://legiscan.com/OH/bill/HB36/2025
OH,1954363,,Designate Detective Rex Emrick Memorial Highway,"To enact section 5534.443 of the Revised Code to designate a portion of State Route 56 in Pickaway County as the ""Detective Rex Emrick Memorial Highway.""",2,2026-03-04,https://legiscan.com/OH/bill/HB37/2025
