state,bill_id,bill_number,title,description,status,status_date,url
OK,2049980,,Crimes and punishments; Lauria and Ashley's Law; minimum prison sentences; effective date.,Crimes and punishments; Lauria and Ashley's Law; minimum prison sentences; effective date.,4,2025-05-05,https://legiscan.com/OK/bill/HB1001/2026
OK,2049840,,Stalking; directing law enforcement agencies to provide certain notification to victims of stalking; effective date.,Stalking; directing law enforcement agencies to provide certain notification to victims of stalking; effective date.,2,2026-03-25,https://legiscan.com/OK/bill/HB1002/2026
OK,2050313,,Crimes and punishments; modifying age limitations for certain prohibited acts.,Crimes and punishments; modifying age limitations for certain prohibited acts.,4,2025-05-27,https://legiscan.com/OK/bill/HB1003/2026
OK,2047974,,Constitutional carry; expanding scope of persons authorized to transport firearms in vehicles; emergency.,Constitutional carry; expanding scope of persons authorized to transport firearms in vehicles; emergency.,1,2025-02-03,https://legiscan.com/OK/bill/HB1004/2026
OK,2049383,,Elections; registration card; photo identification; effective date.,Elections; registration card; photo identification; effective date.,2,2025-03-31,https://legiscan.com/OK/bill/HB1005/2026
OK,2051012,,Schools; Ten Commandments; display; procedures; effective date; emergency.,Schools; Ten Commandments; display; procedures; effective date; emergency.,1,2025-02-03,https://legiscan.com/OK/bill/HB1006/2026
OK,2047862,,Elections; proof of identity; educational institutions; registration; voting; effective date.,Elections; proof of identity; educational institutions; registration; voting; effective date.,1,2025-02-03,https://legiscan.com/OK/bill/HB1007/2026
OK,2049729,,Abortion; prohibition of abortion; definitions; prescribing standard based upon preservation of the life of a pregnant woman; emergency.,Abortion; prohibition of abortion; definitions; prescribing standard based upon preservation of the life of a pregnant woman; emergency.,1,2025-02-03,https://legiscan.com/OK/bill/HB1008/2026
OK,2048061,,Revenue and taxation; income tax; rates; effective date.,Revenue and taxation; income tax; rates; effective date.,1,2025-02-03,https://legiscan.com/OK/bill/HB1009/2026
OK,2049698,,Elections; Presidential Preference Primary Modernization Act of 2025; State Election Board; costs; political party; appeal; effective date.,Elections; Presidential Preference Primary Modernization Act of 2025; State Election Board; costs; political party; appeal; effective date.,1,2025-02-03,https://legiscan.com/OK/bill/HB1010/2026
OK,2050701,,School employees; Education Employee Assistant Program; Department of Mental Health and Substance Abuse Services; effective date; emergency.,School employees; Education Employee Assistant Program; Department of Mental Health and Substance Abuse Services; effective date; emergency.,1,2025-02-03,https://legiscan.com/OK/bill/HB1011/2026
OK,2048978,,Data privacy; Oklahoma Computer Data Privacy Act; consumer protection; civil penalties; effective date.,Data privacy; Oklahoma Computer Data Privacy Act; consumer protection; civil penalties; effective date.,1,2025-02-03,https://legiscan.com/OK/bill/HB1012/2026
OK,2049405,,Education; State Board of Education; revocation and suspension of licenses and certificates; effective date; emergency.,Education; State Board of Education; revocation and suspension of licenses and certificates; effective date; emergency.,1,2025-02-03,https://legiscan.com/OK/bill/HB1013/2026
OK,2049810,,Teachers; poor performance or conduct; certain conduct exempt from certain requirements; effective date; emergency.,Teachers; poor performance or conduct; certain conduct exempt from certain requirements; effective date; emergency.,1,2025-02-03,https://legiscan.com/OK/bill/HB1014/2026
OK,2049011,,Teachers; temporary contracts; teachers with emergency or provisional certificates; effective date; emergency.,Teachers; temporary contracts; teachers with emergency or provisional certificates; effective date; emergency.,1,2025-02-03,https://legiscan.com/OK/bill/HB1015/2026
OK,2048468,,Labor; compensation for minors; Internet content; records; trust account; civil action; effective date.,Labor; compensation for minors; Internet content; records; trust account; civil action; effective date.,2,2026-03-16,https://legiscan.com/OK/bill/HB1016/2026
OK,2049462,,Higher education; Oklahoma College Athletic Conference Act; Oklahoma NCAA Division II Athletic Conference Exploration Commission; emergency.,Higher education; Oklahoma College Athletic Conference Act; Oklahoma NCAA Division II Athletic Conference Exploration Commission; emergency.,4,2025-05-07,https://legiscan.com/OK/bill/HB1017/2026
OK,2048350,,Health care; unauthorized pelvic examinations; exceptions; effective date.,Health care; unauthorized pelvic examinations; exceptions; effective date.,1,2025-02-03,https://legiscan.com/OK/bill/HB1018/2026
OK,2050972,,Public health; Oklahoma Rare Disease Advisory Council; purpose; appointment procedures; membership requirements; annual report; membership terms; vacancies; term; effective date.,Public health; Oklahoma Rare Disease Advisory Council; purpose; appointment procedures; membership requirements; annual report; membership terms; vacancies; term; effective date.,1,2025-02-03,https://legiscan.com/OK/bill/HB1019/2026
OK,2050838,,Higher education; Oklahoma Higher Learning Access Program; eligibility for children of certain public school employees; effective date; emergency.,Higher education; Oklahoma Higher Learning Access Program; eligibility for children of certain public school employees; effective date; emergency.,1,2025-02-03,https://legiscan.com/OK/bill/HB1020/2026
OK,2049003,,Motor vehicles; deleting limitation on the height of motorcycle handlebars; effective date.,Motor vehicles; deleting limitation on the height of motorcycle handlebars; effective date.,4,2025-05-13,https://legiscan.com/OK/bill/HB1021/2026
OK,2049853,,Motor vehicles; failure to yield; requiring payment of fee for certain convictions; modifying fee; effective date.,Motor vehicles; failure to yield; requiring payment of fee for certain convictions; modifying fee; effective date.,4,2025-05-22,https://legiscan.com/OK/bill/HB1022/2026
OK,2048774,,Revenue and Taxation; vehicle excise tax; value; bill of sale; report; effective date.,Revenue and Taxation; vehicle excise tax; value; bill of sale; report; effective date.,1,2025-02-03,https://legiscan.com/OK/bill/HB1023/2026
OK,2050878,,Unfair Sales Act; definition; low profit margins; effective date.,Unfair Sales Act; definition; low profit margins; effective date.,2,2025-03-11,https://legiscan.com/OK/bill/HB1024/2026
OK,2049211,,Prisons and reformatories; creating the Oklahoma Department of Corrections Prison Rodeo Revolving Fund; codification; effective date,Prisons and reformatories; creating the Oklahoma Department of Corrections Prison Rodeo Revolving Fund; codification; effective date,1,2025-02-03,https://legiscan.com/OK/bill/HB1025/2026
OK,2051020,,Crimes and punishments; making certain acts unlawful; codification; effective date.,Crimes and punishments; making certain acts unlawful; codification; effective date.,1,2025-02-03,https://legiscan.com/OK/bill/HB1026/2026
OK,2048636,,Retirement; Oklahoma Law Enforcement Retirement System; term; references; purchase price calculation; service credit; leaves of absence; emergency.,Retirement; Oklahoma Law Enforcement Retirement System; term; references; purchase price calculation; service credit; leaves of absence; emergency.,4,2025-05-06,https://legiscan.com/OK/bill/HB1027/2026
OK,2049842,,Elections; Oklahoma Election Process Integrity Act of 2025; in-person access; county election board; official act; effective date.,Elections; Oklahoma Election Process Integrity Act of 2025; in-person access; county election board; official act; effective date.,1,2025-02-03,https://legiscan.com/OK/bill/HB1028/2026
OK,2049316,,Sunset; Oklahoma Funeral Board; extending sunset year.,Sunset; Oklahoma Funeral Board; extending sunset year.,5,2025-05-14,https://legiscan.com/OK/bill/HB1029/2026
OK,2049403,,Sunset; State Board of Cosmetology and Barbering; extending sunset year.,Sunset; State Board of Cosmetology and Barbering; extending sunset year.,5,2025-05-14,https://legiscan.com/OK/bill/HB1030/2026
OK,2048324,,Sunset; Oklahoma Energy Resources Board; extending sunset year.,Sunset; Oklahoma Energy Resources Board; extending sunset year.,4,2025-04-29,https://legiscan.com/OK/bill/HB1031/2026
OK,2050046,,Sunset; State Board of Medical Licensure and Supervision; extending sunset year.,Sunset; State Board of Medical Licensure and Supervision; extending sunset year.,4,2025-04-29,https://legiscan.com/OK/bill/HB1032/2026
OK,2049669,,Sunset; State Board of Veterinary Medical Examiners; extending sunset year.,Sunset; State Board of Veterinary Medical Examiners; extending sunset year.,4,2025-04-29,https://legiscan.com/OK/bill/HB1033/2026
OK,2050326,,Sunset; Archives and Records Commission; extending sunset year.,Sunset; Archives and Records Commission; extending sunset year.,4,2025-05-15,https://legiscan.com/OK/bill/HB1034/2026
OK,2048292,,Sunset; Capitol-Medical Center Improvement and Zoning Commission; extending sunset year.,Sunset; Capitol-Medical Center Improvement and Zoning Commission; extending sunset year.,4,2025-04-29,https://legiscan.com/OK/bill/HB1035/2026
OK,2050913,,Sunset; State Board of Licensed Social Workers; extending sunset year.,Sunset; State Board of Licensed Social Workers; extending sunset year.,1,2025-02-03,https://legiscan.com/OK/bill/HB1036/2026
OK,2050019,,Sunset; Oklahoma Board of Licensed Alcohol and Drug Counselors; extending sunset year.,Sunset; Oklahoma Board of Licensed Alcohol and Drug Counselors; extending sunset year.,1,2025-02-03,https://legiscan.com/OK/bill/HB1037/2026
OK,2050576,,Sunset; Long-Term Care Facility Advisory Council; extending sunset year.,Sunset; Long-Term Care Facility Advisory Council; extending sunset year.,1,2025-02-03,https://legiscan.com/OK/bill/HB1038/2026
OK,2049323,,Sunset; State Anatomical Board; extending sunset year.,Sunset; State Anatomical Board; extending sunset year.,1,2025-02-03,https://legiscan.com/OK/bill/HB1039/2026
OK,2048497,,Sunset; State Board of Examiners of Psychologists; extending sunset year.,Sunset; State Board of Examiners of Psychologists; extending sunset year.,1,2025-02-03,https://legiscan.com/OK/bill/HB1040/2026
OK,2048622,,Sunset; State Board of Behavioral Health Licensure; extending sunset year.,Sunset; State Board of Behavioral Health Licensure; extending sunset year.,1,2025-02-03,https://legiscan.com/OK/bill/HB1041/2026
OK,2048606,,Sunset; Opioid Overdose Fatality Review Board; extending sunset year.,Sunset; Opioid Overdose Fatality Review Board; extending sunset year.,1,2025-02-03,https://legiscan.com/OK/bill/HB1042/2026
OK,2049264,,Motor vehicles; creating the Respect for Citizens Act of 2025; declaring certain driver licenses invalid in this state; effective date.,Motor vehicles; creating the Respect for Citizens Act of 2025; declaring certain driver licenses invalid in this state; effective date.,1,2025-02-03,https://legiscan.com/OK/bill/HB1043/2026
OK,2050196,,Wind energy facilities; creating the Vital Industries Security Act of 2025; authorizing county commissions to make certain moratorium declaration; effective date.,Wind energy facilities; creating the Vital Industries Security Act of 2025; authorizing county commissions to make certain moratorium declaration; effective date.,1,2025-02-03,https://legiscan.com/OK/bill/HB1044/2026
OK,2050279,,Homeless persons; identification cards; replacement fee; definition; fees for certified copies of records; certified birth certificate copy fee; requirements; effective date.,Homeless persons; identification cards; replacement fee; definition; fees for certified copies of records; certified birth certificate copy fee; requirements; effective date.,1,2025-02-03,https://legiscan.com/OK/bill/HB1045/2026
