state,bill_id,bill_number,title,description,status,status_date,url
PA,1905489,,"In terms and courses of study, further providing for subjects of instruction and flag code.","An Act amending the act of March 10, 1949 (P.L.30, No.14), known as the Public School Code of 1949, in terms and courses of study, further providing for subjects of instruction and flag code.",4,2026-02-11,https://legiscan.com/PA/bill/HB17/2025
PA,1905317,,"In incapacitated persons, further providing for review hearing.","An Act amending Title 20 (Decedents, Estates and Fiduciaries) of the Pennsylvania Consolidated Statutes, in incapacitated persons, further providing for review hearing.",4,2025-10-27,https://legiscan.com/PA/bill/HB18/2025
PA,2039287,,"Providing for adult use of cannabis; regulating the personal use and possession of cannabis; establishing the Keystone Cannabis Authority; providing for powers and duties of the Keystone Cannabis Authority; establishing the Community Opportunity Fund; providing for social and economic equity, for regulation of cannabis business establishments, for enforcement and immunities, for laboratory testing, for advertising, marketing, packaging and labeling and for preparation, destruction and regulation of cannabis and cannabis-infused edible and nonedible products; imposing a sales tax and excise tax on cannabis and cannabis-infused edible and nonedible products; establishing the Cannabis Regulation Fund; providing for cannabis clean slate and for miscellaneous provisions; imposing penalties; consolidating provisions relating to the medical use of cannabis; transferring certain powers and duties of the Department of Health to the Keystone Cannabis Authority; and making repeals.","An Act amending Title 35 (Health and Safety) of the Pennsylvania Consolidated Statutes, providing for adult use of cannabis; regulating the personal use and possession of cannabis; establishing the Keystone Cannabis Authority; providing for powers and duties of the Keystone Cannabis Authority; establishing the Community Opportunity Fund; providing for social and economic equity, for regulation of cannabis business establishments, for enforcement and immunities, for laboratory testing, for advertising, marketing, packaging and labeling and for preparation, destruction and regulation of cannabis and cannabis-infused edible and nonedible products; imposing a sales tax and excise tax on cannabis and cannabis-infused edible and nonedible products; establishing the Cannabis Regulation Fund; providing for cannabis clean slate and for miscellaneous provisions; imposing penalties; consolidating provisions relating to the medical use of cannabis; transferring certain powers and duties of the Department of Health to the Keystone Cannabis Authority; and making repeals.",1,2025-07-14,https://legiscan.com/PA/bill/HB20/2025
PA,1905663,,"In personal income tax, further providing for definitions and for classes of income.","An Act amending the act of March 4, 1971 (P.L.6, No.2), known as the Tax Reform Code of 1971, in personal income tax, further providing for definitions and for classes of income.",1,2025-01-08,https://legiscan.com/PA/bill/HB22/2025
PA,2046135,,"Further providing for definitions and for minimum wages; providing for eligibility and coverage; further providing for exemptions, for duty of employer, for enforcement and rules and regulations and for civil actions; and repealing provisions relating to preemption.","An Act amending the act of January 17, 1968 (P.L.11, No.5), known as The Minimum Wage Act of 1968, further providing for definitions and for minimum wages; providing for eligibility and coverage; further providing for exemptions, for duty of employer, for enforcement and rules and regulations and for civil actions; and repealing provisions relating to preemption.",1,2025-10-10,https://legiscan.com/PA/bill/HB23/2025
PA,1905404,,Providing for off-campus student housing rights.,An Act providing for off-campus student housing rights.,1,2025-01-08,https://legiscan.com/PA/bill/HB24/2025
PA,1905751,,"In school finances, further providing for fiscal year and for tax levy and limitations.","An Act amending the act of March 10, 1949 (P.L.30, No.14), known as the Public School Code of 1949, in school finances, further providing for fiscal year and for tax levy and limitations.",1,2025-01-08,https://legiscan.com/PA/bill/HB25/2025
PA,1905925,,"In provisions relating to abortion, repealing provisions relating to short title of chapter and to legislative intent, further providing for definitions, repealing provisions relating to medical consultation and judgment, to informed consent, to parental consent, to abortion facilities, to printed information, to Commonwealth interference prohibited, to spousal notice, to determination of gestational age, to abortion on unborn child of 24 or more weeks gestational age, to infanticide, to prohibited acts and to reporting, further providing for publicly owned facilities, public officials and public funds and for fetal experimentation and repealing provisions relating to civil penalties, to criminal penalties, to State Board of Medicine and State Board of Osteopathic Medicine and to construction; providing for reproductive rights; repealing provisions relating to compliance with Federal health care legislation as to regulation of insurers and related persons generally; and imposing penalties.","An Act amending Titles 18 (Crimes and Offenses), 35 (Health and Safety) and 40 (Insurance) of the Pennsylvania Consolidated Statutes, in provisions relating to abortion, repealing provisions relating to short title of chapter and to legislative intent, further providing for definitions, repealing provisions relating to medical consultation and judgment, to informed consent, to parental consent, to abortion facilities, to printed information, to Commonwealth interference prohibited, to spousal notice, to determination of gestational age, to abortion on unborn child of 24 or more weeks gestational age, to infanticide, to prohibited acts and to reporting, further providing for publicly owned facilities, public officials and public funds and for fetal experimentation and repealing provisions relating to civil penalties, to criminal penalties, to State Board of Medicine and State Board of Osteopathic Medicine and to construction; providing for reproductive rights; repealing provisions relating to compliance with Federal health care legislation as to regulation of insurers and related persons generally; and imposing penalties.",1,2025-01-08,https://legiscan.com/PA/bill/HB26/2025
PA,1905838,,"In licensing of health care facilities, providing for surgical smoke evacuation systems.","An Act amending the act of July 19, 1979 (P.L.130, No.48), known as the Health Care Facilities Act, in licensing of health care facilities, providing for surgical smoke evacuation systems.",2,2025-02-04,https://legiscan.com/PA/bill/HB27/2025
PA,1907340,,"In practitioners, further providing for practitioner registration.","An Act amending the act of April 17, 2016 (P.L.84, No.16), known as the Medical Marijuana Act, in practitioners, further providing for practitioner registration.",1,2025-01-10,https://legiscan.com/PA/bill/HB28/2025
PA,1907455,,"In diverse and disadvantaged businesses, further providing for definitions and for woman-owned business, minority-owned business or veteran-owned business and establishing the HUB Zone Business Procurement Program.","An Act amending Title 62 (Procurement) of the Pennsylvania Consolidated Statutes, in diverse and disadvantaged businesses, further providing for definitions and for woman-owned business, minority-owned business or veteran-owned business and establishing the HUB Zone Business Procurement Program.",1,2025-01-10,https://legiscan.com/PA/bill/HB29/2025
PA,1907356,,Further providing for application and qualifications.,"An Act amending the act of July 10, 1990 (P.L.404, No.98), known as the Real Estate Appraisers Certification Act, further providing for application and qualifications.",2,2025-06-09,https://legiscan.com/PA/bill/HB30/2025
PA,2024005,,"A Joint Resolution proposing integrated and distinct amendments to the Constitution of the Commonwealth of Pennsylvania, repealing provisions relating to Legislative Reapportionment Commission and providing for Independent Redistricting Commission and for redistricting criteria.","A Joint Resolution proposing integrated and distinct amendments to the Constitution of the Commonwealth of Pennsylvania, repealing provisions relating to Legislative Reapportionment Commission and providing for Independent Redistricting Commission and for redistricting criteria.",1,2025-04-15,https://legiscan.com/PA/bill/HB31/2025
PA,2015344,,"In senior citizens property tax and rent rebate assistance, further providing for definitions.","An Act amending the act of June 27, 2006 (1st Sp.Sess., P.L.1873, No.1), known as the Taxpayer Relief Act, in senior citizens property tax and rent rebate assistance, further providing for definitions.",1,2025-03-31,https://legiscan.com/PA/bill/HB32/2025
PA,1907244,,"In preliminary provisions, further providing for definitions; in practitioners, further providing for pr actitioner registration; in medical marijuana controls, further providing for electronic tracking and for laboratory; and, in Medical Marijuana Advisory Board, further providing for advisory board.","An Act amending the act of April 17, 2016 (P.L.84, No.16), known as the Medical Marijuana Act, in preliminary provisions, further providing for definitions; in practitioners, further providing for pr actitioner registration; in medical marijuana controls, further providing for electronic tracking and for laboratory; and, in Medical Marijuana Advisory Board, further providing for advisory board.",2,2025-03-17,https://legiscan.com/PA/bill/HB33/2025
PA,1907443,,"In tax credit and tax benefit administration, further providing for definitions; and providing for a disaster lodging tax credit.","An Act amending the act of March 4, 1971 (P.L.6, No.2), known as the Tax Reform Code of 1971, in tax credit and tax benefit administration, further providing for definitions; and providing for a disaster lodging tax credit.",1,2025-01-10,https://legiscan.com/PA/bill/HB34/2025
PA,1907468,,"In school safety and security, providing for school safety blueprint requirement.","An Act amending the act of March 10, 1949 (P.L.30, No.14), known as the Public School Code of 1949, in school safety and security, providing for school safety blueprint requirement.",1,2025-01-10,https://legiscan.com/PA/bill/HB35/2025
PA,1907382,,"In Office of State Inspector General, further providing for definitions and for powers, purpose and duties.","An Act amending the act of April 9, 1929 (P.L.177, No.175), known as The Administrative Code of 1929, in Office of State Inspector General, further providing for definitions and for powers, purpose and duties.",2,2025-03-18,https://legiscan.com/PA/bill/HB36/2025
