state,bill_id,bill_number,title,description,status,status_date,url
SD,2060593,,Provide for prescribed burning of state-owned land by a person owning adjoining land and to declare an emergency.,Provide for prescribed burning of state-owned land by a person owning adjoining land and to declare an emergency.,4,2026-03-09,https://legiscan.com/SD/bill/HB1001/2026
SD,2060579,,Revise the daily meal allowance for wildland fire employees and fire suppression forces in certain circumstances.,Revise the daily meal allowance for wildland fire employees and fire suppression forces in certain circumstances.,4,2026-02-17,https://legiscan.com/SD/bill/HB1002/2026
SD,2060581,,Amend provisions pertaining to the required criminal background investigation of certain school employees.,Amend provisions pertaining to the required criminal background investigation of certain school employees.,4,2026-02-26,https://legiscan.com/SD/bill/HB1003/2026
SD,2060586,,Authorize the recall of county commissioners.,Authorize the recall of county commissioners.,1,2026-01-13,https://legiscan.com/SD/bill/HB1004/2026
SD,2061028,,Provide a sales and use tax exemption for goods and services related to data center operations.,Provide a sales and use tax exemption for goods and services related to data center operations.,1,2026-01-13,https://legiscan.com/SD/bill/HB1005/2026
SD,2061041,,Create a taskforce to study the creation of Indian medicaid managed care entities in the state.,Create a taskforce to study the creation of Indian medicaid managed care entities in the state.,4,2026-03-30,https://legiscan.com/SD/bill/HB1006/2026
SD,2061026,,Amend the definition of law enforcement officer to include tribal law enforcement officers.,Amend the definition of law enforcement officer to include tribal law enforcement officers.,4,2026-03-09,https://legiscan.com/SD/bill/HB1007/2026
SD,2061033,,Direct the amendment of the Administrative Rules of South Dakota regarding the awarding of high school credit for participation in extracurricular athletics.,Direct the amendment of the Administrative Rules of South Dakota regarding the awarding of high school credit for participation in extracurricular athletics.,1,2026-01-13,https://legiscan.com/SD/bill/HB1008/2026
SD,2061037,,Revise the speed limit restriction applicable to the operation of a golf cart on certain highways.,Revise the speed limit restriction applicable to the operation of a golf cart on certain highways.,1,2026-01-13,https://legiscan.com/SD/bill/HB1009/2026
SD,2061021,,Modify requirements regarding the use of a mobile electronic device while operating a motor vehicle.,Modify requirements regarding the use of a mobile electronic device while operating a motor vehicle.,1,2026-01-13,https://legiscan.com/SD/bill/HB1010/2026
SD,2061020,,Modify fees charged by the clerk of courts for certain copies of court records.,Modify fees charged by the clerk of courts for certain copies of court records.,4,2026-02-17,https://legiscan.com/SD/bill/HB1011/2026
SD,2061032,,Revise and repeal provisions allowing probation for contempt of a custody or visitation decree.,Revise and repeal provisions allowing probation for contempt of a custody or visitation decree.,4,2026-03-03,https://legiscan.com/SD/bill/HB1012/2026
SD,2061042,,Clarify the purposes permitted for certain offenders to operate a motor vehicle.,Clarify the purposes permitted for certain offenders to operate a motor vehicle.,4,2026-03-03,https://legiscan.com/SD/bill/HB1013/2026
SD,2061036,,Modify the surcharge for a responding party in a forcible entry and detainer action.,Modify the surcharge for a responding party in a forcible entry and detainer action.,4,2026-03-03,https://legiscan.com/SD/bill/HB1014/2026
SD,2061027,,Create a pilot program in the Unified Judicial System to develop a pretrial release program.,Create a pilot program in the Unified Judicial System to develop a pretrial release program.,1,2026-01-13,https://legiscan.com/SD/bill/HB1015/2026
SD,2061040,,Modify provisions related to the controlled substances schedule and to declare an emergency.,Modify provisions related to the controlled substances schedule and to declare an emergency.,4,2026-02-12,https://legiscan.com/SD/bill/HB1016/2026
SD,2061031,,Permit the board of a school district to require that certain students receive instruction in alternative settings.,Permit the board of a school district to require that certain students receive instruction in alternative settings.,3,2026-03-04,https://legiscan.com/SD/bill/HB1017/2026
SD,2061022,,Amend the reversion date for moneys appropriated to the Department of Education to improve and renovate the Cultural Heritage Center.,Amend the reversion date for moneys appropriated to the Department of Education to improve and renovate the Cultural Heritage Center.,4,2026-03-02,https://legiscan.com/SD/bill/HB1018/2026
SD,2061023,,Revise provisions regarding pesticide laws.,Revise provisions regarding pesticide laws.,4,2026-02-26,https://legiscan.com/SD/bill/HB1019/2026
SD,2061039,,Increase the maximum amount allowable for the livestock ownership inspection fee and to declare an emergency.,Increase the maximum amount allowable for the livestock ownership inspection fee and to declare an emergency.,4,2026-02-23,https://legiscan.com/SD/bill/HB1020/2026
SD,2061030,,"Authorize the Department of Agriculture and Natural Resources to dismantle and demolish buildings on the South Dakota State Fairgrounds, to make an appropriation therefor, and to declare an emergency.","Authorize the Department of Agriculture and Natural Resources to dismantle and demolish buildings on the South Dakota State Fairgrounds, to make an appropriation therefor, and to declare an emergency.",4,2026-02-11,https://legiscan.com/SD/bill/HB1021/2026
SD,2061035,,Revise and repeal provisions related to the crime victims' compensation program.,Revise and repeal provisions related to the crime victims' compensation program.,4,2026-03-03,https://legiscan.com/SD/bill/HB1022/2026
SD,2064818,,Establish requirements and liability protection for registered nurses and licensed practical nurses serving on ambulance crews.,Establish requirements and liability protection for registered nurses and licensed practical nurses serving on ambulance crews.,4,2026-02-09,https://legiscan.com/SD/bill/HB1023/2026
SD,2064813,,Modify requirements for ambulance operators.,Modify requirements for ambulance operators.,4,2026-02-09,https://legiscan.com/SD/bill/HB1024/2026
SD,2064824,,"Authorize the issuance of no-trespass orders by private security officers, require the establishment of buffer zones per written no-trespass orders, and afford municipalities greater authority to regulate trespass.","Authorize the issuance of no-trespass orders by private security officers, require the establishment of buffer zones per written no-trespass orders, and afford municipalities greater authority to regulate trespass.",1,2026-01-13,https://legiscan.com/SD/bill/HB1025/2026
