state,bill_id,bill_number,title,description,status,status_date,url
TX,1934188,,General Appropriations Bill.,General Appropriations Bill.,1,2025-01-22,https://legiscan.com/TX/bill/HB1/2025
TX,1977073,,Relating to public education and public school finance.,Relating to public education and public school finance.,4,2025-06-20,https://legiscan.com/TX/bill/HB2/2025
TX,1976702,,Relating to the establishment of an education savings account program.,Relating to the establishment of an education savings account program.,1,2025-02-20,https://legiscan.com/TX/bill/HB3/2025
TX,1976778,,"Relating to the assessment of public school students, public school accountability and actions, and proceedings challenging the operations of the public school system.","Relating to the assessment of public school students, public school accountability and actions, and proceedings challenging the operations of the public school system.",2,2025-05-13,https://legiscan.com/TX/bill/HB4/2025
TX,1979910,,Relating to the creation of the Dementia Prevention and Research Institute of Texas.,Relating to the creation of the Dementia Prevention and Research Institute of Texas.,1,2025-02-21,https://legiscan.com/TX/bill/HB5/2025
TX,1976714,,Relating to discipline management and access to telehealth mental health services in public schools.,Relating to discipline management and access to telehealth mental health services in public schools.,4,2025-06-20,https://legiscan.com/TX/bill/HB6/2025
TX,2007598,,"Relating to parental rights in public education, to the creation of the office of inspector general at the Texas Education Agency, and to the reporting of certain misconduct and child abuse and neglect; creating a criminal offense.","Relating to parental rights in public education, to the creation of the office of inspector general at the Texas Education Agency, and to the reporting of certain misconduct and child abuse and neglect; creating a criminal offense.",1,2025-03-14,https://legiscan.com/TX/bill/HB7/2025
TX,1981630,,Relating to a reduction in the maximum compressed tax rate of a school district.,Relating to a reduction in the maximum compressed tax rate of a school district.,1,2025-02-24,https://legiscan.com/TX/bill/HB8/2025
TX,1981485,,Relating to an exemption from ad valorem taxation of a portion of the appraised value of tangible personal property that is held or used for the production of income.,Relating to an exemption from ad valorem taxation of a portion of the appraised value of tangible personal property that is held or used for the production of income.,4,2025-06-12,https://legiscan.com/TX/bill/HB9/2025
TX,1987679,,Relating to reforming the procedure by which state agencies adopt rules and impose regulatory requirements and the deference given to the interpretation of laws and rules by state agencies in certain judicial proceedings.,Relating to reforming the procedure by which state agencies adopt rules and impose regulatory requirements and the deference given to the interpretation of laws and rules by state agencies in certain judicial proceedings.,1,2025-02-27,https://legiscan.com/TX/bill/HB10/2025
TX,1987816,,Relating to licensing reciprocity agreements entered into by the Texas Department of Licensing and Regulation.,Relating to licensing reciprocity agreements entered into by the Texas Department of Licensing and Regulation.,4,2025-05-29,https://legiscan.com/TX/bill/HB11/2025
TX,1993274,,Relating to the review and audit of certain state agency operations.,Relating to the review and audit of certain state agency operations.,4,2025-06-20,https://legiscan.com/TX/bill/HB12/2025
TX,1993737,,Relating to creating the Texas Interoperability Council and a grant program administered by the council.,Relating to creating the Texas Interoperability Council and a grant program administered by the council.,2,2025-04-02,https://legiscan.com/TX/bill/HB13/2025
TX,1993520,,Relating to support for the development of the nuclear energy industry.,Relating to support for the development of the nuclear energy industry.,4,2025-06-20,https://legiscan.com/TX/bill/HB14/2025
TX,1987634,,"Relating to the formation, governance, and internal management of domestic entities.","Relating to the formation, governance, and internal management of domestic entities.",1,2025-02-27,https://legiscan.com/TX/bill/HB15/2025
TX,1994913,,Relating to the oversight and financing of certain water infrastructure matters under the jurisdiction of the Texas Water Development Board.,Relating to the oversight and financing of certain water infrastructure matters under the jurisdiction of the Texas Water Development Board.,1,2025-03-07,https://legiscan.com/TX/bill/HB16/2025
TX,2005691,,Relating to the purchase of or acquisition of title to real property by certain aliens or foreign entities; creating a criminal offense.,Relating to the purchase of or acquisition of title to real property by certain aliens or foreign entities; creating a criminal offense.,1,2025-03-13,https://legiscan.com/TX/bill/HB17/2025
TX,1995428,,Relating to the establishment and administration of certain programs and services providing health care services to rural counties.,Relating to the establishment and administration of certain programs and services providing health care services to rural counties.,4,2025-06-20,https://legiscan.com/TX/bill/HB18/2025
TX,2008334,,"Relating to the issuance and repayment of debt by local governments, including the adoption of an ad valorem tax rate and the use of ad valorem tax revenue for the repayment of debt.","Relating to the issuance and repayment of debt by local governments, including the adoption of an ad valorem tax rate and the use of ad valorem tax revenue for the repayment of debt.",1,2025-03-14,https://legiscan.com/TX/bill/HB19/2025
TX,1898804,,Relating to establishing the Applied Sciences Pathway program.,Relating to establishing the Applied Sciences Pathway program.,4,2025-06-20,https://legiscan.com/TX/bill/HB20/2025
TX,1915953,,Relating to housing finance corporations; authorizing a fee.,Relating to housing finance corporations; authorizing a fee.,4,2025-05-28,https://legiscan.com/TX/bill/HB21/2025
TX,1982436,,Relating to the exemption from ad valorem taxation of intangible personal property.,Relating to the exemption from ad valorem taxation of intangible personal property.,4,2025-05-24,https://legiscan.com/TX/bill/HB22/2025
TX,1987728,,"Relating to the authority of certain persons to obtain third-party review of plats and property development plans, permits, and similar documents, and the inspection of an improvement related to such a document.","Relating to the authority of certain persons to obtain third-party review of plats and property development plans, permits, and similar documents, and the inspection of an improvement related to such a document.",2,2025-04-30,https://legiscan.com/TX/bill/HB23/2025
