state,bill_id,bill_number,title,description,status,status_date,url
UT,2085804,,Public Education Base Budget Amendments,Public Education Base Budget Amendments,4,2026-01-31,https://legiscan.com/UT/bill/HB0001/2026
UT,2127361,,New Fiscal Year Supplemental Appropriations,New Fiscal Year Supplemental Appropriations,3,2026-03-13,https://legiscan.com/UT/bill/HB0002/2026
UT,2130659,,Appropriations Adjustments,Appropriations Adjustments,3,2026-03-13,https://legiscan.com/UT/bill/HB0003/2026
UT,2084606,,"Natural Resources, Agriculture, and Environmental Quality Base Budget","Natural Resources, Agriculture, and Environmental Quality Base Budget",4,2026-01-31,https://legiscan.com/UT/bill/HB0005/2026
UT,2084548,,Criminal Justice Base Budget,Criminal Justice Base Budget,4,2026-01-31,https://legiscan.com/UT/bill/HB0006/2026
UT,2084344,,Social Services Base Budget,Social Services Base Budget,4,2026-01-31,https://legiscan.com/UT/bill/HB0007/2026
UT,2085515,,State Agency Fees and Internal Service Fund Authorization and Appropriations,State Agency Fees and Internal Service Fund Authorization and Appropriations,3,2026-03-13,https://legiscan.com/UT/bill/HB0008/2026
UT,2056518,,Dyed Diesel Fuel Search Amendments,Dyed Diesel Fuel Search Amendments,4,2026-02-27,https://legiscan.com/UT/bill/HB0011/2026
UT,2056491,,Outdoor Recreation Accessibility Amendments,Outdoor Recreation Accessibility Amendments,4,2026-02-27,https://legiscan.com/UT/bill/HB0012/2026
UT,2056546,,Municipal Services Fees and Political Subdivision Lien Amendments,Municipal Services Fees and Political Subdivision Lien Amendments,6,2026-03-06,https://legiscan.com/UT/bill/HB0013/2026
UT,2056705,,Behavior Analyst Licensing Amendments,Behavior Analyst Licensing Amendments,6,2026-03-06,https://legiscan.com/UT/bill/HB0014/2026
UT,2056767,,Medicaid Amendments,Medicaid Amendments,4,2026-03-18,https://legiscan.com/UT/bill/HB0015/2026
UT,2056934,,Solar Power Plant Amendments,Solar Power Plant Amendments,3,2026-03-12,https://legiscan.com/UT/bill/HB0016/2026
UT,2056910,,Public Infrastructure District Meeting Amendments,Public Infrastructure District Meeting Amendments,4,2026-03-13,https://legiscan.com/UT/bill/HB0017/2026
UT,2056870,,Public Land Access Amendments,Public Land Access Amendments,6,2026-03-06,https://legiscan.com/UT/bill/HB0018/2026
UT,2056862,,Drinking Water Utilities Amendments,Drinking Water Utilities Amendments,4,2026-02-27,https://legiscan.com/UT/bill/HB0019/2026
UT,2056844,,Correctional Facility Capacity Amendments,Correctional Facility Capacity Amendments,4,2026-03-07,https://legiscan.com/UT/bill/HB0020/2026
UT,2056812,,Senior Care Facility Amendments,Senior Care Facility Amendments,4,2026-03-17,https://legiscan.com/UT/bill/HB0021/2026
UT,2056916,,Vintage Vehicle Amendments,Vintage Vehicle Amendments,4,2026-03-23,https://legiscan.com/UT/bill/HB0022/2026
UT,2056854,,Service Animal Amendments,Service Animal Amendments,4,2026-03-17,https://legiscan.com/UT/bill/HB0023/2026
UT,2056948,,Criminal Penalty Amendments,Criminal Penalty Amendments,3,2026-03-03,https://legiscan.com/UT/bill/HB0024/2026
UT,2057191,,Candidate Petition Amendments,Candidate Petition Amendments,6,2026-03-06,https://legiscan.com/UT/bill/HB0025/2026
UT,2057200,,Voting Equipment Amendments,Voting Equipment Amendments,4,2026-03-07,https://legiscan.com/UT/bill/HB0026/2026
UT,2057192,,Signature Verification Revisions,Signature Verification Revisions,6,2026-03-06,https://legiscan.com/UT/bill/HB0027/2026
UT,2057210,,Health and Human Services Sunset Amendments,Health and Human Services Sunset Amendments,6,2026-03-06,https://legiscan.com/UT/bill/HB0028/2026
UT,2057199,,Unfair and Deceptive Pricing Amendments,Unfair and Deceptive Pricing Amendments,6,2026-03-06,https://legiscan.com/UT/bill/HB0029/2026
UT,2057194,,Wildlife Management Area Amendments,Wildlife Management Area Amendments,3,2026-03-11,https://legiscan.com/UT/bill/HB0030/2026
UT,2057186,,Local Education Agency Financial Reporting,Local Education Agency Financial Reporting,6,2026-03-06,https://legiscan.com/UT/bill/HB0031/2026
UT,2057196,,Signature Gathering and Verification Amendments,Signature Gathering and Verification Amendments,4,2026-03-23,https://legiscan.com/UT/bill/HB0032/2026
UT,2057213,,Political Signs Amendments,Political Signs Amendments,4,2026-03-23,https://legiscan.com/UT/bill/HB0033/2026
UT,2057207,,Victim Rights Amendments,Victim Rights Amendments,3,2026-03-11,https://legiscan.com/UT/bill/HB0034/2026
UT,2058981,,Bears Ears Visitor Center Advisory Committee Amendments,Bears Ears Visitor Center Advisory Committee Amendments,6,2026-03-06,https://legiscan.com/UT/bill/HB0035/2026
UT,2059008,,Gold Medal Schools Pilot Program,Gold Medal Schools Pilot Program,4,2026-03-19,https://legiscan.com/UT/bill/HB0036/2026
UT,2059265,,Used Oil Management Act Amendments,Used Oil Management Act Amendments,3,2026-03-04,https://legiscan.com/UT/bill/HB0037/2026
UT,2059327,,Local Government Amendments,Local Government Amendments,4,2026-03-18,https://legiscan.com/UT/bill/HB0038/2026
UT,2059306,,Prison and Jail Standards Amendments,Prison and Jail Standards Amendments,6,2026-03-06,https://legiscan.com/UT/bill/HB0039/2026
UT,2060255,,Utah Construction Trades Licensing Act Amendments,Utah Construction Trades Licensing Act Amendments,4,2026-03-17,https://legiscan.com/UT/bill/HB0040/2026
UT,2060257,,Construction and Fire Codes Amendments,Construction and Fire Codes Amendments,3,2026-03-06,https://legiscan.com/UT/bill/HB0041/2026
UT,2060253,,School Cybersecurity Amendments,School Cybersecurity Amendments,2,2026-02-19,https://legiscan.com/UT/bill/HB0042/2026
UT,2060256,,School Security Amendments,School Security Amendments,6,2026-03-06,https://legiscan.com/UT/bill/HB0043/2026
UT,2060251,,School Security Personnel Standards,School Security Personnel Standards,4,2026-03-19,https://legiscan.com/UT/bill/HB0044/2026
UT,2060247,,Fire Code Amendments,Fire Code Amendments,4,2026-03-13,https://legiscan.com/UT/bill/HB0045/2026
UT,2060250,,Taxpayer Information Sharing Amendments,Taxpayer Information Sharing Amendments,4,2026-03-13,https://legiscan.com/UT/bill/HB0046/2026
UT,2060249,,Vehicle Registration and Insurance Amendments,Vehicle Registration and Insurance Amendments,4,2026-02-12,https://legiscan.com/UT/bill/HB0047/2026
UT,2060419,,Criminal and Juvenile Justice Changes,Criminal and Juvenile Justice Changes,3,2026-03-11,https://legiscan.com/UT/bill/HB0048/2026
UT,2060540,,Law Enforcement Salary Amendments,Law Enforcement Salary Amendments,6,2026-03-06,https://legiscan.com/UT/bill/HB0049/2026
UT,2060466,,Child Protection Ombudsman Amendments,Child Protection Ombudsman Amendments,4,2026-02-27,https://legiscan.com/UT/bill/HB0050/2026
UT,2060485,,Adoption Amendments,Adoption Amendments,3,2026-03-05,https://legiscan.com/UT/bill/HB0051/2026
UT,2060515,,Tribal Endorsement of Utah Driver License Amendments,Tribal Endorsement of Utah Driver License Amendments,3,2026-03-02,https://legiscan.com/UT/bill/HB0052/2026
UT,2060561,,Community Rehabilitation Program Amendments,Community Rehabilitation Program Amendments,4,2026-03-17,https://legiscan.com/UT/bill/HB0053/2026
UT,2060523,,Boating Safety Education,Boating Safety Education,3,2026-03-12,https://legiscan.com/UT/bill/HB0054/2026
