state,bill_id,bill_number,title,description,status,status_date,url
VA,2052879,,"Minimum wage; increases incrementally to $15.00 per hour by January 1, 2028.","Minimum wage. Increases the minimum wage incrementally to $15.00 per hour by January 1, 2028. The bill codifies the adjusted state hourly minimum wage of $12.77 per hour that is effective January 1, 2026, and increases the minimum wage to $13.75 per hour effective January 1, 2027, and to $15.00 per hour effective January 1, 2028. Effective January 1, 2029, and annually thereafter, the bill requires the minimum wage to be adjusted to reflect increases in the consumer price index. This bill is identical to SB 1.",3,2026-03-11,https://legiscan.com/VA/bill/HB1/2026
VA,2052931,,"Electric utilities; energy efficiency upgrades, report.","Phase I and Phase II Utilities; energy efficiency upgrades; low-income residents; report. States that it is the policy of the Commonwealth to reduce, wherever feasible and cost-effective, heating-related costs of living for low-income residents. The bill requires Dominion Energy Virginia and Appalachian Power to make best, reasonable efforts to provide by December 31, 2031, prescriptive efficiency measures, as defined in the bill, and related efficiency improvements to at least 30 percent of the qualifying households, as defined in the bill, identified by such utilities, provided that the State Corporation Commission determines that such measures and improvements are in the public interest. The bill requires such utilities to report to the Commission its activities, plans, and filings regarding the bill's provisions no later than January 1, 2028, annually thereafter, and in any recurring filing that the Commission deems appropriate. The bill also requires that Dominion Energy and Appalachian Power make reasonable efforts to incorporate recommendations or feedback provided by the task force that evaluates barriers to access and enrollment in programs for income-qualified energy customers. This bill is identical to SB 72.",3,2026-03-03,https://legiscan.com/VA/bill/HB2/2026
VA,2052912,,"Income-Qualified Energy Efficiency and Weatherization Task Force; established, report.","Department of Housing and Community Development; Income-Qualified Energy Efficiency and Weatherization Task Force established; report. Directs the Department of Housing and Community Development to establish, in collaboration with the Department of Energy, and with assistance from the Department of Social Services, the Income-Qualified Energy Efficiency and Weatherization Task Force to determine barriers to access and enrollment in the current energy efficiency programs for income-qualified energy customers and to evaluate and develop a plan to address any necessary improvements regarding coordination among state and federal government agencies for utility services and resources to more effectively deliver energy-efficient housing, weatherization resources, and energy efficiency upgrades for income-qualified individuals and households in the Commonwealth. The bill requires the Task Force to meet at least six times between July 1, 2026, and September 30, 2027, and to submit a report of its findings and recommendations no later than September 30, 2027. The bill specifies that such report shall include policy recommendations and a plan to ensure that weatherization-ready repairs and whole-home energy efficiency retrofits are provided to all eligible income-qualified individuals and households in the Commonwealth residing in multifamily buildings, single-family dwellings, and manufactured homes by December 31, 2034. This bill is identical to SB 5.",3,2026-03-11,https://legiscan.com/VA/bill/HB3/2026
VA,2052858,,"Affordable housing; preservation, definitions, civil penalty.","Preservation of affordable housing; definitions; civil penalty. Creates a framework for localities to preserve affordable housing by exercising a right of first refusal on publicly supported housing, defined in the bill. The bill authorizes localities to adopt an ordinance that requires an owner to accept a right of first refusal offer by the locality or qualified designee, defined in the bill, in order to preserve affordable housing for at least 15 years. The bill requires that any locality with a population greater than 3,500 adopting such an ordinance to preserve affordable housing submit an annual report to the Department of Housing and Community Development pursuant to existing law.",2,2026-01-30,https://legiscan.com/VA/bill/HB4/2026
VA,2052937,,"Employment; paid sick leave, civil penalties.","Employment; paid sick leave; civil penalties; civil actions. Requires one hour of paid sick leave for every 30 hours worked for all employees of private employers and state and local governments, with certain exceptions. The bill requires that employees who are employed and compensated on a fee-for-service basis accrue paid sick leave in accordance with regulations adopted by the Commissioner of Labor and Industry. The bill provides that employees transferred to a separate division or location remain entitled to previously accrued paid sick leave and that employees retain their accrued paid sick leave under any successor employer. The bill allows employers to provide a more generous paid sick leave policy than prescribed by its provisions and specifies that employees, in addition to using paid sick leave for their physical or mental illness or to care for a family member, may use paid sick leave to seek or obtain certain services or to relocate or secure an existing home due to domestic abuse, sexual assault, or stalking. The bill requires the Commissioner to promulgate regulations for the implementation and enforcement of the bill's provisions by July 1, 2027.The bill authorizes the Commissioner, in the case of a knowing violation, to subject an employer to a civil penalty not to exceed $150 for the first violation, $300 for the second violation, and $500 for each successive violation. The Commissioner or Attorney General may commence administrative proceedings or bring a civil action to enforce the bill's provisions. Additionally, the bill authorizes an aggrieved employee to bring a civil action against the employer in which he may recover double the amount of any unpaid sick leave and the amount of any actual damages suffered as the result of the employer's violation. Certain provisions of the bill have a delayed effective date of July 1, 2027. This bill is identical to SB 199.",2,2026-02-12,https://legiscan.com/VA/bill/HB5/2026
VA,2052920,,"Contraception; definitions, establishes right to obtain, applicability, enforcement.","Contraception; right to contraception; applicability; enforcement. Establishes a right to obtain contraceptives and engage in contraception, as such terms are defined in the bill. The bill clarifies that none of its provisions shall be construed to permit or sanction the performance of any sterilization procedure without a patient's voluntary and informed consent. The bill creates a cause of action that may be instituted against anyone who infringes on such right.",2,2026-01-27,https://legiscan.com/VA/bill/HB6/2026
VA,2053480,,"Law-enforcement officers; restrictions on wearing of facial coverings, exceptions, civil liability.","Law-enforcement officers; restrictions on wearing of facial coverings; exceptions; civil liability; penalty. Prohibits certain state and federal law-enforcement officers from wearing facial coverings, defined in the bill, while engaged in the performance of their official duties. The bill sets out several exceptions to such prohibition, including protective facial coverings to protect against disease, infection, and exposure to toxic substances and facial coverings worn by any law-enforcement officer assigned to a special weapons and tactics team while engaged in the performance of his official duties with such team. The bill subjects the law-enforcement officer to disciplinary action, including dismissal, demotion, suspension, transfer, or decertification, and creates a Class 1 misdemeanor for any law-enforcement officer who wears a facial covering in violation of the provisions of the bill unless the law-enforcement agency that employs such law-enforcement officer has adopted and established a written policy for and restrictions on the use of facial coverings. The bill also directs the Department of Criminal Justice Services to develop a model policy for and restrictions on the use of facial coverings by law-enforcement officers. Finally, the bill creates a civil cause of action for any person injured as a result of tortious conduct by a law-enforcement officer who knowingly and intentionally wears a facial covering in violation of the provisions of the bill. The bill provides that sovereign immunity shall not be a defense to civil liability for such tortious conduct.",1,2025-11-20,https://legiscan.com/VA/bill/HB7/2026
VA,2058835,,General Assembly; intergovernmental affairs.,"General Assembly; intergovernmental affairs; delegates to convention for proposing amendments held pursuant to Article V of the Constitution of the United States; penalties. Provides for the selection by the General Assembly of delegates to attend a convention for proposing amendments to the Constitution of the United States held pursuant to Article V of the Constitution of the United States. The bill grants the General Assembly the power to recall delegates, appoint new delegates, and convene an advisory committee to oversee the conduct of delegates. The bill provides that delegates must take an oath to adhere to the instructions of the General Assembly and any delegate who votes or otherwise acts beyond the authority granted in such instructions is guilty of a Class 5 felony.",1,2025-12-12,https://legiscan.com/VA/bill/HB8/2026
VA,2060403,,"Eastern Daylight Time; Commonwealth shall observe year-round upon enactment by Congress, etc.","Time zone; permanent daylight saving time in the Commonwealth. Provides that the Commonwealth shall observe Eastern Daylight Time (Eastern Standard Time, advanced one hour) year-round upon the enactment by Congress of a law allowing states to observe Eastern Daylight Time year-round.",1,2025-12-19,https://legiscan.com/VA/bill/HB9/2026
VA,2060391,,Real property tax; classification of land and improvements.,"Real property tax; classification of land and improvements. Reclassifies improvements to real property as a separate class of real property and authorizes any locality to impose a real property tax on improvements to real property at a tax rate that is different than the rate applied to the land on which such improvements are located. Such rate may exceed, equal, or be less than the tax imposed upon the land on which the improvements are located. Under current law, such classification is allowed only for the Cities of Fairfax, Poquoson, Richmond, and Roanoke. For the Cities of Fairfax, Richmond, and Roanoke, the rate applied shall not exceed the rate applied to land under current law. The City of Poquoson is currently the only locality authorized to impose a rate in excess of the rate applied to land. The bill applies only to taxable years beginning on and after July 1, 2026.",1,2025-12-19,https://legiscan.com/VA/bill/HB10/2026
VA,2060381,,"Emergency custody orders; transportation to treatment center, etc.","Emergency custody orders; transportation to treatment center or to residence of the person subject to emergency custody order. Provides that transportation provided pursuant to an emergency custody order shall include, upon completion of emergency medical evaluation or treatment, transportation to an approved treatment center or to the residence of the person subject to the emergency custody order.",1,2025-12-19,https://legiscan.com/VA/bill/HB11/2026
VA,2060398,,"Income tax, state; standard deduction.","Income tax; standard deduction. Removes the sunset from and makes permanent the enhanced standard deduction amounts of $8,750 for single individuals and $17,500 for married individuals filing jointly. Under current law, the standard deduction is scheduled to revert to $3,000 for single individuals and $6,000 for married individuals filing jointly after taxable year 2026.",1,2025-12-19,https://legiscan.com/VA/bill/HB12/2026
VA,2060386,,RS and UT; food purchased for human consumption and essential personal hygiene products.,"Sales and use tax; food purchased for human consumption and essential personal hygiene products. Eliminates the remaining one percent local sales and use tax that is imposed on food purchased for human consumption and essential personal hygiene products beginning on July 1, 2026. Under current law, no other sales and use tax is applied to such products. The bill requires an equivalent amount of revenue to be distributed to cities and counties on a monthly basis in compensation for the lost tax revenue.",1,2025-12-19,https://legiscan.com/VA/bill/HB13/2026
VA,2060889,,Virginia Residential Landlord and Tenant Act; enforcement by localities.,"Virginia Residential Landlord and Tenant Act; enforcement by localities. Provides that if a condition exists in a dwelling unit that constitutes a material noncompliance by the landlord with the rental agreement or with any provision of law that, if not remedied within a reasonable time frame, constitutes a fire hazard or serious threat to the life, health, or safety of a tenant or occupant of the premises, a locality may institute an action on behalf of any tenant or occupant of the premises who is injured by such material noncompliance for injunction and damages to enforce the landlord's duty to maintain the dwelling unit in a fit and habitable condition, provided that (i) the premises where the violation occurred is within the jurisdictional boundaries of the locality and (ii) the locality has notified the landlord who owns the premises, either directly or through the managing agent, of the nature of the violation and the landlord has failed to remedy the violation to the satisfaction of the locality within a reasonable time after receiving such notice.",2,2026-01-30,https://legiscan.com/VA/bill/HB14/2026
VA,2060899,,"Va. Residential Landlord and Tenant Act; landlord remedies, noncompliance with rental agreement.",Virginia Residential Landlord and Tenant Act; landlord remedies; noncompliance with rental agreement; mandatory waiting period. Increases the mandatory waiting period for a landlord to pursue remedies for termination of the rental agreement from five days to 14 days. The waiting period begins after a landlord serves written notice on a tenant notifying the tenant of his nonpayment of rent and of the landlord's intention to terminate the rental agreement if rent is not paid.,2,2026-01-30,https://legiscan.com/VA/bill/HB15/2026
VA,2060870,,Community service work in lieu of payment of fines and costs; work performed while incarcerated.,"Community service work in lieu of payment of fines and costs; work performed while incarcerated. Requires a court to establish a program and allow any person upon whom a fine and costs have been imposed to discharge all or part of the fine or costs by earning credits for the performance of community service work or work performed while incarcerated, defined in the bill as any work done on or after July 1, 2023, by a person confined in any penal or corrective institution of the Commonwealth or any of its political subdivisions who is paid a wage that is less than the Virginia minimum wage.The bill requires such program be available during such person's imprisonment in a local, regional, or state correctional facility. The bill provides that a person who is performing work while incarcerated shall be credited at the same rate as the community service work rate less any wages received. Under current law, a court is required to establish a program for providing an option for community service work in lieu of payment of fines and costs but offering such option is not mandatory. The bill also requires the local, regional, or state correctional facility to provide confirmation of the hours worked and the credits earned for such work upon request of any person who has performed work while incarcerated or his representative.",2,2026-02-05,https://legiscan.com/VA/bill/HB16/2026
VA,2060861,,"Fines and costs; period of limitations on collection, responsibility for collections.","Fines and costs; period of limitations on collection; deferred payment agreement. Changes the period of limitations for the collection of court fines and costs from within 60 years from the date of the offense or delinquency giving rise to imposition of such penalty if imposed by a circuit court or within 30 years if imposed by a general district court to within 10 years from the date of the judgment whether imposed by a circuit court or general district court. The bill provides that upon the expiration of the period of limitations, no action shall be brought to collect the debt.The bill extends the time period for commencing collection activity from 90 days to 180 days after judgment, but provides that no collection activity shall be commenced while a defendant is incarcerated on an active term of imprisonment and subject to a deferred payment agreement.The bill also provides that for any defendant sentenced to an active term of incarceration and ordered to pay any fine, cost, forfeiture, or penalty related to the charge that such defendant is incarcerated for, or any other charge for which such defendant was sentenced on the same day, the court shall enter such defendant into a deferred payment agreement for such fines, costs, forfeitures, or penalties. The bill requires the due date for such deferred payment agreement to be set no earlier than 180 days after the defendant's scheduled release from incarceration on the charge for which such defendant was sentenced on the same day. This bill is identical to SB 180. The bill has a delayed effective date of January 1, 2027.",3,2026-03-13,https://legiscan.com/VA/bill/HB17/2026
VA,2060829,,"Employee Child Care Assistance Pilot Program; established, reports.","Employee Child Care Assistance Program established. Establishes the Employee Child Care Assistance Program to provide matching funds in order to incentivize employers to contribute to the child care costs of their employees. The Program shall be administered by the Virginia Early Childhood Foundation. To participate in the Program, an employer shall agree to make child care contributions to the eligible mixed delivery provider on behalf of the employee or to a third-party administrator, as defined by the bill, and shall provide any other information deemed necessary by the Foundation. The bill specifies that, to the extent funds are available, the Foundation shall issue a state match to a third-party administrator. Program funds shall be awarded on a first-come, first-served basis; however, the bill clarifies that the Foundation is encouraged to prioritize awards to proposals involving contributions from small businesses. The bill requires the Foundation to provide an interim report to the General Assembly by September 1, 2028, and a summative report to the General Assembly by September 1, 2030, on the effectiveness and impact of the Program.",3,2026-03-14,https://legiscan.com/VA/bill/HB18/2026
VA,2060875,,"Firearms; purchase, etc., after assault & battery of family or household member or intimate partner.","Purchase, possession, or transportation of firearm; assault and battery of a family or household member or intimate partner; penalty. Adds to the definition of ""family or household member,"" as such definition relates to juvenile and domestic relations district court, a person's intimate partner, defined in the bill as an individual who, within the previous 12 months, was in a romantic, dating, or sexual relationship with the person as determined by the length, nature, frequency, and type of interaction between the individuals involved in the relationship. The bill also adds to the definition of ""family or household member,"" as such definition relates to a person's purchase, possession, or transportation of a firearm following an assault and battery of a family or household member, any individual who cohabits or who, within the previous 12 months, cohabitated with the person. Finally, the bill provides that any person who knowingly and intentionally purchases, possesses, or transports any firearm following a misdemeanor conviction for an offense that occurred on or after July 1, 2026, for the offense of assault and battery against an intimate partner or an offense substantially similar under the laws of any other state or of the United States is guilty of a Class 1 misdemeanor.",3,2026-03-13,https://legiscan.com/VA/bill/HB19/2026
VA,2060840,,"Minimum wage; farm laborers or farm employees, temporary foreign workers.","Minimum wage; farm laborers or farm employees; temporary foreign workers. Eliminates the exemptions from Virginia's minimum wage requirements for (i) persons employed as farm laborers or farm employees and (ii) certain temporary foreign workers. The bill has a delayed effective date of January 1, 2027.",2,2026-02-11,https://legiscan.com/VA/bill/HB20/2026
VA,2060848,,"Firearm industry members; creates standards of responsible conduct, civil liability.","Firearm industry members; standards of responsible conduct; civil liability. Creates standards of responsible conduct for firearm industry members and requires such members to establish and implement reasonable controls regarding the manufacture, sale, distribution, use, and marketing of the firearm industry member's firearm-related products, as those terms are defined in the bill. Such reasonable controls include reasonable procedures, safeguards, and business practices that are designed to (i) prevent the sale or distribution of a firearm-related product to a straw purchaser, a firearm trafficker, a person prohibited from possessing a firearm under state or federal law, or a person who the firearm industry member has reasonable cause to believe is at substantial risk of using a firearm-related product to harm themselves or unlawfully harm another or of unlawfully possessing or using a firearm-related product; (ii) prevent the loss of a firearm-related product or theft of a firearm-related product from a firearm industry member; (iii) ensure that the firearm industry member complies with all provisions of state and federal law and does not otherwise promote the unlawful manufacture, sale, possession, marketing, or use of a firearm-related product; (iv) prevent the installation and use of an auto sear on firearm-related products; and (v) ensure that the firearm industry member does not engage in an act or practice in violation of the Virginia Consumer Protection Act. The bill also provides that a firearm industry member may not knowingly create, maintain, or contribute to a public nuisance, as defined in the bill, through the sale, manufacturing, importing, or marketing of a firearm-related product. The bill creates a civil cause of action for the Attorney General or a local county, city, or town attorney to enforce the provisions of the bill or for any person who has been injured as a result of a firearm industry member's violation to seek an injunction and to recover costs and damages. The bill also allows the Attorney General to issue a civil investigative demand if he has reasonable cause to believe that any person has engaged in, is engaging in, or is about to engage in any violation of such standards of responsible conduct.",3,2026-03-12,https://legiscan.com/VA/bill/HB21/2026
VA,2060904,,"VMI; removes certain authority, disciplinary immunity for certain individuals who make reports.","Public institutions of higher education; disciplinary immunity for certain individuals who make reports; Virginia Military Institute. Removes the authority granted to Virginia Military Institute to include in its sexual violence policy, code, rules, or set of standards a provision stipulating that in the event that a cadet discloses personal consumption of drugs or alcohol in conjunction with a good faith report of an act of sexual violence and the superintendent of Virginia Military Institute determines that such cadet's personal consumption of drugs or alcohol constitutes a threat to the cadet's well-being or the well-being of others, the superintendent may require such cadet to attend drug or substance use disorder counseling.",3,2026-03-14,https://legiscan.com/VA/bill/HB22/2026
VA,2060894,,"Elections; primary dates, presidential year primaries.","Elections; primary dates; presidential year primaries. Provides that all primaries for offices to be filled at the November election in presidential election years shall be held on the date of the presidential primary. With respect to candidates for election in November of a presidential election year, the bill also lifts the requirement that petition signatures must be collected after January 1 of the presidential election year. The bill adjusts campaign finance filing deadlines for candidates in presidential year elections to account for the March primary date.",1,2025-12-22,https://legiscan.com/VA/bill/HB23/2026
