state,bill_id,bill_number,title,description,status,status_date,url
VT,1904940,,An act relating to accepting and referring complaints by the State Ethics Commission,An act relating to accepting and referring complaints by the State Ethics Commission,4,2025-06-05,https://legiscan.com/VT/bill/H0001/2025
VT,1905031,,An act relating to increasing the minimum age for delinquency proceedings,An act relating to increasing the minimum age for delinquency proceedings,4,2025-04-01,https://legiscan.com/VT/bill/H0002/2025
VT,1905076,,An act relating to the minimum qualifications required for State employment,An act relating to the minimum qualifications required for State employment,1,2025-01-09,https://legiscan.com/VT/bill/H0003/2025
VT,1905008,,An act relating to standards for the care of egg-laying hens,An act relating to standards for the care of egg-laying hens,1,2025-01-09,https://legiscan.com/VT/bill/H0004/2025
VT,1905211,,An act relating to a hearsay exception for a child under 16 years of age,An act relating to a hearsay exception for a child under 16 years of age,2,2026-02-05,https://legiscan.com/VT/bill/H0005/2025
VT,1904896,,An act relating to marriage license fees,An act relating to marriage license fees,1,2025-01-09,https://legiscan.com/VT/bill/H0006/2025
VT,1905144,,An act relating to termination of parental rights in an adoption proceeding,An act relating to termination of parental rights in an adoption proceeding,1,2025-01-09,https://legiscan.com/VT/bill/H0007/2025
VT,1904873,,An act relating to a tax credit for home modifications for safety and livability,An act relating to a tax credit for home modifications for safety and livability,1,2025-01-09,https://legiscan.com/VT/bill/H0008/2025
VT,1905278,,An act relating to the Vermont State and Judiciary Employees’ Cost-Savings Incentive Program,An act relating to the Vermont State and Judiciary Employees’ Cost-Savings Incentive Program,1,2025-01-09,https://legiscan.com/VT/bill/H0009/2025
VT,1904827,,An act relating to approval of amendments to the charter of the City of Barre,An act relating to approval of amendments to the charter of the City of Barre,4,2025-05-01,https://legiscan.com/VT/bill/H0010/2025
VT,1905166,,An act relating to consumer protections applicable to broadband and VoIP services,An act relating to consumer protections applicable to broadband and VoIP services,1,2025-01-09,https://legiscan.com/VT/bill/H0011/2025
VT,1904986,,An act relating to addressing barriers to blenderized tube feeding,An act relating to addressing barriers to blenderized tube feeding,1,2025-01-09,https://legiscan.com/VT/bill/H0012/2025
VT,1905257,,An act relating to Medicaid payment rates for community-based service providers,An act relating to Medicaid payment rates for community-based service providers,4,2025-05-13,https://legiscan.com/VT/bill/H0013/2025
VT,1905053,,An act relating to prohibiting the use of animals in product testing,An act relating to prohibiting the use of animals in product testing,1,2025-01-09,https://legiscan.com/VT/bill/H0014/2025
VT,1905189,,An act relating to assistance for room and board at a Vermont postsecondary school for students served by foster or kinship care,An act relating to assistance for room and board at a Vermont postsecondary school for students served by foster or kinship care,1,2025-01-09,https://legiscan.com/VT/bill/H0015/2025
VT,1905121,,An act relating to repealing the Affordable Heat Act,An act relating to repealing the Affordable Heat Act,1,2025-01-09,https://legiscan.com/VT/bill/H0016/2025
VT,1905099,,An act relating to approval of the adoption of the charter of the Town of Morristown,An act relating to approval of the adoption of the charter of the Town of Morristown,4,2025-05-06,https://legiscan.com/VT/bill/H0017/2025
VT,1905234,,An act relating to decriminalizing nonmoving DLS violations for third-time offenders,An act relating to decriminalizing nonmoving DLS violations for third-time offenders,1,2025-01-09,https://legiscan.com/VT/bill/H0018/2025
VT,1904850,,An act relating to grand larceny of a firearm,An act relating to grand larceny of a firearm,1,2025-01-09,https://legiscan.com/VT/bill/H0019/2025
VT,1904963,,An act relating to establishing a voluntary firearms storage program for persons in crisis,An act relating to establishing a voluntary firearms storage program for persons in crisis,1,2025-01-09,https://legiscan.com/VT/bill/H0020/2025
VT,1904918,,An act relating to service of writs of possession,An act relating to service of writs of possession,4,2025-05-06,https://legiscan.com/VT/bill/H0021/2025
VT,1905782,,An act relating to access to information concerning benefit extension agreements for employees of public agencies,An act relating to access to information concerning benefit extension agreements for employees of public agencies,1,2025-01-09,https://legiscan.com/VT/bill/H0022/2025
VT,1905492,,An act relating to the transfer of property to a trust,An act relating to the transfer of property to a trust,1,2025-01-09,https://legiscan.com/VT/bill/H0023/2025
VT,1905668,,An act relating to requiring retail businesses to accept cash,An act relating to requiring retail businesses to accept cash,1,2025-01-09,https://legiscan.com/VT/bill/H0024/2025
VT,1907536,,An act relating to imposing Impaired Driver Rehabilitation Program fees based on a person’s ability to pay,An act relating to imposing Impaired Driver Rehabilitation Program fees based on a person’s ability to pay,1,2025-01-09,https://legiscan.com/VT/bill/H0025/2025
VT,1908562,,An act relating to guardianship proceedings,An act relating to guardianship proceedings,1,2025-01-10,https://legiscan.com/VT/bill/H0026/2025
VT,1908400,,An act relating to the Domestic Violence Fatality Review Commission,An act relating to the Domestic Violence Fatality Review Commission,4,2025-05-20,https://legiscan.com/VT/bill/H0027/2025
