state,bill_id,bill_number,title,description,status,status_date,url
WA,1894460,,Expanding the circumstances that may constitute a major violation of the uniform controlled substances act.,Expanding the circumstances that may constitute a major violation of the uniform controlled substances act.,1,2025-01-13,https://legiscan.com/WA/bill/HB1000/2025
WA,1894457,,Concerning capital projects for the provision of fire protection services.,Concerning capital projects for the provision of fire protection services.,1,2025-01-13,https://legiscan.com/WA/bill/HB1001/2025
WA,1894521,,"Recognizing posttraumatic stress disorder as an occupational disease for county coroners, examiners, and investigative personnel.","Recognizing posttraumatic stress disorder as an occupational disease for county coroners, examiners, and investigative personnel.",2,2026-02-10,https://legiscan.com/WA/bill/HB1002/2025
WA,1894519,,Addressing service of notice by mail in cases involving forcible entry and forcible and unlawful detainer.,Addressing service of notice by mail in cases involving forcible entry and forcible and unlawful detainer.,4,2025-04-11,https://legiscan.com/WA/bill/HB1003/2025
WA,1894467,,Increasing the personal property tax exemption.,Increasing the personal property tax exemption.,1,2025-01-13,https://legiscan.com/WA/bill/HB1004/2025
WA,1894498,,Concerning prearrangement funeral services.,Concerning prearrangement funeral services.,1,2025-01-13,https://legiscan.com/WA/bill/HB1005/2025
WA,1894501,,Regulating service contracts and protection product guarantees.,Regulating service contracts and protection product guarantees.,4,2025-04-16,https://legiscan.com/WA/bill/HB1006/2025
WA,1894525,,Concerning requisites of notice in small claims actions.,Concerning requisites of notice in small claims actions.,4,2025-04-11,https://legiscan.com/WA/bill/HB1007/2025
WA,1894505,,Concerning county local roads.,Concerning county local roads.,1,2025-01-13,https://legiscan.com/WA/bill/HB1008/2025
WA,1894549,,Adjusting the membership of the pharmacy quality assurance commission.,Adjusting the membership of the pharmacy quality assurance commission.,4,2025-05-12,https://legiscan.com/WA/bill/HB1009/2025
WA,1894567,,Authorizing accessory dwelling units in rural areas.,Authorizing accessory dwelling units in rural areas.,1,2025-01-13,https://legiscan.com/WA/bill/HB1010/2025
WA,1894581,,Creating a school safety capital grant program.,Creating a school safety capital grant program.,1,2025-01-13,https://legiscan.com/WA/bill/HB1011/2025
WA,1894807,,"Authorizing the women's commission to solicit gifts, grants, and endowments from public or private sources.","Authorizing the women's commission to solicit gifts, grants, and endowments from public or private sources.",4,2025-04-29,https://legiscan.com/WA/bill/HB1012/2025
WA,1894805,,Concerning exemption of certain personnel of the department of social and health services from civil service.,Concerning exemption of certain personnel of the department of social and health services from civil service.,4,2025-04-21,https://legiscan.com/WA/bill/HB1013/2025
WA,1894789,,Implementing recommendations of the 2023 child support schedule work group.,Implementing recommendations of the 2023 child support schedule work group.,4,2025-05-13,https://legiscan.com/WA/bill/HB1014/2025
WA,1894811,,Concerning energy labeling of residential buildings.,Concerning energy labeling of residential buildings.,1,2025-01-13,https://legiscan.com/WA/bill/HB1015/2025
WA,1894791,,Providing employer tax incentives for the support of veterans and military families.,Providing employer tax incentives for the support of veterans and military families.,1,2025-01-13,https://legiscan.com/WA/bill/HB1016/2025
WA,1895051,,Designating kimchi day.,Designating kimchi day.,1,2025-01-13,https://legiscan.com/WA/bill/HB1017/2025
WA,1895034,,Adding fusion energy to facilities that may obtain site certification for the purposes of chapter 80.50 RCW.,Adding fusion energy to facilities that may obtain site certification for the purposes of chapter 80.50 RCW.,4,2025-05-13,https://legiscan.com/WA/bill/HB1018/2025
WA,1895056,,Concerning tax incentives for farmers.,Concerning tax incentives for farmers.,1,2025-01-13,https://legiscan.com/WA/bill/HB1019/2025
WA,1895018,,Increasing the accessibility of academic reengagement opportunities for eligible students.,Increasing the accessibility of academic reengagement opportunities for eligible students.,1,2025-01-13,https://legiscan.com/WA/bill/HB1020/2025
WA,1895012,,Promoting educational stability for children of military families.,Promoting educational stability for children of military families.,1,2025-01-13,https://legiscan.com/WA/bill/HB1021/2025
WA,1895042,,Creating a homes for heroes program.,Creating a homes for heroes program.,1,2025-01-13,https://legiscan.com/WA/bill/HB1022/2025
WA,1895027,,Adopting the cosmetology licensure compact.,Adopting the cosmetology licensure compact.,4,2025-05-12,https://legiscan.com/WA/bill/HB1023/2025
