state,bill_id,bill_number,title,description,status,status_date,url
WV,2118053,,Creating TEAM-WV Corporation,The purpose of this bill is to create TEAM-WV.,2,2026-03-04,https://legiscan.com/WV/bill/HB4001/2026
WV,2079108,,Establishing the West Virginia Collaboratory,The purpose of this bill is to establish the West Virginia Collaboratory.,3,2026-03-12,https://legiscan.com/WV/bill/HB4002/2026
WV,2078439,,WV First Small Business Growth Act,The purpose of this bill is to establish the WV First Small Business Growth Act.,1,2026-01-14,https://legiscan.com/WV/bill/HB4003/2026
WV,2079400,,Creating the Recharge West Virginia Program,"The purpose of this bill is to establish the Recharge West Virginia Program, which reimburses West Virginia employers for the costs of upskilling their workforces. To be eligible for reimbursement, an employee must have received a 25% wage increase as a result of the upskilling training, and the wage must be above the average weekly West Virginia wage, as published by the U.S. Bureau of Labor Statistics. Each employer may receive $10,000 per trainee, and no employer may receive more than $50,000 during any fiscal year.",3,2026-03-14,https://legiscan.com/WV/bill/HB4004/2026
WV,2079624,,Skills to work,"The purpose of this bill is to clarify the categories of employment which are prohibited or authorized for persons in West Virginia who are under the age of 18 and to clarify youth apprenticeships prohibited or authorized in such categories of employment and to be known as ""The Workforce Development Act of 2026"".",3,2026-03-10,https://legiscan.com/WV/bill/HB4005/2026
WV,2079043,,Creating the West Virginia Aerospace and Advanced Manufacturing Growth Act,The purpose of this bill is to foster the operations and growth of all facets of the aerospace industry in West Virginia.,2,2026-02-27,https://legiscan.com/WV/bill/HB4006/2026
WV,2079227,,Relating to industrial access roads,"The purpose of this bill is to provide that funding may be used as part of the West Virginia Business Ready Sites Program, raising the funding limits, and requiring a response deadline when a formal use request is submitted.",4,2026-03-14,https://legiscan.com/WV/bill/HB4007/2026
WV,2079614,,Relating to Business Ready Sites Program,The purpose of this bill relates to the West Virginia Business Ready Sites Program.,3,2026-03-12,https://legiscan.com/WV/bill/HB4008/2026
WV,2081305,,Relating to the creation of the Portable Benefit Account Act,The purpose of this bill is to create the Portable Benefit Account Act.,3,2026-03-14,https://legiscan.com/WV/bill/HB4009/2026
WV,2081133,,Providing a statutory program for loaning financial assistance to local airports for airplane hangar construction in this state,The purpose of this bill is to provide a statutory framework for lending state funds to local airports for hangar construction to enhance economic development in the state.,2,2026-03-04,https://legiscan.com/WV/bill/HB4010/2026
WV,2080811,,Relating to advanced recycling.,The purpose of this bill is to facilitate the implementation of the certification of mass balance attribution by third party certified to promote waste reduction practices by facilitating the use of recycled material in the feedstock for new products.,2,2026-02-10,https://legiscan.com/WV/bill/HB4011/2026
WV,2081559,,Relating to reducing the regulatory burden on utility companies when constructing and maintaining electric power generation and transmission facilities within this state,The purpose of this bill is to reduce the regulatory burden on utility companies when constructing and maintaining electric power generation and transmission facilities within this state.,2,2026-02-11,https://legiscan.com/WV/bill/HB4012/2026
WV,2081502,,Relating to the Mountaineer Flexible Tax Credit Act of 2026,"The purpose of this bill is to create the Mountaineer Flexible Tax Credit Act of 2026, encourage economic development through tax incentives, and promote the welfare of the people through investment in businesses.",1,2026-01-15,https://legiscan.com/WV/bill/HB4013/2026
WV,2081092,,Workforce Readiness and Opportunity Act,"The purpose of this bill is all related to the Workforce Readiness and Opportunity Initiatives Act including by establishing the West Virginia Micro-Credential Program, expanding the apprenticeship training tax credit, allowing for independent contractors to have portable benefits which hiring parties can contribute to without altering the nature of the relationship, providing for tax treatment of portable benefits, and eliminating barriers to professional licensures for military trained applicants.",1,2026-01-15,https://legiscan.com/WV/bill/HB4014/2026
WV,2080918,,Tourism Development Act Credit.,The purpose of this bill is to expand the definition of tourism attraction to include lodging facility for purposes of the Tourism Development Act credit,1,2026-01-15,https://legiscan.com/WV/bill/HB4015/2026
