state,bill_id,bill_number,title,description,status,status_date,url
WY,2111266,,General government appropriations-2.,"AN ACT to make appropriations for the fiscal biennium commencing July 1, 2026 and ending June 30, 2028; providing definitions; providing for appropriations and transfers of funds for the period of the budget and for the remainder of the current biennium ending June 30, 2026 as specified; providing for carryover of certain funds beyond the biennium as specified; providing for employee positions as specified; providing for duties, terms and conditions and other requirements relating to appropriations for the remainder of the current biennium ending June 30, 2026 and the period of the budget as specified; providing for position and other budgetary limitations; amending existing law by redirecting revenues for the period of the budget; continuing an account; authorizing loans; discharging interfund loans; increasing higher education scholarship amounts for the fiscal biennium commencing July 1, 2026 and ending June 30, 2028; making conforming amendments; amending and repealing prior appropriations; and providing for effective dates.",2,2026-02-21,https://legiscan.com/WY/bill/HB0001/2026
WY,2055019,,Fast Track Permits Act. ,"AN ACT relating to city, county, state and local powers; requiring local government entities to comply with deadlines for reviewing specified residential building permits; allowing deadlines to be suspended and extended as specified; requiring local government entities to provide notice; providing definitions; providing penalties; specifying applicability; and providing for an effective date.",4,2026-03-05,https://legiscan.com/WY/bill/HB0002/2026
WY,2054649,,Wyoming pregnancy centers-autonomy and rights.,"AN ACT relating to public health and safety; providing legislative findings; prohibiting the state and specified governmental entities from adopting any law, rule or policy that targets pregnancy centers for oversight or regulation based on the centers' stance against abortion; providing definitions; providing penalties; making conforming amendments; and providing for an effective date.",4,2026-03-06,https://legiscan.com/WY/bill/HB0003/2026
WY,2054781,,Birthing centers-Medicaid coverage.,AN ACT relating to medical assistance and services; authorizing payment for services rendered by a birthing center under the Wyoming Medical Assistance and Services Act; and providing for an effective date.,4,2026-02-27,https://legiscan.com/WY/bill/HB0004/2026
WY,2054593,,Oil and gas bonding pool-investment and earnings.,AN ACT relating to oil and gas; providing for the investment of bonding pool assessment proceeds; specifying the disposition of investment earnings; and providing for an effective date.,4,2026-02-27,https://legiscan.com/WY/bill/HB0005/2026
WY,2054721,,Unemployment insurance coverage-period and reporting.,AN ACT relating to labor and employment; reducing the maximum amount of unemployment benefits; renaming the unemployment insurance commission; specifying applicability; providing and amending definitions; providing an appropriation; and providing for effective dates.,6,2026-02-09,https://legiscan.com/WY/bill/HB0006/2026
WY,2054614,,SNAP benefits-waiver request.,AN ACT relating to welfare; requiring the director of the department of family services to request a waiver under the supplemental nutrition assistance program as specified; providing definitions; and providing for an effective date.,6,2026-02-09,https://legiscan.com/WY/bill/HB0007/2026
WY,2054960,,Stalking of minors.,AN ACT relating to crimes and offenses; providing for a felony penalty for stalking offenses committed against minors; and providing for an effective date.,4,2026-03-05,https://legiscan.com/WY/bill/HB0008/2026
WY,2054638,,Grooming of children-offenses and amendments.,AN ACT relating to crimes and offenses; establishing the criminal offense of grooming of a minor for a sexual offense; specifying penalties; providing definitions; making conforming amendments; and providing for an effective date.,4,2026-03-05,https://legiscan.com/WY/bill/HB0009/2026
WY,2054871,,Sexually explicit materials in libraries-requirements.,AN ACT relating to libraries and education; specifying requirements for county libraries and school libraries to govern access to sexually explicit materials by minors; providing definitions; providing a cause of action for violations; specifying penalties; making conforming amendments; and providing for an effective date.,6,2026-03-03,https://legiscan.com/WY/bill/HB0010/2026
WY,2055204,,Eminent domain-landowner bill of rights.,AN ACT relating to eminent domain; creating a landowner's bill of rights brochure as specified; requiring notice of rights to landowners during the initial eminent domain process; imposing responsibility on any person attempting to exercise the power of eminent domain to provide these rights to the landowner; specifying applicability; and providing for an effective date.,6,2026-02-23,https://legiscan.com/WY/bill/HB0011/2026
