program_name,agency,location,target_population,eligibility,benefits,funding_type,summary,source_url
Unknown Program,,,,,,unknown,,https://www.nyc.gov/site/hra/help/rental-assistance.page
Unknown Program,,,,,,unknown,,https://www.rentalassistanceonline.com/new-york/nyc-rental-assistance-programs/
Unknown Program,,,,,,unknown,,https://www.renthop.com/
Unknown Program,,,,,,unknown,,https://www.icph.org/blogs/common-threads-between-nycs-rental-subsidy-programs-over-20-years-and-the-impact-on-homeless-families/
Unknown Program,,,,,,unknown,,https://www.tiktok.com/discover/how-to-get-rental-assistance-in-nyc
Unknown Program,,,,,,unknown,,https://www.nyc.gov/site/hra/help/rental-assistance.page
Unknown Program,,,,,,unknown,,https://www.nyc.gov/site/hra/help/rental-assistance.page
Unknown Program,,,,,,unknown,,https://www.nyc.gov/site/hra/help/rental-assistance.page
Unknown Program,,,,,,unknown,,https://www.naicany.org/what-we-do/rental-assistance/
Unknown Program,,,,,,unknown,,https://www.ccbq.org/erap/
Unknown Program,Home 4 Good,New York City,"Rental assistance program helps NYC tenants pay back $1 million in arrears, avoid eviction",Landlords refer tenants to the program and pay a fee if arrears are paid back,"The program has helped 400 NYC households since it launched in September after a brief trial run, with a goal of securing rental assistance for 2,500 households by 2028.",Public subsidies,Home 4 Good's rental assistance program helps NYC tenants pay back $1 million in arrears and avoid eviction.,https://www.brickunderground.com/rent/home-4-good-program-pays-back-1-million-arrears-helps-nyc-tenants-avoid-eviction
"NYC Raises Value of Rental Assistance Vouchers, Expands Eligibility",,New York City,Low-income New Yorkers,Gross income at or below 200 percent of the federal poverty level,Increased value of rental assistance vouchers to Section 8 levels,unknown,,https://filtermag.org/nyc-rental-assistance-vouchers/
Emergency Rental Assistance Program (ERAP),,,low and moderate-income households,,"rental arrears, temporary rental assistance and utility arrears assistance",New York State Emergency Rental Assistance Program (ERAP),,https://mannycantor.org/emergency-rental-assistance-program-erap/
Rental Assistance Programs,HRA,,,,,unknown,"To implement recent amendments to the City’s Administrative Code, HRA is increasing the maximum rents for apartments and single room occupancies by providing that HRA will set the maximum rents in accordance with section 982.503 of Title 24 of the Code of Federal Regulations, at the standard adopted by the New York City Housing Authority pursuant to federal law to administer the Section 8 program in New York City.",https://rules.cityofnewyork.us/rule/rental-assistance-programs/
NYC Rental Assistance Programs,,New York City,Low- to mid-income residents,"Income limits, residency criteria, financial hardship or housing instability, valid lease or rental agreement, identification and household documentation","Financial support, rental subsidies, legal assistance, housing counseling, rent freezes, eviction prevention options",unknown,"NYC rental assistance programs help renters stay housed through subsidies, rent freezes, and eviction prevention options. Several city agencies and nonprofit organizations collaborate to administer these programs.",https://www.rentalassistanceonline.com/new-york/nyc-rental-assistance-programs/
